indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children anda dolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex nd race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8,2-19 years,0.0,22.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.9,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,201q5-2018,10,2-19 years,0.0,24.6,2.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1988-1994,1,2-19 years,0.0,12.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1999-2002,2,2-19 yeawrs,0.0,17.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatino, crude",1,Percent of poverty level,5,5.1,Below 100%,2001-0204,3,2-19 years,0.0,17.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yearls,1,"Percento f population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,2-19 ears,0.0,18.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty levl,5,5.1,Below 100%,2005-2008,5,2-19 years,0.0,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent o poverty level,5,5.1,Below 100%,2007-2010,6,2-19 years,0.0,20.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,2-19 years,0.0,20.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 10%,2011-2014,8,2-19 yers,0.0,19.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populaiton, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2016,9,2-19 years,0.0,21.0,1.1,r-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015d-2018,10,2-19 years,0.0,23.9,1.3,-
Obesity among children and adolescnts aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,988-1994,1,2-19 years,0.0,10.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percet of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,2-19 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2001-2004,3,2-19v years,0.0,16.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of povserty level,5,5.2,100%-199%,20032006,4,2-19 years,0.0,17.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-19%,2005-2008,5,2-19 years,0.0,18.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of popluation, crude",1,Percent of pofverty level,5,5.2,100%-199%,2007-2010,6,2-19 years,0.0,18.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Pecent of population, crude",1,Percent of poverty level,5,5.2,100%-199%***,009-2012,7,2-19 years,0.0,18.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,2-19 years,0.0,20.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2013-2061,9,2-19 years,0.0,20.7,1.1,-
Obesity amnog children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percoent of poverty level,5,5.2,100%-199%,20152-018,10,2-19 years,0.0,21.7,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty lhevel,5,5.3,200%-39h9%,1988-1994,1,2-19 years,0.0,9.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,20%-399%,1999-2002,2,2-19 years,0.0,14.0,1.0,j-
Obesity among children and adolescents aged 2-19 years,2-19 nyears,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,200-2004,3,2-19 years,0.0,17.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,2-19 years,0.0,17.1,1.5,-
Obeity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,005-2008,5,2-19 years,0.0,16.0,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-39%,2007-2010,6,2-19 years,0.0,16.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,2-19 years,0.0,15.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,8,2-19 years,0.0,16.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2013-2016,9,2-k19 years,0.0,16.9,1.4,-
Obesity among children and adolescents ged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-2018,10,2-19y ears,0.0,18.4,1.3,-
Obesity among children andadolescents aged 2-19 years,2-19 years,1,"Percent of population, cyrude",1,Percent of poverty level,5,5.4,400% or more,1988-1994,1,2-19 yeas,0.0,4.7,1.2,*
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty levgel,5,5.4,400% or more,1999-202,2,2-19 years,0.0,12.6,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400%or more,2001-2004,3,2-19 years,0.0,11.2,1.3,-
Obesity among children and dolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2003-2006,4,2-19 years,0.0,11.0,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,200-52008,5,2-19 years,0.0,11.6,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2007-2010,6,2-19 years,0.0,11.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,2-19 years,0.0,11.5,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% okr more,2011-201f4,8,2-19 years,0.0,11.4,1.7,f-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2013-2016,9,2-19 years,0.0,12.2,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2015-2018,10,2-19 years,0.0,10.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Seax,1,1.1,Male,1988-1994,1,2-5 yenars,0.1,6.2,0.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Mazle,1999-2002,2,2-5 years,0.1,10.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populaion, crude",1,Sex,1,1.1,Male,2001-2004,3,2-5 years,0.1,13.1,1.5,n-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,bMale,2003-g2006,4,2-5 years,0.1,12.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2- 5years,2,"Percenht of population, crude",1,Sex,1,1.1,Male,2005-0208,5,2-5 years,0.1,9.8,1.1,k-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Prcent of population, crude",1,Sex,1,1.1,Male,20072-010,6,2-5 years,0.1,11.9,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 eyars,2,"Percent of population, crude",1,Sex,1,1.1,Male,2009-2012,7,2-5 years,0.1,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,2011-2014,8,2-5 years,0.1,9.2,1.4,-
Obesity among children and adolescents aged o2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,2-5 years,0.1,11.5,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,ex,1,1.1,Mael,2l015-2018,10,2-5 years,0.1,14.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Pegrcent of population, crude",1,Sxe,1,1.2,Female,1988-1994,1,2-5 years,0.1,8.2,1.0,-
Obesity among children and adolescnents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Female,1999-2002,2,2-5 years,0.1,10.6,1.5,-
