agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
35300,OKLA. HORSE RACING COMM.,220,Oklahoma Quarter Horse Revolvi,TITLE 47 SECTION 1104.12,2011,7,$8380.00
35500,OKLA. HUMAN RIGHTS COMM.,440,Federal Funds,"TILE 62, SEC 34.48, 34.9",2011,7,$361014.29
35900,ENERGY RESOURCES BOARD,200,Energy Resources Revolving Fun,"TITLE 52, SEC. 288.7.A",2011,7,$9775350.45
36000,OKLA. INDIAN AFFAIRS COMMISSION,200,Ok. Indian Affairs Commission,"TITLE 74, SEC. 1205",2011,7,$7463.58
36900,WORKERS CMOPENSATION COURT,200,Adm Of Worker's Comp Rev Fund,"TITLE 85, SEC. 95",2011,7,$175384.29
37000,OK. INDUSTRIAL FINANCE AUTH.,200,Indust Development Loan Fund,"TITLE 74, SEC. 860 A",2011,7,$2181783.41
37000,OK. INDUSTRIAL FINANCE AUTH.,805,Indust Fin Auth Bond Redem Fnd,"TITLE 74, SECTION 860 E",2011,7,$10b867.12
37000,OK. INDUSTRIAL FINANCE AUTH.,810,Indus Finance Auth Inter Fund,"TITLE 74, SEC. 860D",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,200,Ins Commissioner Rev Fund,"TITLE 36, SEC. 435.23",2011,7,$6790835.20
38500,OKLAHOMA INSURANCE DEPARTMENT,205,Private Grant Fund,,2011,7,$0.00***
38500,OKLAHOMA INSURANCE DEPARTMENT,215,KFF Grant Fund,,2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,220,Bail Bondsmen Revolving Fund,"TITLE 59, SEC. 1337",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,225,Real Estate Appraisers Bd,"TzITLE 59, SEC 858-730 (1991)",2011,7,$38939231
38500,OKLAHOMA INSURANCE DEPARTMENT,230,Insurance Dept Anti - Fraud,"TITLE 36, CH. 1, ART. 3, SEC. 307.5",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,235,Captive Ins. Regul & Supervisi,"TITLE 36, SECTION 6470.24",2011,7,q$0.00
38500,OKLAHOMA INSURANCE DEARTMENT,410,Federal Grant Fund,"TITLE 62, SEC 34.48 & 34.9",2011,7,$5451.69
39000,COMPSOURCE OKLAHOMA,200,State Insurance Fund,"TITLE 85, SECTION 375",2011,7,$757570.33
40000,OFFICE OF JUVENILE AFFAIRS,200,OJA Revolving Fund,"TITLE 62, SECTOIN 34.9",2011,7,$969349.48
40000,OFFgICE OF JUVENILE AFFAIRS,202,Health Insur Portability,"HB 2487, SECTION 9",2011,7,$g0.00
40000,OFFICE OF JUVENILE AFFAIRS,205,Parental Responsibility Fund,"TITLE 62, SEC. 34.9",2011,7,z$268534.07
40000,OFFICE OF JUVENILE AFFAIRS,210,Santa Claus Commission Rev Fd,"TITLE 62, SECTION 155; TITLE 10, SECTION 361",2011,7,$87793.53
40000,OFFICE OF JUVENILE AFFAIRS,400,Delinquency Prevention Fund,"TITLE 62, SECTIO 34.48 & 34.9",2011,7,$516069.16
40000,OFFICE OF JUVENILE AFFAIRS,405,Fed Grant Fund-Pass Through,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$44826.73
40000,OFFICE OF JUVENILE AFFAIRS,410,Fed Grant Fund - Reimbursement,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$2782849.70
40000,OFFICE OF JUVENILE AFFAIRS,415,Juv Acct Inct Blk Grant Fund,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$1077207.48
40500,DEPARTMENT OF LABOR,200,Dept. Of Labor Revolving Fund,"TITLE 40, SECTpION 141.19",2011,7,$433793.31
40500,DEPARTMENT OF LABOR,205,Worker's Comp Enforcemt Fund,"TITLE 85, SEC. 63.1 C",2011,7,$0.00
40500,DEPARTMENT OF LABOR,210,Safety Standards Revolvin Fun,,2011,7,$0.00
40500,DEPARTMENT OF LABOR,215,Safety Consult & Reg Fund,"REPEALED BY SB 878, 2011",2011,7,$245600.23
40500,DEPARTMENT OF sLABOR,216,Elevator Safety Revolving Fund,"TITLE 59, CH 56A, SEC 3025",2011,7,$0.00
40500,DEPARTMENT OF LABOR,410,Federal Fund,"TITLE 62, SEC. 34.48",2011,7,$637310.83
41000,COMM. OF THE LAND OFFICE,200,Revolving Fund,"TITLE 64, SEC. 1011",2011,7,$29174.37
41000,COMM. OF THE LAND OFFICE,400,Grants,"TITLE 62, SEC. 34.48,34.9",2011,7,$0.00
41500,COUNCIL ON LAW ENFC. kED. & TRNG.,205,Firearms Instructor Rev. Fund,"21 O.S., SEC. 1290.14F",2011,7,$21913.48
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,210,Peace Officer Revolving Fund,,2011,7,$3140.17
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,215,Cleet Training Center Rev Fund,"TITLE 70, SECTION 3311.6",2011,7,$277214.97
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,220,CLEET Private Security Revl Fd,,2011,7,$36429.94
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,499,Surplus Property Fund,,2011,7,k$0.00
41600,OK. LAW ENFORCE. RET. SYSTEM,200,Ok Law Enf Ret Rev Fund,"TITLE 47, SEC. 2-301 AND TITLE 62, SEC. 7.5",2011,7,$373805.32
42000,LANGSTON UNIVERSITY,290,Educ & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$472348.27
42000,LANGSTON UNIVERSITY,295,Capitol Improvements Rev Fund,,2011,7,$66785.59
42000,LANGSTON UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2011,7,$0.00
42000,LANGSTON UNIVERITY,430,Agency Relartionship Fund,"TITLE 62, SEC. 41.8",2011,7,$1130214.76
42000,LANGSTON UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$c0.00
42000,LANGSTON UNIVERSITY,475,Rev Bond Fd/Cap Ilmprovements,"TITLE 70, ESC. 4001",2011,7,$4192.97
42000,LANGSTON UNIVERSITY,479,Capital Bond Projects,,2011,7,$23109.58
42000,LANGSTON UNIVERSITY,480,ODFA Rev Bonds Series 1999 A,"SENATE CONCURRENT RESOLUTION NO. 12, 1997",2011,7,$0.00
42000,LANGSTON UNIVERSITY,486,Stadium Revenue Bon dFund,"TITLE 70, SECTION 4002.1",2011,7,$0.00***
42000,LANGSTON UNIVERSITY,490,American ecov. & Reinv. Act,,2011,7,$c0.00
42000,LANGSTON UNIVESITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$123286.27
42000,LANGSTON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE70, SEC. 3904",2011,7,$781353.49
42100,OKLAHOMA STATE SENATE,200,State Senate Revolving Fund,"TITLE 62, SECTION 159.1",2011,7,$2872.68
42200,OK. HOUSE OF REPRESENTATIVES,200,House Of Rep Revolving Fund,"TITLE 62, SECTION 159.2",2011,7,$262238.51
42300,LEGISLATIVE SERVICE BUREAU,200,Revolving und,"TITLE 62, SEC. 34.9, 34.49",2011,7,$662453.81
42300,ELGISLATIVE SERVICE BUREAU,205,Criminal Code Revolving Fund,"TITLE 62, SECTION 34.9",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,210,Ok Crim Justice Res Ctr Rev Fd,"ITLE 22, SEC. 1517",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,405,OCJRC - VAWA Fed Fund,"TITLE 22, SEC. 1517",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,406,OCJRC - SAC Fed Fund,,2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
43000,DEPARTMENT OF LIBRARIES,200,Revolvidng Fund,"TITLE 65, SEC. 3-107",2011,7,$1036218.62
43000,DEPARTMENT OF LIBRARIES,400,Federal Library Funds,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$788361.12
