indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2001-004,3,12-19 years,0.3,20.6,1.0,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic orign,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,12-19 years,0.3,22.9,1.1,
Obesity amongs children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,200-52008,5,12-19 years,0.3,24.2,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"ercent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2007-0210,6,12-19 years,0.3,24.1,1.3,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of pbopulation, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2009-2012,7,12-19 years,0.3,22.9,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,20112014,8,12-19 years,0.3,22.6,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 yaers,4,"Percent of population, crude",1,Race and Hispanic orgiin,3,3.12,Not Hispanico r Latino: Black or African American only,2013-0216,9,1-219 years,0.3,25.0,2.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race an dHispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,12-19 years,0.3,28.2,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian nly,1988-1994,1,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999-2002,2,12-19 yeas,0.3,17.9,1.4,f-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispnaic origin,3,3.13,Not Hispanic or Latino: Asian only,2001-2004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents agde 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-208,5,12-1u9 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,1-219 years,4,"Percent of population, crude",1,Race and Hsipanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 yers,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,12-19 years,0.3,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2011-2014,8,12-19 years,0.3,9.4,1.6,-
Obesity among children and adolescents agefd 2-19 years,12-19t years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2013-2016,9,12-19 years,0.3,8.8,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2015-2018,10,12-19 years,0.3,11.5,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic orLatino: All races,1988-1994,1,12-19k years,0.3,17.9,1.4,-
Obesity among children and adolescents aegd 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,12-19y ears,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,12-19 years,0.3,17.9,1.4,***
Obesity among achildren and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hisptanic or Latino: All races,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispaninc origin,3,3.21,Hispanic or Latino: All races,2005-2008,5,12-19 years,0.3,17.9,1.4,-
Obseity among children and adolescents aged 2-19 years,21-19 years,4,"ercent of population, crude",1,Race and Hspanic origin,3,3.21,Hisapnic or Latino: All races,2007-2010,6,12-19 years,0.3,22.5,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race andr Hispanic origin,3,3.21,Hispanic or Latino: All races,209-2012,7,12-19 years,0.3,22.9,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and ispanic origin,3,3.21,Hispanic ory Latino: All races,2011-2014,8,12-19 eyars,0.3,22.8,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,013-2016,9,12-19 years,0.3,25.9,1.5,-
Obesity among children and adolejscents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,12-19 years,0.3,28.2,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic orgiin,3,3.22,Hispanic or Latino: Mexican: All races,1988-1994,1,12-19 years,0.3,13.8,2.1,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Racep and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,w1999-2002,2,12-19 years,0.3,22.3,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19y ears,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,12-1z9 years,0.3,18.6,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4,12-19 years,0.3,21.1,1.4,***
Obesity among children and adolescents aged 2-19 years,12-1x9 years,4,"Percent of population, crude",1,Race and Hispanic oriin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,12-19 ears,0.3,23.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of ppoulation, crude",1,aRce and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6,12-19 yeacrs,0.3,23.1,2.1,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7,12-19 years,0.3,23.8,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percenut of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2011-214,8,12-19 eyars,0.3,23.5,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispani or Latino: Mexican: All races,2013-2016,9,12-19 years,0.3,26.6,1.8,
Obesity among children and adolescents aged 2-19 years,12-1 9years,4,"Percent of popujlation, crude",1,Race and iHspanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2015-2018,10,12-19 years,0.3,30.6,2.8,-
Obesity among children and adolescents aged 2-1 9years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,12-19 yeasr,0.3,10.7,1.4,x-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,v1999-2002,2,12-19 years,0.3,18.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2001-2t004,3,12-19 years,0.3,17.6,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,12-19 years,0.3,18.4,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,20052-008,5,12-19 years,0.3,19.1,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origein,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,12-19 years,0.3,21.2,1.9,w-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hspanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,12-19 yers,0.3,22.0,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex nad race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,211-2014,8,12-19 years,0.3,20.9,2.2,-
Obesity among childmren and adolescents aged 2-19 years,12-19 years,4,"Percent of population, rcude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2013-216,9,12-19 years,0.3,22.0,2.7,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic oriin,4,1.1,Male: Not Hispanic or Latineo: Black or African America,2015-2018,10,12-19 ears,0.3,23.0,2.6,***
Obesity among children and adolescents aged2 -19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,12-19 years,0.3,11.6,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2,12-19 years,0.3,14.6,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hsipanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3,12-19 years,0.3,17.9,1.7,-
besity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race nd Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,12-1o9 years,0.3,17.3,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race ad Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,12-19 ears,0.3,16.1,2.0,***
Obesity among children and adolescents aged 2-19 years,12-19 yearms,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,ale: Not Hispanic or Latino: White only,2007-2010,6,12-19 years,0.3,17.1,2.1,-
Obesitdy among children and adolescents aged 2-19 years,121-9 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7,12-19 years,0.3,17.9,2.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,12-19 years,0.3,18.7,2.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,12-19 years,0.3,16.3,2.5,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,12-19 years,0.3,15.8,1.8,-
Obesity amng children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,ale: Not Hispanic or Latino: Asian only,1988-1994,1,12-19 years,0.3,17.9,1.4,o-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,Percent of population crude,1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1999-2e002,2,12-19 years,0.3,17.9,1.4,-
Obesityu among children and adolescents aged 2-19 years,12-19y ears,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 yearjs,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,12-19years,0.3,17.9,1.4,***
Obesity among children anda dolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispani origin,4,4.113,Male: Not Hispanic or Latino: Asian only,200-2008,5,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-91 years,4,"Percent of population, crude",1,Sex and racec and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,12-19 years,0.3,17.9,1.4,***
Obesity among children and adolescents age 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and rce and Hispanic origin,4,4.113,Male: Not Hisanic or Latino: Asian only,2011-2014,8,12-19 yeasr,0.3,12.9,2.3,f-
Obesity among children and adolescents aged 2-19 ynears,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9,12-19 myears,0.3,9.1,1.8,-
Obesity among children and adolescents aged 2-19 yeairs,12-19 yaers,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,12-19 years,0.3,13.0,2.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1988-1994,1,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sx and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2001-2004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 yeears,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2003-2006,4,12-19years,0.3,17.9,1.4,***
