agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
1000.0,S. E. OKLA. ST. UNIV.,479,Capital Bond Projects,,2012,3,$0.00
1000.0,S. E. OKLA. ST. UNIV.,490,American Recov. & Reinv. Act,,2012,3,$0.00
9200.0,S. E. OKLA. ST. UNIV.,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$2117748.23
1000.0,S. E. OKLA. ST. UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$579594.15
1100.0,S. W. OKLA. ST. UNIV.,290,Ed & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2012,3,$11340431.04
1000.0,S. W. OKLA. ST. UNIV.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$3081832.91
1000.0,S. W. OKLA. ST. UNIV.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$1241156.57
1100.0,S. W. OKLA. ST. UNIV.,445,2003 Revenue Bond Construction,"TITLE 70, SECTION 4006",2012,3,$3.65
1000.0,S. W. OKLA. ST. UNIV.,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.02
1600.0,S. W. OKLA. ST. UNIV.,479,Capital Bond Projects,,2012,3,$0.00
1600.0,S. W. OKLA. ST. UNIV.,480,Sale Oil & Gas Leases Cap Imp,"TITLE 70, SECTION 4301",2012,3,$0.03
1000.0,S. W. OKLA. ST. UNIV.,490,American Recov. & Reinv. Act,,2012,3,$0.00
10500.0,S. W. OKLA. ST. UNIV.,600,Section 13-Const & Purch Bldg,"TITLE 70, SECTION 3904",2012,3,$2802667.04
1300.0,S. W. OKLA. ST. UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1385795.53
1000.0,J.D. MCCARTY CENTER,202,JD McCarty Center for Children,"HB 2487, SECTION 18",2012,3,$0.00
1000.0,J.D. MCCARTY CENTER,210,Mccarty Ctr Handicapped Fund,"TITLE 63, SEC. 485.11",2012,3,$4644982.71
1000.0,J.D. MCCARTY CENTER,215,Gifts And Bequests Fund,"TITLE 63, SECTION 485.4",2012,3,$173128.04
1000.0,SUPREME COURT,200,Okla Court Inf Sys Rev Fund,"TITLE 20, SEC. 1315 B",2012,3,$23504737.28
1000.0,SUPREME COURT,205,Supreme Court Revolving Fund,"TITLE 20, SECTION 1310.1",2012,3,$315980.20
1000.0,SUPREME COURT,210,Supreme Court Admin. Rev. Fund,,2012,3,$200620.92
1000.0,SUPREME COURT,215,Law Library Revolving Fund,"TITLE 20, SECTION 1227",2012,3,$990444.50
10500.0,SUPREME COURT,225,Legal Svcs Revolving Fund,TITLE 12 SEC. 921.1 (H),2012,3,$2.02
1000.0,SUPREME COURT,230,State Judicial Revolving Fund,"TITLE 20, SECTION 1310.2",2012,3,$3779812.00
10500.0,SUPREME COURT,405,Federal Grant Funds,"TITLE 62, SEC 34.48",2012,3,$0.00
1000.0,COUNCIL ON JUDICIAL COMPLAINTS,200,Coun on Jud Compl Revolv Fund,,2012,3,$119254.81
