cell_id,table_id,column_id,row_number,column_name,old_value,new_value,error_type,source_table,source_row,source_column
0.2.0,0,2,0,yearvalue,2012/1d3,2012/13,RANDOM_TYPO,UK_CSV0000000000003896__7,0,yearvalue
0.27.0,0,27,0,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11111.0,11222.0,FD_VIOLATION,UK_CSV0000000000003896__7,0,pre_opqeq_five_d_index_profile
0.27.1,0,27,1,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11111.0,21121.0,FD_VIOLATION,UK_CSV0000000000003896__7,1,pre_opqeq_five_d_index_profile
0.27.2,0,27,2,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21222.0,11221.0,FD_VIOLATION,UK_CSV0000000000003896__7,2,pre_opqeq_five_d_index_profile
0.27.3,0,27,3,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11191.0,21232.0,FD_VIOLATION,UK_CSV0000000000003896__7,3,pre_opqeq_five_d_index_profile
0.3.4,0,3,4,age_band,50 to 95,50 to 59,RANDOM_TYPO,UK_CSV0000000000003896__7,4,age_band
0.27.4,0,27,4,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,11111.0,FD_VIOLATION,UK_CSV0000000000003896__7,4,pre_opqeq_five_d_index_profile
0.27.5,0,27,5,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11111.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,5,pre_opqeq_five_d_index_profile
0.27.6,0,27,6,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11221.0,11111.0,FD_VIOLATION,UK_CSV0000000000003896__7,6,pre_opqeq_five_d_index_profile
0.27.7,0,27,7,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11131.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,7,pre_opqeq_five_d_index_profile
0.27.8,0,27,8,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11221.0,11122.0,FD_VIOLATION,UK_CSV0000000000003896__7,8,pre_opqeq_five_d_index_profile
0.2.9,0,2,9,yearvalue,2012/1q3,2012/13,RANDOM_TYPO,UK_CSV0000000000003896__7,9,yearvalue
0.27.9,0,27,9,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11111.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,9,pre_opqeq_five_d_index_profile
0.27.10,0,27,10,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21231.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,10,pre_opqeq_five_d_index_profile
0.27.11,0,27,11,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,19111.0,22331.0,FD_VIOLATION,UK_CSV0000000000003896__7,11,pre_opqeq_five_d_index_profile
0.2.12,0,2,12,yearvalue,2102/13,2012/13,RANDOM_TYPO,UK_CSV0000000000003896__7,12,yearvalue
0.3.12,0,3,12,age_band,*,*,RANDOM_TYPO,UK_CSV0000000000003896__7,12,age_band
0.27.12,0,27,12,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,11123.0,FD_VIOLATION,UK_CSV0000000000003896__7,12,pre_opqeq_five_d_index_profile
0.3.13,0,3,13,age_band,70 to s79,70 to 79,RANDOM_TYPO,UK_CSV0000000000003896__7,13,age_band
0.27.13,0,27,13,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11111.0,21222.0,FD_VIOLATION,UK_CSV0000000000003896__7,13,pre_opqeq_five_d_index_profile
0.3.14,0,3,14,age_band,*,*,RANDOM_TYPO,UK_CSV0000000000003896__7,14,age_band
0.27.15,0,27,15,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,21222.0,FD_VIOLATION,UK_CSV0000000000003896__7,15,pre_opqeq_five_d_index_profile
0.3.17,0,3,17,age_band,50t o 59,50 to 59,RANDOM_TYPO,UK_CSV0000000000003896__7,17,age_band
0.27.18,0,27,18,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11131.0,11211.0,FD_VIOLATION,UK_CSV0000000000003896__7,18,pre_opqeq_five_d_index_profile
0.27.19,0,27,19,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,21231.0,FD_VIOLATION,UK_CSV0000000000003896__7,19,pre_opqeq_five_d_index_profile
0.27.20,0,27,20,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,21221.0,FD_VIOLATION,UK_CSV0000000000003896__7,20,pre_opqeq_five_d_index_profile
0.27.21,0,27,21,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,11122.0,FD_VIOLATION,UK_CSV0000000000003896__7,21,pre_opqeq_five_d_index_profile
0.27.23,0,27,23,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21221.0,11221.0,FD_VIOLATION,UK_CSV0000000000003896__7,23,pre_opqeq_five_d_index_profile
0.3.25,0,3,25,age_band,*,*,RANDOM_TYPO,UK_CSV0000000000003896__7,25,age_band
0.2.28,0,2,28,yearvalue,2012/31,2012/13,RANDOM_TYPO,UK_CSV0000000000003896__7,28,yearvalue
0.3.28,0,3,28,age_band,6h0 to 69,60 to 69,RANDOM_TYPO,UK_CSV0000000000003896__7,28,age_band
0.27.28,0,27,28,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21221.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,28,pre_opqeq_five_d_index_profile
0.27.29,0,27,29,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21221.0,21232.0,FD_VIOLATION,UK_CSV0000000000003896__7,29,pre_opqeq_five_d_index_profile
0.27.30,0,27,30,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,22223.0,11121.0,FD_VIOLATION,UK_CSV0000000000003896__7,30,pre_opqeq_five_d_index_profile
0.27.31,0,27,31,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,11121.0,22221.0,FD_VIOLATION,UK_CSV0000000000003896__7,31,pre_opqeq_five_d_index_profile
0.2.32,0,2,32,yearvalue,2012q/13,2012/13,RANDOM_TYPO,UK_CSV0000000000003896__7,32,yearvalue
0.3.32,0,3,32,age_band,0 to 39,30 to 39,RANDOM_TYPO,UK_CSV0000000000003896__7,32,age_band
0.27.33,0,27,33,pre_opqeq_five_d_index_profile_UK_CSV0000000000003896__7,21222.0,11111.0,FD_VIOLATION,UK_CSV0000000000003896__7,33,pre_opqeq_five_d_index_profile
