UK_CSV0000000000003896__7::0::post_opq_mobility | UK_CSV0000000000006856__0::1::post_opq_self_care,UK_CSV0000000000003896__7::1::varicose_veineq_five_d_index,UK_CSV0000000000003896__7::2::yearvalue,UK_CSV0000000000003896__7::3::age_band,UK_CSV0000000000003896__7::4::varicose_vein_post_opq_left_itch,UK_CSV0000000000003896__7::5::post_opq_discomfort,UK_CSV0000000000003896__7::6::varicose_vein_pre_opq_left_ulcer,UK_CSV0000000000003896__7::7::post_opq_self_care | UK_CSV0000000000006856__0::15::post_opq_discomfort,UK_CSV0000000000003896__7::8::varicose_vein_pre_opq_left_rash,UK_CSV0000000000003896__7::9::varicose_vein_post_opq_right_pain_days,UK_CSV0000000000003896__7::10::varicose_vein_pre_opq_right_ulcer,UK_CSV0000000000003896__7::11::varicose_vein_pre_opq_right_rash,UK_CSV0000000000003896__7::12::varicose_veinavvq_post_opq_predicted | UK_CSV0000000000006856__0::13::varicose_veinavvq_post_opq_predicted,UK_CSV0000000000003896__7::13::varicose_vein_post_opq_leisure,UK_CSV0000000000003896__7::14::varicose_vein_pre_opq_right_itch,UK_CSV0000000000003896__7::15::varicose_vein_post_opq_painkiller_days | UK_CSV0000000000006856__0::7::varicose_vein_pre_opq_clothing,UK_CSV0000000000003896__7::16::post_opq_anxiety,UK_CSV0000000000003896__7::17::post_opq_bleeding,UK_CSV0000000000003896__7::18::pre_opqeqvas | UK_CSV0000000000006856__0::14::pre_opqeqvas,UK_CSV0000000000003896__7::19::varicose_vein_pre_opq_right_discolour,UK_CSV0000000000003896__7::20::varicose_vein_pre_opq_left_itch | UK_CSV0000000000006856__0::12::varicose_vein_pre_opq_right_itch,UK_CSV0000000000003896__7::21::varicose_vein_pre_opq_left_discolour,UK_CSV0000000000003896__7::22::varicose_vein_post_opq_left_rash,UK_CSV0000000000003896__7::23::varicose_vein_pre_opq_right_pain_days | UK_CSV0000000000006856__0::2::varicose_vein_post_opq_work,UK_CSV0000000000003896__7::24::post_opq_wound,UK_CSV0000000000003896__7::25::pre_opqeq_five_d_index | UK_CSV0000000000006856__0::4::pre_opqeq_five_d_index,UK_CSV0000000000003896__7::26::varicose_vein_pre_opq_left_front_count | UK_CSV0000000000006856__0::17::varicose_vein_pre_opq_left_front_count,UK_CSV0000000000003896__7::27::pre_opqeq_five_d_index_profile,UK_CSV0000000000003896__7::28::varicose_vein_pre_opq_leisure | UK_CSV0000000000006856__0::3::varicose_vein_pre_opq_swelling,UK_CSV0000000000003896__7::29::varicose_vein_pre_opq_swelling | UK_CSV0000000000006856__0::9::varicose_vein_pre_opq_right_pain_days,UK_CSV0000000000003896__7::30::varicose_vein_post_opq_right_ulcer | UK_CSV0000000000006856__0::8::varicose_vein_post_opq_right_ulcer,UK_CSV0000000000003896__7::31::post_opq_readmitted | UK_CSV0000000000006856__0::16::varicose_vein_pre_opq_left_discolour,UK_CSV0000000000003896__7::32::varicose_vein_post_opq_work | UK_CSV0000000000006856__0::6::varicose_vein_post_opq_left_itch,UK_CSV0000000000003896__7::33::post_opq_further_surgery | UK_CSV0000000000006856__0::18::post_opq_wound,UK_CSV0000000000003896__7::34::varicose_vein_pre_opq_clothing | UK_CSV0000000000006856__0::10::varicose_vein_post_opq_leisure,UK_CSV0000000000003896__7::35::varicose_vein_pre_opq_score | UK_CSV0000000000006856__0::11::varicose_vein_pre_opq_score,UK_CSV0000000000006856__0::0::datevalue,UK_CSV0000000000006856__0::5::pre_opqeq_five_d_index_profile
UK_CSV0000000000003896__7 § 0 § 0,UK_CSV0000000000003896__7 § 1 § 0,UK_CSV0000000000003896__7 § 2 § 0,UK_CSV0000000000003896__7 § 3 § 0,UK_CSV0000000000003896__7 § 4 § 0,UK_CSV0000000000003896__7 § 5 § 0,UK_CSV0000000000003896__7 § 6 § 0,UK_CSV0000000000003896__7 § 7 § 0,UK_CSV0000000000003896__7 § 8 § 0,UK_CSV0000000000003896__7 § 9 § 0,UK_CSV0000000000003896__7 § 10 § 0,UK_CSV0000000000003896__7 § 11 § 0,UK_CSV0000000000003896__7 § 12 § 0,UK_CSV0000000000003896__7 § 13 § 0,UK_CSV0000000000003896__7 § 14 § 0,UK_CSV0000000000003896__7 § 15 § 0,UK_CSV0000000000003896__7 § 16 § 0,UK_CSV0000000000003896__7 § 17 § 0,UK_CSV0000000000003896__7 § 18 § 0,UK_CSV0000000000003896__7 § 19 § 0,UK_CSV0000000000003896__7 § 20 § 0,UK_CSV0000000000003896__7 § 21 § 0,UK_CSV0000000000003896__7 § 22 § 0,UK_CSV0000000000003896__7 § 23 § 0,UK_CSV0000000000003896__7 § 24 § 0,UK_CSV0000000000003896__7 § 25 § 0,UK_CSV0000000000003896__7 § 26 § 0,UK_CSV0000000000003896__7 § 27 § 0,UK_CSV0000000000003896__7 § 28 § 0,UK_CSV0000000000003896__7 § 29 § 0,UK_CSV0000000000003896__7 § 30 § 0,UK_CSV0000000000003896__7 § 31 § 0,UK_CSV0000000000003896__7 § 32 § 0,UK_CSV0000000000003896__7 § 33 § 0,UK_CSV0000000000003896__7 § 34 § 0,UK_CSV0000000000003896__7 § 35 § 0,,
UK_CSV0000000000003896__7 § 0 § 1,UK_CSV0000000000003896__7 § 1 § 1,UK_CSV0000000000003896__7 § 2 § 1,UK_CSV0000000000003896__7 § 3 § 1,UK_CSV0000000000003896__7 § 4 § 1,UK_CSV0000000000003896__7 § 5 § 1,UK_CSV0000000000003896__7 § 6 § 1,UK_CSV0000000000003896__7 § 7 § 1,UK_CSV0000000000003896__7 § 8 § 1,UK_CSV0000000000003896__7 § 9 § 1,UK_CSV0000000000003896__7 § 10 § 1,UK_CSV0000000000003896__7 § 11 § 1,UK_CSV0000000000003896__7 § 12 § 1,UK_CSV0000000000003896__7 § 13 § 1,UK_CSV0000000000003896__7 § 14 § 1,UK_CSV0000000000003896__7 § 15 § 1,UK_CSV0000000000003896__7 § 16 § 1,UK_CSV0000000000003896__7 § 17 § 1,UK_CSV0000000000003896__7 § 18 § 1,UK_CSV0000000000003896__7 § 19 § 1,UK_CSV0000000000003896__7 § 20 § 1,UK_CSV0000000000003896__7 § 21 § 1,UK_CSV0000000000003896__7 § 22 § 1,UK_CSV0000000000003896__7 § 23 § 1,UK_CSV0000000000003896__7 § 24 § 1,UK_CSV0000000000003896__7 § 25 § 1,UK_CSV0000000000003896__7 § 26 § 1,UK_CSV0000000000003896__7 § 27 § 1,UK_CSV0000000000003896__7 § 28 § 1,UK_CSV0000000000003896__7 § 29 § 1,UK_CSV0000000000003896__7 § 30 § 1,UK_CSV0000000000003896__7 § 31 § 1,UK_CSV0000000000003896__7 § 32 § 1,UK_CSV0000000000003896__7 § 33 § 1,UK_CSV0000000000003896__7 § 34 § 1,UK_CSV0000000000003896__7 § 35 § 1,,
UK_CSV0000000000003896__7 § 0 § 2,UK_CSV0000000000003896__7 § 1 § 2,UK_CSV0000000000003896__7 § 2 § 2,UK_CSV0000000000003896__7 § 3 § 2,UK_CSV0000000000003896__7 § 4 § 2,UK_CSV0000000000003896__7 § 5 § 2,UK_CSV0000000000003896__7 § 6 § 2,UK_CSV0000000000003896__7 § 7 § 2,UK_CSV0000000000003896__7 § 8 § 2,UK_CSV0000000000003896__7 § 9 § 2,UK_CSV0000000000003896__7 § 10 § 2,UK_CSV0000000000003896__7 § 11 § 2,UK_CSV0000000000003896__7 § 12 § 2,UK_CSV0000000000003896__7 § 13 § 2,UK_CSV0000000000003896__7 § 14 § 2,UK_CSV0000000000003896__7 § 15 § 2,UK_CSV0000000000003896__7 § 16 § 2,UK_CSV0000000000003896__7 § 17 § 2,UK_CSV0000000000003896__7 § 18 § 2,UK_CSV0000000000003896__7 § 19 § 2,UK_CSV0000000000003896__7 § 20 § 2,UK_CSV0000000000003896__7 § 21 § 2,UK_CSV0000000000003896__7 § 22 § 2,UK_CSV0000000000003896__7 § 23 § 2,UK_CSV0000000000003896__7 § 24 § 2,UK_CSV0000000000003896__7 § 25 § 2,UK_CSV0000000000003896__7 § 26 § 2,UK_CSV0000000000003896__7 § 27 § 2,UK_CSV0000000000003896__7 § 28 § 2,UK_CSV0000000000003896__7 § 29 § 2,UK_CSV0000000000003896__7 § 30 § 2,UK_CSV0000000000003896__7 § 31 § 2,UK_CSV0000000000003896__7 § 32 § 2,UK_CSV0000000000003896__7 § 33 § 2,UK_CSV0000000000003896__7 § 34 § 2,UK_CSV0000000000003896__7 § 35 § 2,,
UK_CSV0000000000003896__7 § 0 § 3,UK_CSV0000000000003896__7 § 1 § 3,UK_CSV0000000000003896__7 § 2 § 3,UK_CSV0000000000003896__7 § 3 § 3,UK_CSV0000000000003896__7 § 4 § 3,UK_CSV0000000000003896__7 § 5 § 3,UK_CSV0000000000003896__7 § 6 § 3,UK_CSV0000000000003896__7 § 7 § 3,UK_CSV0000000000003896__7 § 8 § 3,UK_CSV0000000000003896__7 § 9 § 3,UK_CSV0000000000003896__7 § 10 § 3,UK_CSV0000000000003896__7 § 11 § 3,UK_CSV0000000000003896__7 § 12 § 3,UK_CSV0000000000003896__7 § 13 § 3,UK_CSV0000000000003896__7 § 14 § 3,UK_CSV0000000000003896__7 § 15 § 3,UK_CSV0000000000003896__7 § 16 § 3,UK_CSV0000000000003896__7 § 17 § 3,UK_CSV0000000000003896__7 § 18 § 3,UK_CSV0000000000003896__7 § 19 § 3,UK_CSV0000000000003896__7 § 20 § 3,UK_CSV0000000000003896__7 § 21 § 3,UK_CSV0000000000003896__7 § 22 § 3,UK_CSV0000000000003896__7 § 23 § 3,UK_CSV0000000000003896__7 § 24 § 3,UK_CSV0000000000003896__7 § 25 § 3,UK_CSV0000000000003896__7 § 26 § 3,UK_CSV0000000000003896__7 § 27 § 3,UK_CSV0000000000003896__7 § 28 § 3,UK_CSV0000000000003896__7 § 29 § 3,UK_CSV0000000000003896__7 § 30 § 3,UK_CSV0000000000003896__7 § 31 § 3,UK_CSV0000000000003896__7 § 32 § 3,UK_CSV0000000000003896__7 § 33 § 3,UK_CSV0000000000003896__7 § 34 § 3,UK_CSV0000000000003896__7 § 35 § 3,,
UK_CSV0000000000003896__7 § 0 § 4,UK_CSV0000000000003896__7 § 1 § 4,UK_CSV0000000000003896__7 § 2 § 4,UK_CSV0000000000003896__7 § 3 § 4,UK_CSV0000000000003896__7 § 4 § 4,UK_CSV0000000000003896__7 § 5 § 4,UK_CSV0000000000003896__7 § 6 § 4,UK_CSV0000000000003896__7 § 7 § 4,UK_CSV0000000000003896__7 § 8 § 4,UK_CSV0000000000003896__7 § 9 § 4,UK_CSV0000000000003896__7 § 10 § 4,UK_CSV0000000000003896__7 § 11 § 4,UK_CSV0000000000003896__7 § 12 § 4,UK_CSV0000000000003896__7 § 13 § 4,UK_CSV0000000000003896__7 § 14 § 4,UK_CSV0000000000003896__7 § 15 § 4,UK_CSV0000000000003896__7 § 16 § 4,UK_CSV0000000000003896__7 § 17 § 4,UK_CSV0000000000003896__7 § 18 § 4,UK_CSV0000000000003896__7 § 19 § 4,UK_CSV0000000000003896__7 § 20 § 4,UK_CSV0000000000003896__7 § 21 § 4,UK_CSV0000000000003896__7 § 22 § 4,UK_CSV0000000000003896__7 § 23 § 4,UK_CSV0000000000003896__7 § 24 § 4,UK_CSV0000000000003896__7 § 25 § 4,UK_CSV0000000000003896__7 § 26 § 4,UK_CSV0000000000003896__7 § 27 § 4,UK_CSV0000000000003896__7 § 28 § 4,UK_CSV0000000000003896__7 § 29 § 4,UK_CSV0000000000003896__7 § 30 § 4,UK_CSV0000000000003896__7 § 31 § 4,UK_CSV0000000000003896__7 § 32 § 4,UK_CSV0000000000003896__7 § 33 § 4,UK_CSV0000000000003896__7 § 34 § 4,UK_CSV0000000000003896__7 § 35 § 4,,
UK_CSV0000000000003896__7 § 0 § 5,UK_CSV0000000000003896__7 § 1 § 5,UK_CSV0000000000003896__7 § 2 § 5,UK_CSV0000000000003896__7 § 3 § 5,UK_CSV0000000000003896__7 § 4 § 5,UK_CSV0000000000003896__7 § 5 § 5,UK_CSV0000000000003896__7 § 6 § 5,UK_CSV0000000000003896__7 § 7 § 5,UK_CSV0000000000003896__7 § 8 § 5,UK_CSV0000000000003896__7 § 9 § 5,UK_CSV0000000000003896__7 § 10 § 5,UK_CSV0000000000003896__7 § 11 § 5,UK_CSV0000000000003896__7 § 12 § 5,UK_CSV0000000000003896__7 § 13 § 5,UK_CSV0000000000003896__7 § 14 § 5,UK_CSV0000000000003896__7 § 15 § 5,UK_CSV0000000000003896__7 § 16 § 5,UK_CSV0000000000003896__7 § 17 § 5,UK_CSV0000000000003896__7 § 18 § 5,UK_CSV0000000000003896__7 § 19 § 5,UK_CSV0000000000003896__7 § 20 § 5,UK_CSV0000000000003896__7 § 21 § 5,UK_CSV0000000000003896__7 § 22 § 5,UK_CSV0000000000003896__7 § 23 § 5,UK_CSV0000000000003896__7 § 24 § 5,UK_CSV0000000000003896__7 § 25 § 5,UK_CSV0000000000003896__7 § 26 § 5,UK_CSV0000000000003896__7 § 27 § 5,UK_CSV0000000000003896__7 § 28 § 5,UK_CSV0000000000003896__7 § 29 § 5,UK_CSV0000000000003896__7 § 30 § 5,UK_CSV0000000000003896__7 § 31 § 5,UK_CSV0000000000003896__7 § 32 § 5,UK_CSV0000000000003896__7 § 33 § 5,UK_CSV0000000000003896__7 § 34 § 5,UK_CSV0000000000003896__7 § 35 § 5,,
UK_CSV0000000000003896__7 § 0 § 6,UK_CSV0000000000003896__7 § 1 § 6,UK_CSV0000000000003896__7 § 2 § 6,UK_CSV0000000000003896__7 § 3 § 6,UK_CSV0000000000003896__7 § 4 § 6,UK_CSV0000000000003896__7 § 5 § 6,UK_CSV0000000000003896__7 § 6 § 6,UK_CSV0000000000003896__7 § 7 § 6,UK_CSV0000000000003896__7 § 8 § 6,UK_CSV0000000000003896__7 § 9 § 6,UK_CSV0000000000003896__7 § 10 § 6,UK_CSV0000000000003896__7 § 11 § 6,UK_CSV0000000000003896__7 § 12 § 6,UK_CSV0000000000003896__7 § 13 § 6,UK_CSV0000000000003896__7 § 14 § 6,UK_CSV0000000000003896__7 § 15 § 6,UK_CSV0000000000003896__7 § 16 § 6,UK_CSV0000000000003896__7 § 17 § 6,UK_CSV0000000000003896__7 § 18 § 6,UK_CSV0000000000003896__7 § 19 § 6,UK_CSV0000000000003896__7 § 20 § 6,UK_CSV0000000000003896__7 § 21 § 6,UK_CSV0000000000003896__7 § 22 § 6,UK_CSV0000000000003896__7 § 23 § 6,UK_CSV0000000000003896__7 § 24 § 6,UK_CSV0000000000003896__7 § 25 § 6,UK_CSV0000000000003896__7 § 26 § 6,UK_CSV0000000000003896__7 § 27 § 6,UK_CSV0000000000003896__7 § 28 § 6,UK_CSV0000000000003896__7 § 29 § 6,UK_CSV0000000000003896__7 § 30 § 6,UK_CSV0000000000003896__7 § 31 § 6,UK_CSV0000000000003896__7 § 32 § 6,UK_CSV0000000000003896__7 § 33 § 6,UK_CSV0000000000003896__7 § 34 § 6,UK_CSV0000000000003896__7 § 35 § 6,,
UK_CSV0000000000003896__7 § 0 § 7,UK_CSV0000000000003896__7 § 1 § 7,UK_CSV0000000000003896__7 § 2 § 7,UK_CSV0000000000003896__7 § 3 § 7,UK_CSV0000000000003896__7 § 4 § 7,UK_CSV0000000000003896__7 § 5 § 7,UK_CSV0000000000003896__7 § 6 § 7,UK_CSV0000000000003896__7 § 7 § 7,UK_CSV0000000000003896__7 § 8 § 7,UK_CSV0000000000003896__7 § 9 § 7,UK_CSV0000000000003896__7 § 10 § 7,UK_CSV0000000000003896__7 § 11 § 7,UK_CSV0000000000003896__7 § 12 § 7,UK_CSV0000000000003896__7 § 13 § 7,UK_CSV0000000000003896__7 § 14 § 7,UK_CSV0000000000003896__7 § 15 § 7,UK_CSV0000000000003896__7 § 16 § 7,UK_CSV0000000000003896__7 § 17 § 7,UK_CSV0000000000003896__7 § 18 § 7,UK_CSV0000000000003896__7 § 19 § 7,UK_CSV0000000000003896__7 § 20 § 7,UK_CSV0000000000003896__7 § 21 § 7,UK_CSV0000000000003896__7 § 22 § 7,UK_CSV0000000000003896__7 § 23 § 7,UK_CSV0000000000003896__7 § 24 § 7,UK_CSV0000000000003896__7 § 25 § 7,UK_CSV0000000000003896__7 § 26 § 7,UK_CSV0000000000003896__7 § 27 § 7,UK_CSV0000000000003896__7 § 28 § 7,UK_CSV0000000000003896__7 § 29 § 7,UK_CSV0000000000003896__7 § 30 § 7,UK_CSV0000000000003896__7 § 31 § 7,UK_CSV0000000000003896__7 § 32 § 7,UK_CSV0000000000003896__7 § 33 § 7,UK_CSV0000000000003896__7 § 34 § 7,UK_CSV0000000000003896__7 § 35 § 7,,
UK_CSV0000000000003896__7 § 0 § 8,UK_CSV0000000000003896__7 § 1 § 8,UK_CSV0000000000003896__7 § 2 § 8,UK_CSV0000000000003896__7 § 3 § 8,UK_CSV0000000000003896__7 § 4 § 8,UK_CSV0000000000003896__7 § 5 § 8,UK_CSV0000000000003896__7 § 6 § 8,UK_CSV0000000000003896__7 § 7 § 8,UK_CSV0000000000003896__7 § 8 § 8,UK_CSV0000000000003896__7 § 9 § 8,UK_CSV0000000000003896__7 § 10 § 8,UK_CSV0000000000003896__7 § 11 § 8,UK_CSV0000000000003896__7 § 12 § 8,UK_CSV0000000000003896__7 § 13 § 8,UK_CSV0000000000003896__7 § 14 § 8,UK_CSV0000000000003896__7 § 15 § 8,UK_CSV0000000000003896__7 § 16 § 8,UK_CSV0000000000003896__7 § 17 § 8,UK_CSV0000000000003896__7 § 18 § 8,UK_CSV0000000000003896__7 § 19 § 8,UK_CSV0000000000003896__7 § 20 § 8,UK_CSV0000000000003896__7 § 21 § 8,UK_CSV0000000000003896__7 § 22 § 8,UK_CSV0000000000003896__7 § 23 § 8,UK_CSV0000000000003896__7 § 24 § 8,UK_CSV0000000000003896__7 § 25 § 8,UK_CSV0000000000003896__7 § 26 § 8,UK_CSV0000000000003896__7 § 27 § 8,UK_CSV0000000000003896__7 § 28 § 8,UK_CSV0000000000003896__7 § 29 § 8,UK_CSV0000000000003896__7 § 30 § 8,UK_CSV0000000000003896__7 § 31 § 8,UK_CSV0000000000003896__7 § 32 § 8,UK_CSV0000000000003896__7 § 33 § 8,UK_CSV0000000000003896__7 § 34 § 8,UK_CSV0000000000003896__7 § 35 § 8,,
