objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
150,2008,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",0.33168182,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting forD irect Consumption,9246758.45733643,20951.4117919319
151,2008,C-TC2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",0.50528294,Not Assessed,FullyS upporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14086479.9923706,30531.0415079853
152,2008,CT-E2_002,"LIS EB Shore - Stonington Point, Stonington","See Map for Boundaries. Eastern portion of LIS from Stonington Point to RR crossing on west side of Wequetequock Cove, out approximately 1000 ft offshore.",0.6681745,Not Assesvsed,Not Assesed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18627636.1362915,43631.7253247064
154,2008,CT-C2_001,"LIS CB Shore - Westbrook Harbor (East), Westbrook","See Map for Boundaries. Centralp portion of LIS from Fiske Lane to Old Saltworks Road (includes Middle Beach), out approximately 1000 ft offshore, Westbrook.",0.24352621,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6789121.29382324,17052.0812227048
155,2008,CT-C3_002,"LIS CB Midshore - Duck Island area, Clinton","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Clinton Beach, includes Duck Island and Menunketesuck Island areas), out to 50 ft contour, Clinton.",3.61909564,Fully Supporting,Not mAssessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,100894596.085693,62265.2461081296
156,2008,CT-C2_007,"LIS CB Shore - Madison eaches (West), Madison","See Map for Boundaries. Central portion of LIS from Hogshead Point to West Warf area (includes Surf Club Beach, Chipman Point), out approximately 1000 ft offshore, Madison.",0.48182474,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13432502.8557129,29157.803139868
157,2008,CT-C3_004,"LIS CB Midshore -H ammonasset Beach area, Madison","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Madison Beaches, inlcuding area nearshore Hammonasset Beach State Park), out to 50 ft contour, Madison.",5.5537515,Fully Supprting,Not Assessed,uFlly Supporting,Not Supporting Harvesting for Direct Cosnumption,154829705.901978,51678.9367295456
160,2008,CT-E1_032,"LIS EB Inner - Oyster River Area, Old Saybrook","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Oyster River, Plum Bank Creek, and Back River from mouths on Indian Harbor, US to saltwater limits (Oyster River is to RR crossing above Route 1), Old Saybrook.",0.09815465,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,2736394.59490967,60412.0746500354
161,2008,CT-C1_010,LIS CB Inner - Patchogue And Menunketesuck Rivers,"See Map for Boundaries. Central portion of LIS, Inner Estuary, Patchogue and Menunketesuck Rivers from mouhts at Grove Beach Point, US to saltwater limits just above I95 crossing, and at I95 crossing respectively, Westbrook.",0.18152651,Not Assessde,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,5060668.84375,88922.0596382774
162,2008,CT-W3_02,"LIS WB Midshore - Outer Stamford Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Greenwich Point to Shippan Point area), out to 50 ft contour, Greenwich/Stamford.",2.1013365,Not Supporting,Ndot Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,58581899.6998291,32734.2928844888
163,2008,CT-W3_011,"LIS WB Midshore - Outer Westcott Cve, Stamford","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Shippan Point to Greenway Island, outer Westcott Cove, Cove Harbor, Darien Cove, Scott Cove areas), out to 50 ft contour, Stamford.",2.40385262,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,67015564.938324,43044.6330024383
164,2008,CT-W2_019,"LIS WB Shore - Stamford Harbor, Stamford","See Map for Boundaries. Western portion of LIS from Peck Point to near intersection of Hobson Street and Sea Beach Drive (includes Flathead Rocks, Davenport Point, Shippan Point, outer Stamford Harbor) out approximately 1000 ft offshore, Stamford.",0.52406973,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting fo rDirect Consumption,14610225.5737,31564.1899310242
165,2008,C-TW1_012-SB,"LIS WB Inner - oNrwalk Harbor, Norwalk","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Norwalk Harbor (Calf Pasture Point), US to saltwater limit at Wall Street Crossing (EXCLUDES eastern cove of Marvin Beach), Norwalk.",0.94185811,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,26257497.2741699,70932.9240959622
166,2008,CT-W1_013-SB,"LIS WB Inner - Norwalk Hrbr (MarvineBach), Norwalk","See Map for Boundaries. Western portion of LIS, Inner Estuary, eastern embayment of Norwalk Harbor, from Gregory Point to Fitch Point into shore (includes Marvin Beach), Norwalk.",0.04391876,Not Supporting,NotSupporting,Fully Supporting,Fully Supporting Commercial Havesting where Authorized,1224385.02801514,6714.80010761385
