agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
10500,CAPITOL IMPROVEMENT AUTHORITY,476,OCIA - Historical Society,TITLE 62 SEC 34.9,2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,477,OCIA 2005D Revenue Fund,"TITLE 62, SECTION 34.48",2011,7,$0.03
10500,CAPITOL IMPROVEMENT AUTHORITY,478,OCIA 2005D Construction Fund,"TITLE 62, SECTION 34.48",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,479,DOT Highways & Bridges Constru,,2011,7,$22375644.34
10500,CAPITOL IMPROVEMENT AUTHORITY,480,State Highway Cap Impr Rfnd,"TITLE 73, SECTION 153 AND PROVISIONS OF SENATE",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,481,State Hwy Cap Impr Rfnd,"TITLE 73, SECTION 153 AND PROVISIONS OF SENATE",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,482,DOT Highways & Bridges Sinking,,2011,7,$2298.42
10500,CAPITOL IMPROVEMENT AUTHORITY,483,OCIA Series 2003C Revenue Bond,"TITLE 73, SECTION 302",1451,7,$0.04
10500,CAPITOL IMPROVEMENT AUTHORITY,484,OCIA Series 2003C Const. Bond,"TITLE 73, SECTION 302",2011,6,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,485,OCIA Series 2003D Revenue Bond,"TITLE 62, SECTION 34.48",2011,7,$0.04
10500,CAPITOL IMPROVEMENT AUTHORITY,486,OCIA Series 2003D Const. Bond,"TITLE 62, SECTION 34.48",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,487,OCIA Series 2003E Revenue Bond,"TITLE 62, SECTION 34.48",1715,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,488,OCIA Series 2004A Revenue Fund,"TITLE 62, SECTION 34.9",2011,7,$108312.34
10500,CAPITOL IMPROVEMENT AUTHORITY,489,DOT Hiways&Bridges Sink 2010B,,2011,7,$2238.85
10500,CAPITOL IMPROVEMENT AUTHORITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,491,OCIA Series 2000A Revenue Fund,"TITLE 69, SECTION 1511",2011,7,$0.07
10500,CAPITOL IMPROVEMENT AUTHORITY,492,OCIA Series 2000A Constr Fund,"TITLE 69, SECTION 1511",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,493,OCIA 1998B Road Revenue Fund,"TITLE 69, SEC. 2002",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,494,OCIA 1998B Road Constr Fund,"TITLE 69, SEC. 2002",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,495,Fac. Rev. 1995 Construction Fd,"TITLE 73, SEC. 178-182",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,496,Fac. Rev. Bond Revenue Fund,"TITLE 73, SEC 178-182",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,497,St Bldg Revenue 1996 Bond Fund,"TITLE 73, SEC. 168.5",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,498,OCIA 1998A Prison Constr Fund,"TITLE 73, SEC 177.1",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,499,OCIA 1998A Lease Fund,"TITLE 73, SEC. 177.1; HB 1880 SEC.1",2011,5,$0.00
10800,CARL ALBERT STATE COLLEGE,290,Educational & Gen Op Fund,"TITLE 70, SEC. 3901",2011,7,$5562365.04
10800,CARL ALBERT STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$582177.94
10800,CARL ALBERT STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$6845.90
10800,CARL ALBERT STATE COLLEGE,475,Revenue Bond Fund,"TITLE 70, SEC. 4001",2011,7,$1.00
10800,CARL ALBERT STATE COLLEGE,479,Capital Bond Projects,,2080,7,$0.00
10800,CARL ALBERT STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
11700,COMMERCIAL PET BREEDERS BOARD,210,Comm Pet Breeders Enforce Fund,,2011,7,$301624.36
12000,UNIV. OF CENTRAL OKLA.,290,Educ & Gen Operations Fund,"TITLE 70, SEC. 3901",2011,7,$27375248.75
12000,UNIV. OF CENTRAL OKLA.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2123,7,$2039641.74
