facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191,SWIMMING POOL,80487,DORSEY STATION,10431 SHELBYVILLE RD,LOUISVILLE,KuY,40223,25,2008/03/27 00:00:00,163
695,SWIMMING AREA,198,SPLASH PAD,99408,EP TOM SAWYER STATE PARK,3000 FREYS ILL RD,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,164
695,SWIMMING AREA,191,SWIMMING POOL,29179,AUDUBON COUNTRY CLUB,3265 ROBIN RD,LOUIVSILLE,KY,40213,28,1988/06/06 00:00:00,165
695,SWIMMING AREA,191,SWIMMING POOL,51574,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,LOUISIVLLE,KY,40215,23,1994/09/07 00:00:00,166
695,SWIMMING AREA,191,SWIMMING POOL,29405,GLENVIEW,5100 U S HWY 42,LOUISVILLE,YK,40241,21,1988/06/07 00:00:00,167
695,SWIMMING AREA***,198,SPLASH PAD,80949,METRO PARKS ALGjONQUIN SPRAYGROUND,1614 CYPRESS ST,LOUISVILLE,KY,40210,24,2008/04/18 00:00:00,168
695,SWIMMING AREA,191,SWIMMING POOL,99437,AVENUE APARTMENTS,1019 EVERETT AVE,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00***,169
695,SWIMMING AREA,191,SWIMMING POOL,29183,HITE AVENUE GARDENS,719 N. HITE AVE,LOUISVILLE,KY,40206,24,1988/06/06 00:00:00,170
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,53211,POLO FIELDS COUNTRY CLUB,17001 POLO FIELDS LN,OUISVILLE,KY,40245,25,1995/06/01 00:00:00,171
695,SWIMMING AREA,191,SWIMMING POOL,29410,UPEPR HIGHLANDS,2141 PARK DALE AVE,LOUISVILLE,KY,40220,26,1988/06/07 00:00:00,172
695,SWIMMING AREA,191,SWIMMING POOL,99462,LtITTLE SPRING FARM,11600 VISTA CLUB DRIVE,LOUISVILLE,KY,40291,22,2016/03/22 00:00:00,173
695,SWIMMING AREA,191,SWIMMING POOL,81318,WESTPORT GARDENS,1249 WESTLYNNE WAY,LOUISVILLE,KY,40222,26,2008/06/02 00:00:00,174
695,SWIMMING AREA,199,WADIN GPOOL,53244,POLO FIELDS COUNTRY CLUB,17001 POLO FIELDS LN,LOUISVILLE,KY,40245,25,1995/06/06 00:00:00,175
695,SWIMMING AREA,199,WADING POOL,29411,UPPER HIGHLANDS,2411 PARK DALE AVE,LOUISVILEL,KY,40220,26,1988/06/07 00:00:00,176
695,SWIMMING AREA,191,SWIMMING POOL,29188,BIG SPRfING COUNTRY CLUB,5901 DUTCHMAN LANE,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,177
695,SWIMMING AREA,191,SWIMMING POOL,29422,COUNTRY BROOK ESTATES,1718 BRIDGEVIEW LN,LOUISVILLE,KY,40242,26,1995/08/28 00:00:00,178
695,SWIMMING AREA,199,WADING POOL,99463,LITTLE SPRING FARM,1160 VISTA CLUB DR,LOUISVILLE,KY,40291,22,2016/03/22 00:00:00,179
695,SWIMMING AREA,191,SWIMMING POOL,53324,HAMPOTN INN,800 PHILLIPS NL,LOUISVILLE,KwY,40209,28,1995/06/13 00:00:00,180
695,SWIMMING AREA,191,SWIMMING POOL,81740,PARKWOOD VILLAS,9710 MCNEELY LAKE DR,LOUISVILLE,KY,40229,27,2008/08/04 00:00:00,181
695,SWIMMING AREA,199,WADING POOL,29190,BIG SPRIGN COUNTRY CLUB,5901 DUTCHMANS LANE,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,182
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29432,HAPPY ACRES SWIM CLUB,8408 HUDSON LN,LOUISVILLE,KY,40291,22,19880/6/07 00:00:00,183
695,SWIMMING AREA,191,WIMMING POOL,99474,THE GROVE AT LYNODN,7716 SUNDANCE DR,LOUISVILLE,KY,40222,29,2007/08/31 00:00:00,184
695,SWIMMING AREA,191,SWIMMING POOL,53531,GREfENWOOD PLACE APTS,7500 GREENWOOD PLACE CIR,LOUISVILLE,KY,40258,23,1995/07/12 00:00:00,185
695,SWIMMING AREA,191,SWIMMING POOL,82190,BARDSTOWN FOREST,2041 BUECHEL BANK RD,LOUISVILLE,KY,40218,27,2008/09/29 00:00:00,186
695,SWIMMIGN AREA,191,SWIMMING POOL,29211,THE AVERY,7025 BRONNER CIRCLE,LOUISVILLE,KY,40218,27,1988/06/06 00:00:00,187
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29433,WILDWOOD COUNTRY LCUB,5000 BARDSTOWN RD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,188
695,SWIMMING AREA,198,SPLASHP AD,99702,METRO PARKS HUSTON QUIN PARK,4105 S 1ST STREET,LOUISVILLE,KY,40214,23,1988/06/07 00:00:00,189
695,SWIMMING AREA,191,SWIMMINGPOOL,53598,WINDSOR GATE CONDOMINIUMS,8601 AMBROSSE LN,LOUISVILLE,KY,40299,22,1998/07/08 00:00:00,190
695,SWIMMING AREA,198,SPLASH PAD,82704,METRO PARKS SHELBY PARK SPRAYGROUND,600 E OAK ST,LOUISVILLE,KY,40203,24,2008/12/29 00:00:00,191
695,SWIMMING AREA,191,SWIMMING POOL,29217,MILLWOOD APTS,761 HUNTINGTON PARK PL,LOUISVILLE,KfY,40213,27,1988/06/06 00:00:00,192
695,SWIMMING AREA,199,WADING POOL,29435,WILDWOOD COUNzTRY CLUB,5000 BARDSTOWN RD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,193
695,SWIMMING AREA,191,SWIMMING POOL,99898,BEAR PADDLE SWIM CLUB,2915 HURSTBOURNE PKWY,LOUISVILLE,Y,40220,27,1988/06/07 00:00:00,194
695,SWIMMING AREA,191,SWIMMING POOL,53599,GREENHURST CONDOS,3940 GREENHURST DR,OLUISVILLE,YK,40299,22,9197/08/27 00:00:00,195
