objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
93,2020,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,"LAKE, FRESHWATER",65.77,Acres,746,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,7494.95399457667,2864776.68723796
94,2020,CT6700-03-1-L2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,"LAKE, FRESHWATER",16.34,Acres,1894,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,3355.22721190262,711650.978445848
95,2020,CT6500-00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,"LAKE, FRESHWATER",82.26,Acres,2681,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,8764.79567797353,3583242.82886709
96,2020,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris","LAKE, FRESHWATER",955.45,Acres,110,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,49683.926527037,41619104.5919821
97,2020,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.","LAKE, FRESHWATER",640.81,Acres,1544,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,48901.5422399421,27913623.9889144
98,2020,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.","LAKE, FRESHWATER",20.14,Acres,1602,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4538.23578406038,877487.876644157
99,2020,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.","LAKE, FRESHWATER",55.14,Acres,1934,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7952.2130398767,2401886.590557
100,2020,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.","LAKE, FRESHWATER",65.66,Acres,1172,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,9102.20490686733,2860026.727609
101,2020,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.","LAKE, FRESHWATER",5.3,Acres,2048,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2783.44511940392,230909.922728745
102,2020,CT6804-02-1-L1_01,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.","LAKE, FRESHWATER",101.41,Acres,1675,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18026.993986236,4417389.51563255
