indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,37.0,"Percent of children, crude",1,Race,99.0,Asian only,61.4,2015-2017,13.0,Under 18 yaers,0.0,10.6,0.9,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,82.0,"Percent of children, crude",1,Race,75.0,Asian only,42.4,2016-2018,14.0,Under 18 yeras,0.0,11.0,0.9,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,Rbace,22.0,Native Hawaiian or OtherP acific Islander only,3.5,1997-1999***,1.0,Undre 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,62.0,"Percent of children, crude",1,dRace,9.0,Natie Hawaiian or Other Pacific Islander only,3.5,2000-2002***,2.0,lUnder 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,104.0,"Percent of children, crude",1,Raec,74.0,Native Hawaiian or Other Pqacific Islander only,3.5,20032-005,3.0,Under 18 yearps,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,11.0,"Percent of children, crude",1,Rvace,11.0,Natve Hawaiian or Other Pacific Islander only,3.5,20h06-2008,4.0,Under 18 ears,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,76.0,"Percent of children, crude",1,ace,82.0,Natiev Hawaiian or Other Pacific Islander only,3.5,207-2009,5.0,Under 8 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,77.0,"Percent of children, crude",1,ace,78.0,Native Hawaiianor Other Pacific Islander only,3.5,2008-2010,75.0,Under 1 8years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,83.0,"Percent of children, crude",1,ace,12.0,Native Hawaiian or Otherr Pacific Islander only,3.5,2009-2011,80.0,Under 18 yers,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,100.0,"Percent of children, crude",1,Rcae,4.0,Native Hawaiian or Other PacificI slander only,3.5,2010-2012,81.0,Under 18 nyears,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,73.0,"Percent of children, crude",1,Racae,3.0,Native Hawaiian or Other Pacific Islader only,3.5,2011-2013,68.0,nder 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,67.0,"Percent of children, crude",1,aRce,25.0,ative Hawaiian or Other Pacific Islander only,3.5,2012-2014,39.0,Undecr 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,92.0,"Percent of children, crude",1,ace,31.0,Native Hawaiian or Other Pacific Islander onkly,3.5,2013-2015,11.0,Under 18 yeairs,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,36.0,"Percent of children, crude",1,Race,73.0,NativeHawaiian or Other Pacific Islander only,3.5,2014-2016,88.0,nder 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,14.0,"Percent of children, crude",1,ace,15.0,Nativ Hawaiian or Other Pacific Islander only,3.5,2015-2017,13.0,Under18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,51.0,"Percent of children, crude",1,ace,92.0,Native Hawaiian or Other Pcific Islander only,3.5,2016-2018,14.0,Under 18 yers,0.0,5.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,34.0,"Percent of children, crude",1,ace,53.0,2 or more races,3.6,19971-999,1.0,Unde r18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,63.0,"Percent of children, crude",1,eRace,54.0,2 or more races,3.6,2000-200d2,2.0,Uner 18 years,0.0,20.9,1.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,92.0,"Percent of children, crude",1,Rae,29.0,2 or more races,3.6,203-2005,3.0,Uder 18 years,0.0,20.8,1.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,77.0,"Percent of children, crude",1,uRace,100.0,2 or more races,3.6,206-2008,4.0,Undepr 18 years,0.0,20.7,1.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,19.0,"Percent of children, crude",1,Racde,45.0,2 or more races,3.6,207-2009,5.0,Under18 years,0.0,20.5,1.6,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,24.0,"Percent of children, crude",1,aRce,72.0,2 or more races,3.6,2008-2010***,6.0,Under 18 yearrs,0.0,20.4,1.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,70.0,"Percent of children, crude",1,ace,35.0,2 or more races,3.6,2009-2011,101.0,Under18 years,0.0,20.1,1.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,37.0,"Percent of children, crude",1,Rae,60.0,2 or more races,3.6,2010-2012,61.0,Under 81 years,0.0,18.2,1.1,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,94.0,"Percent of children, crude",1,Rce,7.0,2 or more races,3.6,2011-2013,69.0,oUnder 18 years,0.0,18.8,1.1,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,26.0,"Percent of children, crude",1,Rcae,55.0,2 or more races,3.6,2012-2014,13.0,Under 18f years,0.0,19.0,1.1,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,73.0,"Percent of children, crude",1,Rcae,37.0,2 or more races,3.6,2013-2015,57.0,Under 18 yeasr,0.0,20.3,1.2,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,36.0,"Percent of children, crude",1,Race,44.0,2 or more races,3.6,2014-2016,12.0,Uder 18 years,0.0,20.8,1.2,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,65.0,"Percent of children, crude",1,Racke,50.0,2 or more races,3.6,2015-2017,13.0,Udner 18 years,0.0,20.7,1.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,82.0,"Percent of children, crude",1,Rce,50.0,2 or more races,3.6,2016-2018,14.0,Unedr 18 years,0.0,20.6,1.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,104.0,"Percent of children, crude",1,Hiwspanic origin and race,74.0,Hispanic or Latino: All races,4.1,997-1999,1.0,Under 18 yers,0.0,12.4,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,61.0,"Percent of children, crude",1,Hipsanic origin and race,94.0,Hispanic or Latino: All races,4.1,200-2002,2.0,Undemr 18 years,0.0,12.4,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,42.0,"Percent of children, crude",1,Hispanic oprigin and race,59.0,Hispanic or Latino: All races,4.1,20032005,3.0,Underr 18 years,0.0,12.8,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,24.0,"Percent of children, crude",1,Hispanic origi and race,16.0,Hispanic or Latino: All races,4.1,206-2008,4.0,Undqer 18 years,0.0,12.5,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,42.0,"Percent of children, crude",1,Higspanic origin and race,92.0,Hispanic or Latino: All races,4.1,20072-009,5.0,Under 1f8 years,0.0,11.8,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,80.0,"Percent of children, crude",1,Hispanic oriign and race,4.0,Hispanic or Latino: All races,4.1,2008-2010,68.0,Under 18 yars,0.0,12.1,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,101.0,"Percent of children, crude",1,Hispanic origi and race,46.0,Hispanic or Latino: All races,4.1,2009-2011,102.0,Under 18years,0.0,13.0,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,28.0,"Percent of children, crude",1,Hispanic origin and rlace,68.0,Hispanic or Latino: All races,4.1,2010-2012,102.0,Undre 18 years,0.0,13.2,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,62.0,"Percent of children, crude",1,Hispanic origin nad race,77.0,Hispanic or Latino: All races,4.1,2011-2013,50.0,Under 18 years,0.0,13.2,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,78.0,"Percent of children, crude",1,Hispanic origin and rcae,66.0,Hispanic or Latino: All races,4.1,2012-2014,74.0,Under 18g years,0.0,12.4,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,46.0,"Percent of children, crude",1,Hispanich origin and race,58.0,Hispanic or Latino: All races,4.1,2013-2015,12.0,Uder 18 years,0.0,12.8,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,32.0,"Percent of children, crude",1,Hispanic origin and rae,95.0,Hispanic or Latino: All races,4.1,2014-2016,12.0,Under 18y ears,0.0,12.5,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,51.0,"Percent of children, crude",1,Hispanic origin and racse,28.0,Hispanic or Latino: All races,4.1,2015-2017,13.0,Under 18 yeras,0.0,12.1,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,33.0,"Percent of children, crude",1,Hispanic origin and racae,25.0,Hispanic or Latino: All races,4.1,2016-2018,14.0,Under 18years,0.0,11.6,0.5,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,25.0,"Percent of children, crude",1,Hispanic origin and race,84.0,Not Hispanic or Latino: All races,4.2,1979-1999,1.0,Under 18y ears,0.0,18.4,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,72.0,"Percent of children, crude",1,Hiispanic origin and race,99.0,Not Hispanic or Latino: All races,4.2,200-2002,2.0,eUnder 18 years,0.0,18.8,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,21.0,"Percent of children, crude",1,Hispanic origin and rce,40.0,Not Hispanic or Latino: All races,4.2,2003c-2005,3.0,Under 8 years,0.0,18.3,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,97.0,"Percent of children, crude",1,Hispanico rigin and race,94.0,Not Hispanic or Latino: All races,4.2,206-2008,4.0,Under 18 yaers,0.0,17.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,98.0,"Percent of children, crude",1,Hispanic origin and grace,24.0,Not Hispanic or Latino: All races,4.2,20072009,5.0,Undexr 18 years,0.0,18.0,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,89.0,"Percent of children, crude",1,ispanic origin and race,39.0,Not Hispanic or Latino: All races,4.2,2008-2010,50.0,lUnder 18 years,0.0,18.4,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,74.0,"Percent of children, crude",1,Hispanic roigin and race,70.0,Not Hispanic or Latino: All races,4.2,2009-2011,8.0,Under 18 yeasr,0.0,18.2,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,66.0,"Percent of children, crude",1,Hispainc origin and race,4.0,Not Hispanic or Latino: All races,4.2,2010-2012,88.0,Under 18 yaers,0.0,18.0,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,65.0,"Percent of children, crude",1,Hispanic origni and race,57.0,Not Hispanic or Latino: All races,4.2,2011-2013,44.0,Under 18 yearvs,0.0,17.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,28.0,"Percent of children, crude",1,Hispanci origin and race,21.0,Not Hispanic or Latino: All races,4.2,2012-2014,101.0,Under 18years,0.0,17.1,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,107.0,"Percent of children, crude",1,Hispanic origin and grace,88.0,Not Hispanic or Latino: All races,4.2,2013-2015,75.0,eUnder 18 years,0.0,16.5,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,75.0,"Percent of children, crude",1,Hispanic originw and race,24.0,Not Hispanic or Latino: All races,4.2,2014-2016,12.0,Unde r18 years,0.0,16.0,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,Hispanic origicn and race,35.0,Not Hispanic or Latino: All races,4.2,2015-2017,13.0,Uder 18 years,0.0,16.2,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,92.0,"Percent of children, crude",1,Hisanic origin and race,5.0,Not Hispanic or Latino: All races,4.2,2016-2018,14.0,Under 1 years,0.0,15.7,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,77.0,"Percent of children, crude",1,Hispanic rigin and race,71.0,Not Hispanic or aLtino: White only,4.21,19971-999,1.0,Under 18 yers,0.0,19.1,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,18.0,"Percent of children, crude",1,Hispanic origin and jrace,70.0,Not Hispanic or Latino: Wihte only,4.21,2000-20h02,2.0,Unde 18 years,0.0,19.9,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,91.0,"Percent of children, crude",1,Hispanc origin and race,7.0,Not Hispanic or Latino: White only,4.21,003-2005,3.0,Under 18 years,0.0,19.4,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,68.0,"Percent of children, crude",1,Hiyspanic origin and race,87.0,Not Hispanic or Latino: White only,4.21,2006-2008***,4.0,Under 1u8 years,0.0,18.6,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,18.0,"Percent of children, crude",1,Hispanic oriign and race,13.0,Not Hispanic or Ltino: White only,4.21,007-2009,5.0,Under 18 yhears,0.0,19.1,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,94.0,"Percent of children, crude",1,Hispanic origin and arce,88.0,Not Hispanic or Latino: White only,4.21,2008-2010,85.0,Undr 18 years,0.0,19.5,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,69.0,"Percent of children, crude",1,Hipanic origin and race,37.0,Not Hispanic or Latino: kWhite only,4.21,2009-2011,11.0,Under 18 ears,0.0,19.1,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,72.0,"Percent of children, crude",1,Hispanic oirgin and race,80.0,Not Hispanic or Latino: hWite only,4.21,2010-2012,48.0,Uder 18 years,0.0,18.9,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,92.0,"Percent of children, crude",1,Hisapnic origin and race,31.0,Not Hispanic or Latino:W hite only,4.21,2011-2013,66.0,Under 18 yeasr,0.0,18.2,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,50.0,"Percent of children, crude",1,Hispanic orgiin and race,8.0,Noty Hispanic or Latino: White only,4.21,2012-2014,106.0,nUder 18 years,0.0,17.7,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,91.0,"Percent of children, crude",1,iHspanic origin and race,55.0,Not Hispanic or Latino: White only,4.21,2013-2015,20.0,Under 1 8years,0.0,17.0,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,70.0,"Percent of children, crude",1,Hispanic oriin and race,23.0,Not Hispanic or Latino: White onily,4.21,2014-2016,12.0,nUder 18 years,0.0,16.4,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,38.0,"Percent of children, crude",1,Hispanic rigin and race,72.0,Not Hispanic or Latino: White only,4.21,2015-2017,13.0,Undr 18 years,0.0,16.9,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,25.0,"Percent of children, crude",1,Hiszpanic origin and race,52.0,Not Hispainc or Latino: White only,4.21,2016-2018,14.0,Under 18 yeanrs,0.0,16.4,0.4,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,36.0,"Percent of children, crude",1,Hsipanic origin and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,1997-u1999,1.0,nder 18 years,0.0,16.3,0.6,*
