agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
4700,INDIGENT DEFENSE SYSTEM,410,"DOJ, Non-ARRA Grants",,2011,7,$0.00
4700,INDIGENT DEFENSE SYSTEM,490,American Recov. & Reinv. Act,,2011,7,$0.00
4900,ATTORNEY GENERAL,200,Atty Gen Rev. Fund,"TITLE 74, SEC. 20",2011,7,$127864.53
4900,ATTORNEY GENERAL,205,Telemarketer Revolving Fund,,2011,7,$152581.32
4900,ATTORNEY GENERAL,220,Workers' Comp Fraud Fund,"TITLE 74, SEC 19.2, OSL 1992",2011,7,$144600.99
4900,ATTORNEY GENERAL,225,Insurance Fraud Unit Rev Fnd,"TITLE 74, SECTION 18N-1",2011,7,$565641.47
4900,ATTORNEY GENERAL,230,C.I.T.F. State Matching Fund,"TITLE 74, SECTION 19.1",2011,7,$0.00
4900,ATTORNEY GENERAL,240,Court Appointed Special Advoca,"TITLE 68, SECTION 2368.12",2011,7,$337068.00
4900,ATTORNEY GENERAL,250,Legal Services Revolving Fund,,2011,7,$75394.00
4900,ATTORNEY GENERAL,260,Victim Services Unit Fund,,2011,7,$434826.81
4900,ATTORNEY GENERAL,400,Federal Funds (DAC),"TITLE 62, SEC. 34.48 & 34.9",2011,7,$27193.39
4900,ATTORNEY GENERAL,405,Medicaid Fraud Settlement Fund,"TITLE 62, SECTION 34.9",2011,7,$4360985.87
4900,ATTORNEY GENERAL,410,Medicaid Fraud Unit Fund,"TITLE 62, SECTION 34.48 & 34.9",2011,7,$47339.78
4900,ATTORNEY GENERAL,425,VINES Grant,TITLE 62 SECTION 34.48 & 34.9,2011,7,$25068.65
4900,ATTORNEY GENERAL,440,VPO Grant,TITLE 62 SECTION 34.48 & 34.9,2011,7,$74077.43
5500,STATE ARTS COUNCIL,200,OK Arts Council Arts Ed Rev Fu,"TITLE 53, SEC. 175",2011,7,$273331.50
5500,STATE ARTS COUNCIL,440,Natl Endow For Arts Federal,"TITLE 62 SEC 34.48, 34.9",2011,7,$0.11
5500,STATE ARTS COUNCIL,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$2715.51
5500,STATE ARTS COUNCIL,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2011,7,$0.00
6000,OKLAHOMA AERONAUTICS COMMISSION,200,Revolving Fund,"TITLE 3, SECTION 91",2011,7,$9619901.32
6000,OKLAHOMA AERONAUTICS COMMISSION,205,Desig. Aeronautics Excise Tax,"TITLE 62, SECTION 34.9",2011,7,$1385937.64
6000,OKLAHOMA AERONAUTICS COMMISSION,400,Federal Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$493542.59
6500,STATE BANKING DEPARTMENT,200,Revolving Fund,"TITLE 6, SEC. 211.1",2011,7,$9187513.69
6500,STATE BANKING DEPARTMENT,205,Cemetery Mrchd Trst Act Rev Fd,"TITLE 36, SEC. 7135",2011,7,$0.00
9000,OFFICE OF STATE FINANCE,200,Revolving Fund,"TITLE 62, SECTION 41.40",2011,7,$6838158.87
9000,OFFICE OF STATE FINANCE,210,Centrex Revolving Fund,"TITLE 62, SECTION 41.5 H D",2011,7,$4895323.35
9000,OFFICE OF STATE FINANCE,215,ICS Revolving Fund,"TITLE 62, SECTION 41.21",2011,7,$2135841.86
9000,OFFICE OF STATE FINANCE,220,Construction Fund,,2011,7,$1956491.08
9000,OFFICE OF STATE FINANCE,230,Vol Buyout Ag Reimb Revol Fd,,2011,7,$5132134.81
9000,OFFICE OF STATE FINANCE,250,CMIA Revolving Fund,"TITLE 62, SECTION 41.21 H",2011,7,$218992.00
9000,OFFICE OF STATE FINANCE,295,Emergency & Transportation Rev,,2011,7,$14445723.02
9000,OFFICE OF STATE FINANCE,400,Federal Funds,,2011,7,$0.00
9000,OFFICE OF STATE FINANCE,436,Oil Settlmt-Diamond Shamrock,"TITLE 62, SECTION 7.5",2011,7,$0.00
9000,OFFICE OF STATE FINANCE,490,American Recov. & Reinv. Act,,2011,7,$0.00
9200,TOBACCO SETTLEMENT ENDMT TRUST,200,Revolving Fund,"TITLE 62, CH 1, SEC 50",2011,7,$4999.74
9200,TOBACCO SETTLEMENT ENDMT TRUST,305,Tobacco Settlement Trust Fund,"ARTICLE X, SECTION 40",2011,7,$0.08
9200,TOBACCO SETTLEMENT ENDMT TRUST,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$3520216.93
9200,TOBACCO SETTLEMENT ENDMT TRUST,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$0.00
10000,CAMERON UNIVERSITY,290,Educational & Gen Operation,"TITLE 70, SEC. 3901",2011,7,$7616957.80
10000,CAMERON UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70,SEC 3901",2011,7,$395428.36
10000,CAMERON UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1066619.26
