cell_id,table_id,column_id,row_number,column_name,source_table,source_row,source_column,error_type
54.0.0,54,0,0,crimeid,UK_CSV0000000000007163,0,crimeid,
54.1.0,54,1,0,monthvalue,UK_CSV0000000000007163,0,monthvalue,
54.2.0,54,2,0,reportedby,UK_CSV0000000000007163,0,reportedby,
54.3.0,54,3,0,fallswithin,UK_CSV0000000000007163,0,fallswithin,
54.4.0,54,4,0,longitude,UK_CSV0000000000007163,0,longitude,
54.5.0,54,5,0,latitude,UK_CSV0000000000007163,0,latitude,
54.6.0,54,6,0,locationvalue,UK_CSV0000000000007163,0,locationvalue,
54.7.0,54,7,0,lsoacode,UK_CSV0000000000007163,0,lsoacode,
54.8.0,54,8,0,lsoaname,UK_CSV0000000000007163,0,lsoaname,
54.9.0,54,9,0,outcometype,UK_CSV0000000000007163,0,outcometype,
54.0.1,54,0,1,crimeid,UK_CSV0000000000007163,1,crimeid,
54.1.1,54,1,1,monthvalue,UK_CSV0000000000007163,1,monthvalue,
54.2.1,54,2,1,reportedby,UK_CSV0000000000007163,1,reportedby,
54.3.1,54,3,1,fallswithin,UK_CSV0000000000007163,1,fallswithin,
54.4.1,54,4,1,longitude,UK_CSV0000000000007163,1,longitude,
54.5.1,54,5,1,latitude,UK_CSV0000000000007163,1,latitude,
54.6.1,54,6,1,locationvalue,UK_CSV0000000000007163,1,locationvalue,
54.7.1,54,7,1,lsoacode,UK_CSV0000000000007163,1,lsoacode,
54.8.1,54,8,1,lsoaname,UK_CSV0000000000007163,1,lsoaname,
54.9.1,54,9,1,outcometype,UK_CSV0000000000007163,1,outcometype,
54.0.2,54,0,2,crimeid,UK_CSV0000000000007163,2,crimeid,
54.1.2,54,1,2,monthvalue,UK_CSV0000000000007163,2,monthvalue,
54.2.2,54,2,2,reportedby,UK_CSV0000000000007163,2,reportedby,
54.3.2,54,3,2,fallswithin,UK_CSV0000000000007163,2,fallswithin,
54.4.2,54,4,2,longitude,UK_CSV0000000000007163,2,longitude,
54.5.2,54,5,2,latitude,UK_CSV0000000000007163,2,latitude,
54.6.2,54,6,2,locationvalue,UK_CSV0000000000007163,2,locationvalue,
54.7.2,54,7,2,lsoacode,UK_CSV0000000000007163,2,lsoacode,
54.8.2,54,8,2,lsoaname,UK_CSV0000000000007163,2,lsoaname,
54.9.2,54,9,2,outcometype,UK_CSV0000000000007163,2,outcometype,
54.0.3,54,0,3,crimeid,UK_CSV0000000000007163,3,crimeid,
54.1.3,54,1,3,monthvalue,UK_CSV0000000000007163,3,monthvalue,
54.2.3,54,2,3,reportedby,UK_CSV0000000000007163,3,reportedby,
54.3.3,54,3,3,fallswithin,UK_CSV0000000000007163,3,fallswithin,
54.4.3,54,4,3,longitude,UK_CSV0000000000007163,3,longitude,
54.5.3,54,5,3,latitude,UK_CSV0000000000007163,3,latitude,
54.6.3,54,6,3,locationvalue,UK_CSV0000000000007163,3,locationvalue,
54.7.3,54,7,3,lsoacode,UK_CSV0000000000007163,3,lsoacode,
54.8.3,54,8,3,lsoaname,UK_CSV0000000000007163,3,lsoaname,
54.9.3,54,9,3,outcometype,UK_CSV0000000000007163,3,outcometype,
54.0.4,54,0,4,crimeid,UK_CSV0000000000007163,4,crimeid,
54.1.4,54,1,4,monthvalue,UK_CSV0000000000007163,4,monthvalue,
54.2.4,54,2,4,reportedby,UK_CSV0000000000007163,4,reportedby,
54.3.4,54,3,4,fallswithin,UK_CSV0000000000007163,4,fallswithin,
