cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
210.varicose_veinavvq_post_opq_predicted,210,varicose_veinavvq_post_opq_predicted,10.09954992,17.92714893,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e13, e12, e15, e14, e17, e1, e2, e3, e4, e5, e7, e8, e9]"
111.varicose_veinavvq_post_opq_predicted,111,varicose_veinavvq_post_opq_predicted,15.79639466,17.87053473,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e5, e7, e11, e9, e10, e14, e17, e1, e2, e3, e4]"
770.datevalue,770,datevalue,2012-2013,2012-2031,RANDOM_TYPO,,[]
109.pre_opqeq_five_d_index_profile,109,pre_opqeq_five_d_index_profile,11111,21222.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index_profile,"[e18, e3]"
97.varicose_veinavvq_post_opq_predicted,97,varicose_veinavvq_post_opq_predicted,14.36455753,10.38799804,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e17, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
960.pre_opqeq_five_d_index,960,pre_opqeq_five_d_index,1.0,87.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
273.datevalue,273,datevalue,2012-2013,2f012-2013,RANDOM_TYPO,,[]
780.datevalue,780,datevalue,2012-2013,012-2013,RANDOM_TYPO,,[]
137.varicose_veinavvq_post_opq_predicted,137,varicose_veinavvq_post_opq_predicted,11.998946,13.37393196,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e5, e7, e8, e9, e10, e12, e15, e16, e1, e2, e3, e4]"
57.pre_opqeq_five_d_index_profile,57,pre_opqeq_five_d_index_profile,21231,21232.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index_profile,"[e18, e3]"
910.datevalue,910,datevalue,2012-2013,2012-203,RANDOM_TYPO,,[]
1055.pre_opqeq_five_d_index,1055,pre_opqeq_five_d_index,1.0,85.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
119.varicose_veinavvq_post_opq_predicted,119,varicose_veinavvq_post_opq_predicted,7.493316104,8.701336572,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
6.pre_opqeq_five_d_index_profile,6,pre_opqeq_five_d_index_profile,11111,11211.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index_profile,"[e18, e3]"
226.varicose_veinavvq_post_opq_predicted,226,varicose_veinavvq_post_opq_predicted,29.01715908,10.38799804,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e17, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
688.pre_opqeq_five_d_index,688,pre_opqeq_five_d_index,1.0,75.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
191.varicose_veinavvq_post_opq_predicted,191,varicose_veinavvq_post_opq_predicted,8.680334338,3.054478287,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e13, e12, e15, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
65.varicose_veinavvq_post_opq_predicted,65,varicose_veinavvq_post_opq_predicted,13.22202847,9.36371113,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e5, e6, e11, e10, e12, e15, e14, e1, e2, e3, e4]"
188.varicose_veinavvq_post_opq_predicted,188,varicose_veinavvq_post_opq_predicted,9.195756072,8.028986428,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e10, e12, e15, e14, e16, e1, e2, e3, e4, e5, e7, e8, e9]"
143.varicose_veinavvq_post_opq_predicted,143,varicose_veinavvq_post_opq_predicted,26.61570682,5.468141616,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
981.datevalue,981,datevalue,2012-2013,0212-2013,RANDOM_TYPO,,[]
160.varicose_veinavvq_post_opq_predicted,160,varicose_veinavvq_post_opq_predicted,11.00940813,16.828262,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
849.pre_opqeq_five_d_index,849,pre_opqeq_five_d_index,1.0,64.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
183.pre_opqeq_five_d_index,183,pre_opqeq_five_d_index,1.0,30.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,"[e18, e4]"
744.datevalue,744,datevalue,2012-2013,0212-2013,RANDOM_TYPO,,[]
300.pre_opqeq_five_d_index,300,pre_opqeq_five_d_index,1.0,65.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
5.varicose_veinavvq_post_opq_predicted,5,varicose_veinavvq_post_opq_predicted,15.68085182,3.054478287,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e13, e12, e15, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
149.varicose_veinavvq_post_opq_predicted,149,varicose_veinavvq_post_opq_predicted,10.69538778,11.56038682,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
642.pre_opqeq_five_d_index,642,pre_opqeq_five_d_index,1.0,49.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
840.datevalue,840,datevalue,2012-2013,2012-201b3,RANDOM_TYPO,,[]
311.pre_opqeq_five_d_index,311,pre_opqeq_five_d_index,1.0,22.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
24.pre_opqeq_five_d_index_profile,24,pre_opqeq_five_d_index_profile,11111,22331.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index_profile,"[e18, e3]"
105.pre_opqeq_five_d_index_profile,105,pre_opqeq_five_d_index_profile,11121,21232.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index_profile,"[e18, e3]"
943.pre_opqeq_five_d_index,943,pre_opqeq_five_d_index,1.0,81.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
144.varicose_veinavvq_post_opq_predicted,144,varicose_veinavvq_post_opq_predicted,18.4517655,14.34029776,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e12, e15, e14, e16, e1, e2, e3, e4, e5, e7, e8, e9]"
761.pre_opqeq_five_d_index,761,pre_opqeq_five_d_index,1.0,24.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
166.varicose_veinavvq_post_opq_predicted,166,varicose_veinavvq_post_opq_predicted,20.17809774,14.52974837,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e13, e12, e15, e14, e16, e1, e2, e3, e4, e5, e7, e8, e9]"
876.pre_opqeq_five_d_index,876,pre_opqeq_five_d_index,1.0,47.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
341.pre_opqeq_five_d_index,341,pre_opqeq_five_d_index,1.0,35.0,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> pre_opqeq_five_d_index,[e18]
122.varicose_veinavvq_post_opq_predicted,122,varicose_veinavvq_post_opq_predicted,15.81811662,14.38172811,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e11, e10, e13, e12, e15, e14, e16, e1, e2, e3, e4, e5, e6, e7, e8, e9]"
22.varicose_veinavvq_post_opq_predicted,22,varicose_veinavvq_post_opq_predicted,12.69278962,24.99655545,FD_VIOLATION,varicose_veinavvq_post_opq_predicted -> varicose_vein_pre_opq_score,"[e6, e11, e9, e10, e12, e15, e14, e1, e2, e3, e4]"
