market_class,upload_two_fourminave,geography,technology,you_tube_hd_two_fourhr,ruralweight,region
B,0.32,Urban,ADSL2,57.20%,2.66281,London
B,36.56,Urban,Cable,95.66%,0.96413,London
B,5.87,Rural,FTTC,95.80%,0.96413,Yorkshire & Humberside
B,6.16,Rural,FTTC,95.39%,0.96413,Northern Ireland
B,18.6,Urban,FTTC,96.01%,0.96413,North West
B,20.89,Urban,Cable,95.31%,1.08753,Northern Ireland
B,9.2,Urban,FTTC,95.35%,0.96413,East
B,9.44,Urban,FTTP,95.62%,0.26727,Yorkshire & Humberside
B,18.63,Urban,FTTC,95.54%,0.96413,North West
B,8.89,Rural,FTTC,95.06%,0.96413,Wales
B,46.61,Urban,FTTP,95.39%,0.96413,South West
B,4.24,Urban,FTTC,95.35%,0.96413,London
B,12.34,Urban,FTTC,96.33%,0.96413,South East
A,9.73,Rural,FTTP,94.38%,0.29132,South West
B,9.24,Urban,FTTC,93.79%,0.50728,South East
B,18.51,Urban,FTTC,97.21%,0.96413,East Midlands
B,50.54,Urban,FTTP,95.39%,0.96413,South West
B,2.06,Urban,FTTC,96.56%,0.50728,South East
B,8.82,Urban,FTTC,96.76%,0.50728,London
B,2.48,Urban,FTTC,97.64%,0.96413,West Midlands
B,18.38,Urban,FTTC,95.81%,0.96413,East
B,6.42,Urban,FTTC,98.13%,0.50728,South East
B,10.02,Rural,FTTP,94.32%,0.29132,Wales
B,23.97,Urban,Cable,96.50%,0.96413,East Midlands
B,0.83,Urban,ADSL2,95.18%,2.66281,London
B,18.41,Urban,FTTC,95.02%,0.96413,South West
B,4.99,Urban,FTTC,95.08%,0.96413,North West
B,17.88,Urban,FTTC,95.89%,0.96413,Scotland
B,17.33,Urban,FTTC,95.60%,0.96413,South East
B,20.19,Urban,FTTP,95.39%,0.96413,Scotland
B,12.18,Urban,FTTC,95.24%,0.96413,South East
B,18.58,Urban,FTTC,95.17%,0.96413,South West
B,13.71,Urban,FTTC,94.87%,0.96413,South East
B,17.63,Urban,FTTC,96.22%,0.96413,London
B,20.22,Urban,FTTP,95.39%,0.96413,London
B,0.94,Urban,ADSL2,100.00%,2.66281,East
B,8.89,Urban,FTTC,95.14%,0.96413,East Midlands
B,16.07,Urban,Fixed Wireless,95.39%,0.96413,Scotland
B,9.1,Urban,FTTC,95.39%,0.96413,Yorkshire & Humberside
B,8.98,Urban,FTTC,96.55%,0.50728,South West
B,0.74,Urban,FTTC,95.39%,0.96413,East
B,8.84,Urban,FTTC,95.87%,0.96413,East Midlands
B,9.08,Urban,FTTC,95.39%,0.96413,South East
B,2.15,Urban,FTTC,93.45%,0.50728,North East
B,17.78,Urban,FTTC,95.39%,0.96413,London
B,20.68,Urban,Cable,95.41%,1.08753,South West
B,48.97,Urban,FTTP,95.39%,0.96413,North West
B,16.94,Urban,FTTC,95.39%,0.96413,East Midlands
B,4.55,Urban,Cable,95.43%,1.08753,Yorkshire & Humberside
B,18.1,Urban,FTTC,95.43%,0.96413,East Midlands
B,29.51,Urban,FTTP,95.39%,0.96413,Scotland
B,9.02,Urban,FTTC,95.56%,0.96413,Wales
Hull,4.66,Urban,FTTP,94.32%,0.26727,Yorkshire & Humberside
B,9.36,Urban,FTTC,95.39%,0.96413,Northern Ireland
A,18.18,Rural,FTTC,96.14%,0.65219,Scotland
B,18.47,Urban,FTTC,95.16%,0.96413,East
B,0.67,Urban,ADSL2,96.54%,2.66281,Scotland
B,18.1,Urban,FTTC,95.56%,0.96413,West Midlands
B,9.77,Urban,FTTC,95.87%,0.96413,Wales
B,15.41,Urban,FTTC,95.52%,0.96413,Yorkshire & Humberside
B,9.17,Urban,FTTC,95.51%,1.75829,South East
B,7.23,Rural,FTTC,94.12%,0.96413,South East
B,9.25,Urban,FTTC,94.50%,0.50728,South East
B,8.02,Urban,FTTC,95.28%,0.50728,East
B,13.72,Urban,FTTC,98.95%,0.96413,South East
Hull,18.96,Urban,FTTP,93.83%,0.26727,Yorkshire & Humberside
B,0.51,Rural,ADSL2,0.00%,0.52838,Northern Ireland
B,14.7,Rural,FTTC,95.42%,0.65219,East Midlands
B,50.52,Urban,FTTP,95.39%,0.26727,West Midlands
B,28.55,Urban,FTTP,95.39%,0.26727,Northern Ireland
B,20.86,Urban,Cable,92.61%,1.08753,London
B,13.09,Rural,FTTC,95.39%,0.65219,Scotland
B,18.27,Urban,FTTC,92.11%,0.96413,Scotland
B,29.46,Urban,Cable,95.83%,1.08753,West Midlands
B,2.14,Urban,FTTP,95.39%,0.96413,North West
B,18.41,Urban,FTTC,100.00%,0.96413,East
B,8.71,Urban,FTTC,96.97%,0.50728,Wales
B,14.79,Rural,FTTC,95.32%,0.96413,Northern Ireland
B,3.56,Urban,FTTC,93.44%,0.50728,Scotland
B,36.29,Urban,Cable,94.61%,0.96413,South East
B,18.41,Urban,FTTC,95.40%,0.96413,Scotland
B,9.9,Urban,Cable,95.32%,1.08753,East
B,0.73,Urban,FTTC,95.39%,0.50728,West Midlands
B,7.84,Urban,FTTC,100.00%,0.96413,South East
B,20.57,Urban,Cable,95.11%,1.08753,South East
B,18.35,Urban,FTTC,95.36%,0.96413,South West
B,30.29,Urban,FTTP,95.39%,0.96413,London
B,17.81,Urban,FTTC,95.34%,0.96413,West Midlands
B,18.24,Urban,FTTC,100.00%,0.96413,South East
B,17.38,Urban,FTTC,95.60%,0.96413,London
B,16.73,Urban,FTTC,96.31%,0.96413,East
B,9.3,Rural,FTTC,95.39%,0.86356,North West
B,30.3,Urban,FTTP,95.39%,0.96413,London
B,9.2,Rural,FTTC,95.39%,0.96413,South East
B,9.12,Urban,FTTC,97.88%,0.96413,South East
B,17.79,Urban,FTTC,90.77%,0.96413,South West
B,18.34,Rural,FTTC,95.39%,0.65219,East
B,18.45,Rural,FTTC,95.58%,0.65219,South West
B,131.96,Rural,FTTP,94.59%,0.29132,South West
B,18.59,Urban,FTTC,95.25%,0.96413,South East
B,20.79,Urban,Cable,95.16%,1.08753,Northern Ireland
B,49.83,Rural,FTTP,95.63%,0.96413,Scotland
B,16.67,Urban,FTTC,95.77%,0.96413,East
A,0.26,Rural,ADSL1,0.00%,0.35144,North East
B,8.87,Urban,FTTC,94.97%,1.75829,East Midlands
B,5.4,Rural,FTTC,94.22%,0.86356,East
B,20.18,Urban,FTTP,95.39%,0.96413,Wales
B,9.24,Urban,Cable,95.58%,1.08753,London
B,7.83,Urban,FTTC,95.29%,0.96413,Scotland
B,9.6,Urban,Cable,97.78%,1.08753,Scotland
B,6.45,Urban,FTTC,95.40%,0.96413,South East
B,6.55,Urban,FTTC,94.29%,0.50728,North West
B,3.02,Urban,FTTC,94.05%,0.50728,Scotland
B,8.22,Urban,FTTC,95.40%,0.96413,South East
B,5.58,Rural,FTTC,95.71%,0.86356,East
B,50.28,Urban,FTTP,95.39%,0.26727,Wales
A,0.7,Rural,ADSL2,93.46%,0.52838,East
B,17.28,Urban,FTTC,95.89%,0.96413,London
B,20.81,Urban,Cable,96.20%,1.08753,Scotland
B,8.93,Urban,Cable,94.90%,1.08753,Yorkshire & Humberside
B,0.64,Urban,ADSL2,95.17%,2.66281,South West
B,9.34,Urban,FTTC,95.39%,0.50728,North West
B,16.37,Urban,FTTC,95.87%,0.96413,East
B,0.18,Rural,ADSL1,90.46%,0.35144,Scotland
B,9.52,Urban,FTTP,95.18%,0.96413,London
B,18.08,Rural,FTTC,94.40%,0.65219,East
B,17.52,Rural,FTTC,97.59%,0.96413,North East
B,0.71,Rural,FTTC,95.35%,0.96413,Scotland
B,36.58,Urban,Cable,95.36%,1.08753,South East
B,8.45,Urban,FTTC,96.23%,0.96413,North West
B,17.62,Urban,FTTC,95.87%,0.96413,West Midlands
B,5.41,Urban,FTTC,93.93%,0.50728,North East
B,18.57,Rural,FTTC,95.81%,0.65219,South East
B,18.45,Urban,FTTC,94.51%,0.96413,West Midlands
A,0.84,Rural,ADSL2,94.38%,0.52838,Scotland
B,12.15,Rural,Cable,95.31%,0.54408,South West
B,18.61,Urban,FTTC,95.58%,0.96413,South East
B,17.91,Urban,FTTC,94.83%,0.96413,Yorkshire & Humberside
B,8.66,Urban,FTTC,95.37%,0.96413,Yorkshire & Humberside
B,4.82,Rural,FTTC,95.40%,0.86356,Scotland
B,16.95,Urban,FTTC,96.62%,0.96413,South West
B,9.56,Urban,Cable,95.24%,1.08753,Wales
B,0.51,Rural,FTTC,95.40%,0.96413,North West
B,9.16,Urban,FTTC,95.97%,0.50728,North West
B,0.78,Rural,ADSL2,96.43%,0.52838,South East
B,18.03,Urban,FTTC,95.39%,0.96413,Yorkshire & Humberside
B,0.38,Urban,ADSL2,97.80%,2.66281,North East
B,0.6,Urban,ADSL2,74.55%,2.66281,Scotland
B,18.25,Urban,FTTC,95.39%,0.96413,South West
B,9.95,Urban,FTTC,95.36%,0.96413,South West
B,20.44,Urban,Cable,100.00%,1.08753,North East
B,19.85,Urban,Cable,95.52%,1.08753,South East
B,6.66,Urban,FTTC,96.25%,0.96413,Scotland
B,0.96,Rural,ADSL2,95.24%,0.52838,Wales
A,0.57,Rural,ADSL2,96.68%,0.52838,Scotland
B,8.62,Urban,FTTC,95.70%,0.50728,Wales
B,16.88,Urban,FTTC,98.09%,0.96413,North East
Hull,4.4,Urban,FTTP,96.20%,0.26727,Yorkshire & Humberside
B,8.09,Urban,Cable,96.13%,1.08753,West Midlands
B,8.92,Urban,FTTC,93.59%,1.75829,West Midlands
Hull,33.13,Urban,FTTP,94.59%,0.26727,Yorkshire & Humberside
B,4.75,Urban,Cable,94.46%,1.08753,London
B,0.32,Rural,ADSL2,24.68%,0.52838,Northern Ireland
B,0.7,Rural,FTTC,92.67%,0.96413,South East
A,13.88,Rural,Fixed Wireless,95.39%,0.96413,South West
B,0.72,Urban,ADSL2,95.36%,2.66281,Scotland
B,0.99,Urban,ADSL2,94.19%,2.66281,North West
B,12.7,Urban,FTTC,95.74%,0.96413,South East
B,9.69,Rural,FTTP,94.25%,0.29132,Wales
B,12.18,Urban,FTTC,95.58%,0.96413,Yorkshire & Humberside
B,16.16,Urban,FTTC,96.24%,0.96413,Yorkshire & Humberside
B,18.02,Urban,Cable,95.34%,1.08753,West Midlands
B,9.86,Urban,Cable,94.79%,1.08753,West Midlands
B,1.77,Urban,FTTC,96.36%,0.96413,South East
Hull,28.09,Urban,FTTP,95.77%,0.26727,Yorkshire & Humberside
B,9.07,Urban,FTTC,95.34%,0.50728,Scotland
B,18.48,Urban,FTTC,95.13%,0.96413,London
A,18.47,Rural,FTTC,96.60%,0.65219,East
B,0.24,Urban,ADSL2,94.98%,2.66281,South West
B,18.07,Urban,FTTC,95.81%,0.96413,South East
B,0.84,Rural,ADSL2,95.40%,0.52838,South West
B,5.97,Urban,FTTP,95.39%,0.96413,South East
B,18.53,Urban,FTTC,94.01%,0.96413,Yorkshire & Humberside
B,19.14,Urban,Cable,94.32%,1.08753,West Midlands
B,15.6,Rural,FTTC,96.08%,0.65219,East Midlands
B,15.21,Rural,FTTC,95.44%,0.96413,East
B,50.5,Rural,FTTP,95.39%,0.96413,East
B,9.27,Rural,FTTC,95.24%,0.96413,East Midlands
B,8.63,Rural,FTTC,93.68%,0.86356,South West
B,14.54,Urban,FTTC,96.22%,0.96413,Yorkshire & Humberside
B,0.81,Rural,FTTC,95.68%,0.86356,South East
B,6.21,Urban,FTTC,94.32%,0.96413,South West
B,19.57,Urban,Cable,93.27%,1.08753,North West
B,8.03,Rural,FTTC,95.48%,0.96413,Yorkshire & Humberside
B,18.45,Urban,FTTC,96.55%,0.96413,London
B,7.65,Urban,FTTC,95.56%,0.96413,Yorkshire & Humberside
B,7.97,Urban,FTTC,95.35%,0.96413,Scotland
B,20.53,Urban,Cable,94.89%,1.08753,North East
Hull,18.19,Urban,FTTC,94.87%,0.96413,Yorkshire & Humberside
B,8.76,Rural,FTTC,100.00%,0.96413,South East
B,30.31,Urban,FTTP,95.39%,0.96413,London
B,35.04,Urban,Cable,96.00%,1.08753,West Midlands
B,6.81,Urban,FTTC,93.60%,0.50728,South West
B,20.38,Urban,Cable,95.40%,1.08753,North East
