crimeid,monthvalue,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype
47e62c6f1a74f8b502bd0dfeda275f05d806b78bd49428443c6397e35dab23fa,2022-03,Lincolnshire Police,Lincolnshire Police,0.244139,53.337737,On or near Petrol Station,E01026072,East Lindsey 005A,Investigation complete; no suspect identified
223921e514111bbfc13140a1642c51cf63d697d3b1602ec6863dcc08269b54a0,2022-03,Lincolnshire Police,Lincolnshire Police,0.328411,53.15037,On or near CHURCH ROAD NORTH,E01026083,East Lindsey 015A,Unable to prosecute suspect
223921e514111bbfc13140a1642c51cf63d697d3b1602ec6863dcc08269b54a0,2022-03,Lincolnshre Police,Lincolnshire Police,0.328411,53.15037,On or near CHURCH ROAD NORTH,E01026083,East Lindsey 015A,Unale to prosecute suspect
f916841ac2c2cc44d912b002049c4504cc5e653e620b0f8649cae3a8efc1136b,2022-03,Lincolnshirey Police,Lincolnshire Police,-0.543884,53.225433,On or near Shopping Area,E01026132,Lincoln 005A,Suspect charged
223921e514111bbfc13140a1642c51cf63d697d3b1602ec6863dcc08269b54a0,2022-03,Lincolnshire Police,Lincolnshire Police,-0.553513,53.197952,On or near HELSBY ROAD,E01026142,Lincoln 011F,Investigation complete; no suspect identified
735d32fe2d79fcd60d81ae73641dba690c60561a5675e4c32146f1c7a490a819,2022-03,Lincolnshire Police,Lincolnshire Police,-0.535787,53.217324,On or near SOUTH PARK,E01026178,Lincoln 006D,Investigation complete; no suspect identified
13ad1bb38c4bbe3ce7b44917f2e642dc3d1af23d36250807e808b42afadc5f71,2022-03,Lincolnshire Police,Lincolnshire Police,0.200739,53.181146,On or near BACK LANE,E01026113,East Lindsey 008D,Unable to prosecute suspect
f8c656c9a9c45e5600aee1e7012dec2c60be88e8e98fa7cfc05720d1b79eb4b0,20m22-03,Lincolnshire Police,Lincolnshire Police,-0.014117,52.761992,On or near ROSE CRESCENT,E01026285,South Holland 004D,Investigation complete; no suspect identified
c1181f2be3a89ac5bcdc35baa174d7e33c75fcff4ddae7daeed3952755a8a511,2022-03,Lincolnshire Police,Lincolnshire Police,0.197598,53.223919,On or near JOHN SMITH CLOSE,E01026113,East Lindsey 008D,Action to be taken by another organisation
b40e7f459db58bfb010c7f5f6a6c04ba67782f0ebb33ee53975982be14d83077,2022-03,Lincolnshire Police,Lincolnshire Police,-0.342617,53.388054,On or near GAINSBOROUGH ROAD,E01026390,West Lindsey 003B,Investigation complete; no suspect identified
93001abc12e29de13fa9f1dd2786d0b57ea9248692ea15fc4d0c82841714ca96,2022-03,Lincolnshire Police,Lincolnshire Police,-0.152768,52.793893,On or near POOL CLOSE,E01032995,South Holland 006F,Investigation complete; no suspect identified
8f927e62db866284340791bf88dea0a4c77b71adb742db88076d2ddc1dcd90f4,2022-03,Lincolnshire Police,Lincolnshire Police,-0.315031,53.496694,On or near MARKET PLACE,E01026367,West Lindsey 001A,Investigation complete; no suspect identified
7a4d0244bae84a063ddd05d6b2d74c8652b7f2d240152251c8d02a1e1b6348da,2022-03,Lincolnshire Police,Lincolnshire Police,0.14294,53.218666,On or near SKEGNESS ROAD,E01026068,East Lindsey 009B,Unable to prosecute suspect
f916841ac2c2cc44d912b002049c4504cc5e653e620b0f8649cae3a8efc1136b,2022-03,Lincolnshire Police,Lincolnshire Police,-0.596523,53.215349,On or near ELSHAM CRESCENT,E01032995,Lincoln 009C,Investigation complete; no suspect identified
