facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,192.0,SWIMMING POOL,42376.0,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,22.0
695,SWIMMING AREA,191.0,SWIMMING POOL,77694.0,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,4.0
695,SWIMMING AREA,191.0,WADING POOL,42381.0,THE LANDINGS,5500 TIMBER RIDGE RD,PROSPECT,KY,40059,21,1996/09/03 00:00:00,22.0
695,SWIMMING AREA,192.0,SWIMMING POOL,42501.0,BOULDER CREEK VANTAGE POINT #2 PHASE II,10400 PAVILION WAY EAST,LOUISVILLE,KY,40299,22,1990/08/14 00:00:00,18.0
695,SWIMMING AREA,192.0,SWIMMING POOL,42581.0,THE SPRINGS CLUBHOUSE,1099 BALMORAL DRIVE,LOUISVILLE,KY,40205,28,1990/08/23 00:00:00,4.0
695,SWIMMING AREA,191.0,SPA,43218.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,7.0
695,SWIMMING AREA,197.0,SWIMMING POOL,43219.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,21.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29369.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,43221.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,3.0
695,SWIMMING AREA,199.0,SWIMMING POOL,44615.0,SOUTH PARK COUNTRY CLUB - WADING POOL,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,17.0
695,SWIMMING AREA,192.0,SWIMMING POOL,44617.0,SOUTH PARK COUNTRY CLUB,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,22.0
695,SWIMMING AREA,199.0,SWIMMING POOL,33320.0,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,1.0
695,SWIMMING AREA,192.0,SWIMMING POOL,44644.0,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,26.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,44751.0,GRAYSTONE MANOR CONDOS,3200 GRAYSTONE MANOR PARKWAY,LOUISVILLE,KY,40241,21,1991/07/08 00:00:00,24.0
695,SWIMMING AREA,197.0,SWIMMING POOL,90171.0,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,41.0
695,SWIMMING AREA,199.0,SWIMMING POOL,45507.0,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,16.0
695,SWIMMING AREA,199.0,SWIMMING POOL,45508.0,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,8.0
695,SWIMMING AREA,191.0,WADING POOL,45509.0,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,16.0
695,SWIMMING AREA,191.0,SPA,46780.0,LAKESIDE SWIM CLUB,2010 TREVILLIAN WAY,LOUISVILLE,KY,40205,27,1992/06/16 00:00:00,1.0
695,SWIMMING AREA,199.0,SWIMMING POOL,46900.0,PROMENADE COURT TOWNHOMES,152 PROMENADE CT,LOUISVILLE,KY,40223,29,1993/05/28 00:00:00,21.0
695,SWIMMING AREA,191.0,WADING POOL,29738.0,CANTERBURY PLACE,1005 EAST BRIDGE COURT,LOUISVILLE,KY,40223,25,1992/07/21 00:00:00,40.0
695,SWIMMING AREA,191.0,WADING POOL,47145.0,WOODLANDS ON HARROD CREEK,5630 TIMBER CREEK CT,LOUISVILLE,KY,40059,21,1996/07/25 00:00:00,7.0
695,SWIMMING AREA,191.0,WADING POOL,44615.0,YMCA NORTHEAST-FAMILY POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,1992/09/02 00:00:00,82.0
695,SWIMMING AREA,191.0,WADING POOL,92827.0,SPRINGHURST SWIMMING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,16.0
695,SWIMMING AREA,199.0,WADING POOL,47538.0,SPRINGHURST WADING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,22.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29012.0,CHARLESTOWN OF DOUGLASS HILLS,407 CHARLESTOWN COURT,LOUISVILLE,KY,40243,25,1988/08/02 00:00:00,11.0
695,SWIMMING AREA,192.0,SWIMMING POOL,78634.0,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2007/07/24 00:00:00,18.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,29738.0,STAYBRIDGE SUITES,11711 GATEWORTH WAY,LOUISVILLE,KY,40299,22,2015/09/15 00:00:00,82.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29022.0,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29747.0,CLAIBORNE CROSSING,14601 PULPIT DRIVE,LOUISVILLE,KY,40245,25,2014/04/10 00:00:00,41.0
695,SWIMMING AREA,256.0,SWIMMING POOL,29371.0,DERBY RUN APTS,6600 OUTER LOOP,LOUISVILLE,KY,40228,27,1988/06/07 00:00:00,18.0
695,SWIMMING AREA,191.0,WADING POOL,29025.0,SHELBY HOUSE,8605 SHELBYVILLE ROAD UNIT 231,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,2.0
695,SWIMMING AREA,191.0,WADING POOL,98844.0,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,10.0
695,SWIMMING AREA,199.0,SWIMMING POOL,78639.0,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,27,2007/07/24 00:00:00,1.0
695,SWIMMING AREA,191.0,WADING POOL,90171.0,STONECREST CONDOMINIUMS,750 ZORN AVE,LOUISVILLE,KY,40206,26,1993/03/16 00:00:00,18.0
695,SWIMMING AREA,191.0,WADING POOL,29372.0,STONEHENGE CONDOS,245 STONEHENGE DR,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,2.0
695,SWIMMING AREA,193.0,SWIMMING POOL,78766.0,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,21,2007/08/02 00:00:00,3.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29340.0,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,29,1988/06/06 00:00:00,41.0
695,SWIMMING AREA,197.0,SWIMMING POOL,93920.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,18.0
695,SWIMMING AREA,218.0,SWIMMING POOL,48976.0,HILLVIEW WOODS APTS SWIM POOL,4800 BIRCH TREE LANE,LOUISVILLE,KY,40229,27,1993/06/18 00:00:00,24.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29373.0,METRO PARKS SUN VALLEY,6506 BETHANY LN,LOUISVILLE,KY,40272,23,1988/06/07 00:00:00,4.0
695,SWIMMING AREA,256.0,SWIMMING POOL,98913.0,HOLIDAY INN EXPRESS,1921 BISHOP LANE,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,11.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,78826.0,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,27,2007/08/22 00:00:00,8.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29156.0,1616 CONDOMINIUMS,1616 GARDINER LN,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,8.0
695,SWIMMING AREA,192.0,SWIMMING POOL,77694.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,13.0
695,SWIMMING AREA,191.0,WADING POOL,49413.0,SUTHERLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1993/09/02 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29376.0,SYCAMORE CONDOS,217 SYCAMORE DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,19.0
695,SWIMMING AREA,198.0,SWIMMING POOL,42581.0,ROBSION PARK SPLASH PAD,8125R LAGRANGE RD,LYNDON,KY,40222,29,1988/06/07 00:00:00,28.0
695,SWIMMING AREA,199.0,SWIMMING POOL,92827.0,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2007/09/12 00:00:00,16.0
695,SWIMMING AREA,192.0,SWIMMING POOL,29161.0,LAKE FOREST - THE LODGE,511 WOODLAKE DR,LOUISVILLE,KY,40245,25,1988/06/06 00:00:00,3.0
695,SWIMMING AREA,197.0,SWIMMING POOL,94109.0,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,21,2014/01/22 00:00:00,2.0
695,SWIMMING AREA,191.0,WADING POOL,38364.0,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,LOUISVILLE,KY,40243,25,2014/07/03 00:00:00,82.0
695,SWIMMING AREA,199.0,SWIMMING POOL,36003.0,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,41.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,94926.0,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,3.0
