agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
77300.0,OSU-COLLEGE OF OSTEOPATHIC MED.,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2011,7,$0.00
77300.0,OSU-COLLEGE OF OSTEOPATHIC MED.,479,Capital Bond Projects,,2011,7,$0.00
77300.0,OSU-COLLEGE OF OSTEOPATHIC MED.,490,ARRA,,2011,7,$813199.34
77500.0,OSU MEDICAL AUTHORITY,290,OSU Med. Auth. Disbursing Fund,,2011,7,$3665816.25
79000.0,BD. OF VETERINARY MED. EXAM.,200,Vet Medical Examiners Fund,"TITLE 59, SEC. 698.28",2011,7,$616653.53
79000.0,BD. OF VETERINARY MED. EXAM.,210,Comm Pet Breeders Enforcemt Fd,,2011,7,$0.00
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,200,State Vocational-Tech Fund,"TITLE 70, SEC. 14-105",2011,7,$3609556.31
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,205,Ok Telecom Tech Training Fund,"TITLE 17, SEC 139.109",2011,7,$0.00
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,215,OK Career Tech AG Rev Fund,"TITLE 47, SECTION 1104.7",2011,7,$2140.00
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.64 E",2011,7,$0.00
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,430,Agency Relationship Fund-Fed,"TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 14-103",2011,7,$310490.53
80000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,490,American Recov. & Reinv. Act,,2011,7,$67414.46
80500.0,DEPARTMENT OF REHABILITATION SERVICES,205,Sch for Blind/Deaf Rev Fund,"TITLE 68, SEC 2368.3",2011,7,$21171.17
80500.0,DEPARTMENT OF REHABILITATION SERVICES,212,Ok Schl For The Blind Rev Fund,"TITLE 62, SEC. 34.9",2011,7,$85101.96
80500.0,DEPARTMENT OF REHABILITATION SERVICES,213,Ok Scl For The Deaf Rev Fund,"TITLE 62, SEC. 34.9",2011,7,$304690.21
80500.0,DEPARTMENT OF REHABILITATION SERVICES,216,Rehab Services - Donation Fund,"TITLE 62, SEC. 34.9",2011,7,$549705.90
80500.0,DEPARTMENT OF REHABILITATION SERVICES,218,Interpreter Certification Fund,"TITLE 62, SEC. 34.9 & TITLE 56 SEC. 199.2,C",2011,7,$26981.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,235,Telecom For Hearing Impair Fd,"TITLE 63, SEC. 2418 C",2011,7,$703682.35
80500.0,DEPARTMENT OF REHABILITATION SERVICES,340,Drs Medical & Assistance Fund,"TITLE 62, SECTION 34.9",2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,350,Rehab Services Disb Fund,"TITLE 74, SEC. 166.7",2011,7,$6097653.30
80500.0,DEPARTMENT OF REHABILITATION SERVICES,351,Rehab Services Disbursing Fund,,2011,7,$2585283.89
80500.0,DEPARTMENT OF REHABILITATION SERVICES,352,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2011,7,$1352089.54
80500.0,DEPARTMENT OF REHABILITATION SERVICES,353,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,354,Fy 04 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2011,7,$970.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,355,FY05 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2011,7,$-66.95
80500.0,DEPARTMENT OF REHABILITATION SERVICES,356,FY06 Rehab Services Disb Fund,,2011,7,$209.84
80500.0,DEPARTMENT OF REHABILITATION SERVICES,357,FY07 Rehab Services Disb Fund,,2011,7,$1144.90
80500.0,DEPARTMENT OF REHABILITATION SERVICES,358,FY08 Rehab Services Disb Fund,,2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,380,Education Lottery Fund,TITLE,2011,7,$10464.09
80500.0,DEPARTMENT OF REHABILITATION SERVICES,410,Rehab Services - Federal Fund,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$1405395.76
80500.0,DEPARTMENT OF REHABILITATION SERVICES,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$7602.06
80500.0,DEPARTMENT OF REHABILITATION SERVICES,491,FY11 Surplus Property Fund,,2011,7,$6688.97
80500.0,DEPARTMENT OF REHABILITATION SERVICES,496,Surplus Property Fund,,2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,497,Surplus Property Fund,,2011,7,$0.00
80500.0,DEPARTMENT OF REHABILITATION SERVICES,499,FY09 Surplus Property Fund,,2011,7,$0.97
80700.0,HEALTH CARE AUTHORITY,200,Ok Health Care Auth Revolving,"TITLE 63, SEC. 5016",2011,7,$21810965.77
80700.0,HEALTH CARE AUTHORITY,230,Nursing Fac Quality Of Care Fd,"TITLE 56, SECTION 2002, G",2011,7,$102694.08
80700.0,HEALTH CARE AUTHORITY,240,OHCA Federal Disallowance Fund,"TITLE 63, SECTION 5017",2011,7,$12692642.26
80700.0,HEALTH CARE AUTHORITY,245,Hlth Emp & Economy Imp Act,"TITLE 56, CH 16, SEC 1010.1, H",2011,7,$20376084.78
80700.0,HEALTH CARE AUTHORITY,250,Belle Maxine Hilliard Canc Trt,"TITLE 63, CH 1, ARTICLE 5, SEC 1-559",2011,7,$0.00
80700.0,HEALTH CARE AUTHORITY,255,OHCA Medicaid Program Fund,TITLE 63 SECTION 5020,2011,7,$0.00
80700.0,HEALTH CARE AUTHORITY,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$57485225.95
80700.0,HEALTH CARE AUTHORITY,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$89132479.60
81500.0,EMPLOYEES BENEFITS COUNCIL,210,EBC Wellness Program Rev Fnd,"TITLE 74, SECTION 1384",2011,7,$600057.89
81500.0,EMPLOYEES BENEFITS COUNCIL,220,EBC Administration Rev. Fund,"TITLE 74, CH 38A, SEC 1368",2011,7,$2327610.63
82500.0,UNIV. HOSPITALS AUTHORITY,201,University Hosp Auth Disb Fund,"TITLE 63, SEC 3221",2011,7,$5527711.28
82500.0,UNIV. HOSPITALS AUTHORITY,210,Univ Hosp Auth Mktg Revolving,"TITLE 63, SEC. 3221.1",2011,7,$0.00
82500.0,UNIV. HOSPITALS AUTHORITY,215,Donation Fund - Hospital,"TITLE 60, SEC. 385; TITLE 62, SEC. 34.9",2011,7,$2149761.33
82500.0,UNIV. HOSPITALS AUTHORITY,400,Federal Funds,"TITLE 62, CH1, SEC 34.9 & 34.48",2011,7,$6.67
83000.0,DEPARTMENT OF HUMAN SERVICES,200,Grants And Donations,"TITLE 62, SEC. 34.9",2011,7,$1811555.17
83000.0,DEPARTMENT OF HUMAN SERVICES,210,Income Tax Checkoff Revolv Fun,"TITLE 62, SEC. 34.9",2011,7,$0.00
83000.0,DEPARTMENT OF HUMAN SERVICES,215,Quality of Care Development Fu,"TITLE 62, SEC. 34.9",2011,7,$662.50
83000.0,DEPARTMENT OF HUMAN SERVICES,220,Revolving Fund,"TITLE 62, SECTION 34.9",2011,7,$1036685.38
83000.0,DEPARTMENT OF HUMAN SERVICES,225,Child Abuse Multidiscplry Acct,"TITLE 10A, SECTION 1-9-103",2011,7,$3108133.49
83000.0,DEPARTMENT OF HUMAN SERVICES,230,Indigent Health Care Rev Fund,"TITLE 56, SEC. 59.1",2011,7,$0.00
83000.0,DEPARTMENT OF HUMAN SERVICES,245,Adaptive Grant Program - MR,"TITLE 47, SECTION 1104.1",2011,7,$18423.00
83000.0,DEPARTMENT OF HUMAN SERVICES,250,Support Adoption License Plate,"TITLE 47, SECTION 1136, 81.",2011,7,$11500.00
83000.0,DEPARTMENT OF HUMAN SERVICES,255,Southern Ok Res Ctr Pauls Val,"TITLE 62, SECTION 165",2011,7,$197775.52
83000.0,DEPARTMENT OF HUMAN SERVICES,260,OK Silver Haired Legislature,"TITLE 68, SECTION 2368.3A",2011,7,$2010.87
83000.0,DEPARTMENT OF HUMAN SERVICES,265,Choose Life Assistance Program,"TITLE 47, SECTION 1104.6",2011,7,$21839.76
