indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8.0,2-19 years,0.0,22.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9.0,2-19 years,0.0,24.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10.0,2-19 years,0.0,24.6,2.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,1988-1994,1.0,2-19 years,0.0,12.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,1999-2002,2.0,2-19 years,0.0,17.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2001-2004,3.0,2-19 years,0.0,17.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2003-2006,4.0,2-19 years,0.0,18.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2005-2008,5.0,2-19 years,0.0,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2007-2010,6.0,2-19 years,0.0,20.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2009-2012,7.0,2-19 years,0.0,20.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2011-2014,8.0,2-19 years,0.0,19.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2013-2016,9.0,2-19 years,0.0,21.0,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2015-2018,10.0,2-19 years,0.0,23.9,1.3,-
