facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115034.0,RED ROOF INN LOUISVILLE EAST,9330 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2022/04/18 00:00:00,119.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115171.0,HOMEWOOD SUITES,130 CENTRAL AVE,LOUISVILLE,KY,40209,28,1988/06/02 00:00:00,120.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116492.0,BEST WESTERN LOUISVILLE EAST,9802 BUNSEN PKWY,LOUISVILLE,KY,40229,29,2022/09/06 00:00:00,121.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116909.0,ARTHUR STREET HOTEL,1620 ARTHUR STREET,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,122.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117098.0,EXTENDED STAY AMERICA,3300 PRESTON HWY,LOUISVILLE,KY,40213,28,2022/11/29 00:00:00,123.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117100.0,COMFORT INN SW LOUISVILLE,4444 DIXIE HWY,LOUISVILLE,KY,40216,23,2022/11/29 00:00:00,124.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117124.0,QUALITY INN & SUITES,311 E GAULBERT AVE,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,125.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117126.0,EXTENDED STAY AMERICA SELECT SUITES,6310 COMMERCE PARK CT,FAIRDALE,KY,40118,23,2022/12/01 00:00:00,126.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117170.0,HILTON GARDEN INN,400 SHERBURN LANE,LOUISVILLE,KY,40207,26,2022/12/06 00:00:00,127.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117171.0,HAWTHORN SUITES LOUISVILLE EAST,751 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2022/12/07 00:00:00,128.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118150.0,HOTEL GENEVIEVE,730 E MARKET ST,LOUISVILLE,KY,40202,26,2023/04/17 00:00:00,129.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118359.0,COMFORT SUITES AIRPORT,6535 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2023/04/28 00:00:00,130.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,119065.0,DERBY CITY GAMING HOTEL,4520 POPLAR LEVEL RD,LOUISVILLE,KY,40213,27,2023/06/22 00:00:00,131.0
