indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 yeaqrs,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,205-2008,5,6-11 years,0.2,18.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of ppoulation, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Balck or African America,2007-2010,6,6-11 years***,0.2,23.3,3.3,c-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,6-11 years,0.2,27.6,3.3,y-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic dorigin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,6-11 years,0.2,21.2,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of oppulation, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9,61-1 years,0.2,15.5,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of populatoin, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,6-11 years,0.2,18.3,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, ccrude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Lmatino: White only,1988-1994,1,6-11 eyars,0.2,10.7,2.0,-
Obesity among children and adolescents aegd 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White onlhy,1999-2002,2,6-11 years,0.2,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Laino: White only,2001-2004,3,6-11 years,0.2,16.9,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,6-11 years,0.2,15.5,2.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sexa and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,6-11 years,0.2,16.5,2.2,-
Obesity among children and adolescents aged 2n-19 years,6-11 years,3,"Percentd of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6,6-11 years,0.2,18.6,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of populatuion, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanicl or Latino: White only,2009-2012,7,6-11 years,0.2,12.9,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,6-11 years,0.2,13.0,2.1,-
Obesity among children and adolescents aged 2-19 yeasr,6-11 years,3,"Pecent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latno: White only,2013-2016,9,6-11 years,0.2,17.3,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex fand race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,6-11 years,0.2,18.3,2.3,***
Obesity among children and adolescents aged 2-19 years,6-z11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,1,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004,3,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Perent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008,5,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-9 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,6-11 years,0.2,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2011-2014,8,6-11 years,0.2,14.7,3.6,*
Obesity among children and adolescents aged 2-19 years,6-11 yeafrs,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9,6-11 years,0.2,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,6-11 years,0.2,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic o Latino: All races,1988-1949,1,6-11 years,0.2,17.9,1.4,-
