objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_dw_use_usename,impaired,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_attainment,shape_area(double precision),shape_length(double precision)
45,2020,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Evaluated,114672.529052734,1335.89294511291
47,2020,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Acres,2994,1080205,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Insufficient Information,Not Supporting,Not Evaluated,2173456.36364746,8614.07142319367
48,2020,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Acres,1554,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Supporting,Not Evaluated,25289589.460022,72327.8061340326
52,2020,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,"LAKE, FRESHWATER",96.38,Acres,2465,1100001,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,4198419.70056152,10217.3549883874
65,2020,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.","LAKE, FRESHWATER",112.42,Acres,33,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,4897161.9317627,13730.4604964013
69,2020,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.","LAKE, FRESHWATER",98.94,Acres,3586,1090005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Supporting,Not Evaluated,4309780.1184082,13629.450663532
72,2020,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).","LAKE, FRESHWATER",339.25,Acres,1554,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Supporting,Not Evaluated,14777856.5876465,60747.8782725628
96,2020,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris","LAKE, FRESHWATER",955.45,Acres,110,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,41619104.5916138,49683.926527037
97,2020,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.","LAKE, FRESHWATER",640.81,Acres,1544,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Evaluated,27913623.9888306,48901.5422399421
100,2020,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.","LAKE, FRESHWATER",65.66,Acres,1172,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Evaluated,2860026.72845459,9102.20490686733
