cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
1014.lsoacode,1014,lsoacode,E01022736,E01017250,FD_VIOLATION,crimeid -> lsoacode,"[e7, e8, e4]"
3620.fallswithin,3620,fallswithin,Hampshire Constabulary,Hampshirze Constabulary,RANDOM_TYPO,,[]
1473.crimeid,1473,crimeid,58cb49aa3667686399cfd958f7f40c3ca621a634924d40c2ecb95fee82d0390f,98ef14d98a5ed67ca8b7631caa3ed2463a3d0f23a7207feed48d32c2dead4106,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
8176.monthvalue,8176,monthvalue,2021-07,202-107,RANDOM_TYPO,,[]
1137.crimeid,1137,crimeid,53558445d349d3acb49291b58941a214f635dcdf20367fb99f9058af68554693,9b163559a1eff0de3de10f4257e4a6095f8dc8a21db6ccd46139618aa72f0cfb,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
9250.lsoaname,9250,lsoaname,East Hampshire 012C,East Hmampshire 012C,FD_VIOLATION,crimeid -> lsoaname,[e7]
5646.lsoaname,5646,lsoaname,Gosport 010F,oGsport 010F,FD_VIOLATION,crimeid -> lsoaname,[e7]
1400.lsoacode,1400,lsoacode,E01023277,E01023167,FD_VIOLATION,crimeid -> lsoacode,"[e7, e8, e4]"
299.reportedby,299,reportedby,Hampshire Constabulary,HampshireConstabulary,RANDOM_TYPO,,[]
4702.crimeid,4702,crimeid,85aa8849ecb1b0444f995c83d22e566ed17265ce6a7cebb9d33373edfad45cb6,85aa8849ecb1b04449f95c83d22e566ed17265ce6a7cebb9d33373edfad45cb6,RANDOM_TYPO,,[]
529.monthvalue,529,monthvalue,2021-07,2021-n07,RANDOM_TYPO,,[]
8864.crimeid,8864,crimeid,1adac7b400a2abdb49a9263f6028284e877daa71be5d1be5859bf8bda48c7d09,1adac7b400a2abdb49a9263f6028284eo877daa71be5d1be5859bf8bda48c7d09,RANDOM_TYPO,,[]
7989.locationvalue,7989,locationvalue,On or near PEAR TREE WAY,On o rnear PEAR TREE WAY,RANDOM_TYPO,,[]
4093.locationvalue,4093,locationvalue,On or near BLACK BERRY CLOSE,On or near BLACK BEpRRY CLOSE,RANDOM_TYPO,,[]
9352.lsoacode,9352,lsoacode,E01017050,E01017l050,FD_VIOLATION,crimeid -> lsoacode,[e8]
3068.reportedby,3068,reportedby,Hampshire Constabulary,Hampshire Constbulary,RANDOM_TYPO,,[]
8908.outcometype,8908,outcometype,Local resolution,Loca lresolution,RANDOM_TYPO,,[]
8717.lsoaname,8717,lsoaname,East Hampshire 001D,East Hampshie 001D,FD_VIOLATION,crimeid -> lsoaname,[e7]
600.reportedby,600,reportedby,Hampshire Constabulary,Hampshire Cnostabulary,RANDOM_TYPO,,[]
1170.reportedby,1170,reportedby,Hampshire Constabulary,Hampshire Constabulry,RANDOM_TYPO,,[]
5667.crimeid,5667,crimeid,a00730dd6dce785d9325f329f854263c8b795cb58633ba196e59a2d18a3a15b8,a00730dd6dce785d9325f329f854263c8b795cb58633ba196e59a2rd18a3a15b8,RANDOM_TYPO,,[]
1347.lsoacode,1347,lsoacode,E01023143,E01023167,FD_VIOLATION,crimeid -> lsoacode,"[e7, e8, e4]"
4321.monthvalue,4321,monthvalue,2021-07,u2021-07,RANDOM_TYPO,,[]
107.crimeid,107,crimeid,03249609e1080a965497970eeb6934dcd1fa9ced30193930a8d51fb9765c4a5b,9b163559a1eff0de3de10f4257e4a6095f8dc8a21db6ccd46139618aa72f0cfb,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
