survey_name,start_date,end_date,species,sample_key,record_key,uncertain,latitude,data_type,projection,longitude
1978-79 SWBSS North Devon survey,1978-06-06,1978-06-06,Caryophyllia (Caryophyllia) smithii,JNCCMNCR10017164,JNCCMNCR10309229,False,51.2139699999067,Point,WGS84,-4.0588108981482
1978-79 SWBSS North Devon survey,1978-06-06,1978-06-06,Caryophyllia (Caryophyllia) smithii,JNCCMNCR10017246,JNCCMNCR10311359,False,51.2139699999067,Point,WGS84,-4.0588108981482
1978-79 SWBSS North Devon survey,1979-07-18,1979-07-18,Doto tuberculata,JNCCMNCR10017257,JNCCMNCR10311614,False,51.0153811102677,Point,WGS84,-4.42498666479072
1978-79 SWBSS North Devon survey,1978-06-05,1978-06-05,Aglaophenia,JNCCMNCR10017281,JNCCMNCR10312381,False,51.2132834912881,Point,WGS84,-4.09744123709183
1978-79 SWBSS North Devon survey,1978-06-08,1978-06-08,Aglaophenia,JNCCMNCR10017296,JNCCMNCR10312862,False,51.2238008239349,Point,WGS84,-3.9031409801048
1978-79 SWBSS North Devon survey,1978-06-16,1978-06-16,Aglaophenia,JNCCMNCR10017304,JNCCMNCR10313095,False,51.2188032089271,Point,WGS84,-4.09053184633273
1978-79 SWBSS North Devon survey,1978-06-12,1978-06-12,Aglaophenia,JNCCMNCR10017310,JNCCMNCR10313257,False,51.1454136190676,Point,WGS84,-4.26450914013944
1978-79 SWBSS North Devon survey,1978-06-13,1978-06-13,Grantia compressa,JNCCMNCR10017287,JNCCMNCR10312552,False,51.2211315096244,Point,WGS84,-4.009006165657
1978-79 SWBSS North Devon survey,1978-06-05,1978-06-05,Callionymus lyra,JNCCMNCR10017281,JNCCMNCR10312388,False,51.2132834912881,Point,WGS84,-4.09744123709183
1978-79 SWBSS North Devon survey,1979-07-18,1979-07-18,Callionymus lyra,JNCCMNCR10017325,JNCCMNCR10313651,False,50.9980292981176,Point,WGS84,-4.39415026382308
1978-79 SWBSS North Devon survey,1978-06-16,1978-06-16,Callionymus lyra,JNCCMNCR10017255,JNCCMNCR10311556,False,51.2104509883742,Point,WGS84,-4.0543585304208
1978-79 SWBSS North Devon survey,1978-06-12,1978-06-12,Molgula manhattensis,JNCCMNCR10017310,JNCCMNCR10759093,True,51.1454136190676,Point,WGS84,-4.26450914013944
1978-79 SWBSS North Devon survey,1978-06-11,1978-06-11,Chondria,JNCCMNCR10017209,JNCCMNCR10310593,False,51.2042611677795,Point,WGS84,-4.14856946164071
1978-79 SWBSS North Devon survey,1978-06-10,1978-06-10,Ahnfeltia plicata,JNCCMNCR10017288,JNCCMNCR10312617,False,51.2184846877283,Point,WGS84,-4.00602684665328
