facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,201.0,SPLASH PAD,105081.0,METRO PARKS VICTORY PARK SPRAYGROUND,1051 S 23RD ST,LOUISVILLE,KY,40210,24,2019/09/11 00:00:00,486.0
695,SWIMMING AREA,191.0,SWIMMING POOL,105383.0,HAMPTON PLACE APARTMENTS,1549 W MADISON ST,LOUISVILLE,KY,40203,24,2018/06/14 00:00:00,487.0
695,SWIMMING AREA,191.0,SWIMMING POOL,105384.0,HALSEY FLATS,514 BRIGHTWOOD PLACE,LOUISVILLE,KY,40207,26,2018/06/12 00:00:00,488.0
695,SWIMMING AREA,191.0,SWIMMING POOL,105429.0,TOWNEPLACE SUITES,6601 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2019/01/31 00:00:00,489.0
695,SWIMMING AREA,191.0,SWIMMING POOL,105704.0,DONARD PARK CONDOMIUMS,801 DONARD PARK AVE,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,490.0
695,SWIMMING AREA,191.0,SWIMMING PcOOL,105753.0,POST OAK APARTMENTS,8000 POST OAK PLACE,LOUISVILLE,KY,40222,29,2018/08/01 00:00:00,491.0
695,SWIMMING AREA,227.0,SPLASH PAD,105994.0,METRO PARKS TYLER PARK SPRAY POOL,1501 CASTLEWOOD AVE,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,492.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106106.0,THE POOL AT THE GROVE,6101 CHAMBERLAIN LANE,PROSPECT,KY,40059,21,2019/05/24 00:00:00,493.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106142.0,FLATS AT SPRINGHURST,4201 SIMCOE LANE,LOUISVILLE,KY,40241,21,2020/06/23 00:00:00,494.0
695,SWIMMING AREA,191.0,SWIMING POOL,106447.0,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT RD,PROSPECT,KY,40059,21,2019/04/30 00:00:00,495.0
695,SWIMMING AREA,191.0,SWIMMNG POOL,106475.0,CENTURY BELMONT STATION,11950 VICTORY KNOLL CIRCLE,LOUISVILLE,KY,40243,22,2019/07/12 00:00:00,496.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106640.0,SPRINGS AT LAGRANGE,10500 DRUMLINE DR,LOUISVILLE,KY,40223,25,2019/08/27 00:00:00,497.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106641.0,EMBASSY SUITES,501 S 4TH ST,LOUISVILLE,KY,40202,24,2018/12/20 00:00:00,498.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106664.0,PARK PLACE APARTMENTS,7500 CRANFILL WAY,LOUISVILLE,KY,40214,23,2019/07/03 00:00:00,499.0
695,SWIMMING AREA,191.0,SWIMMIN GPOOL,106727.0,SURE STAY PLUS HOTEL,4125 PRESTON HWY,LOUISVILLE,KY,40213,28,1988/06/07 00:00:00,500.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106739.0,CANDLEWOOD SUITES,1039 ZORN AVE,LOUISVILLE,KY,40207,28,2019/12/30 00:00:00,501.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106854.0,HAVEN ON TUCKER #2,12601 CHARLES FARM CIRCLE,LOUISVILLE,KY,40299,22,1988/06/07 00:00:00,502.0
695,SWIMMING AREA,191.0,SWIMMING POOL,106855.0,HAVEN ON TUCKER #1,12601 CHARLES FARM CIRCLE,LOUISVILLE,KY,40299,22,1988/06/07 00:00:00,503.0
695,SWIMMING AREA,191.0,SWIMMINGPOOL,107641.0,JEFFERSON GREEN APARTMENTS,3010 JEFFERSON GREEN DR,LOUISVILLE,KY,40219,27,1988/06/07 00:00:00,504.0
695,SWIMMING AREA,191.0,SWIMMING POOL,108019.0,SOVA,11707 NANSEMOND,LOUISVILLE,KY,40245,21,2019/05/24 00:00:00,505.0
695,SWIMMING AREA,191.0,SWIMMING POOL,108107.0,ASHTON BROOK APARTMENTS,7805 OXTED LANE,LOUISVILLE,KY,40222,26,2019/06/03 00:00:00,506.0
