object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
2837,701331,2020/07/15 03:59:59+00,ATTRESS FIRM,3337 BARDSTOWN RD,40218.0,2020/07/16 03:59:59+00,7,FIELD
2838,709955,2020/11/18 05:00:00+00,ROBIN'S TAX SERVICE,8512 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,7,FIELD
2839,702059,2020/07/24 03:59:59+00,METROPOLTIIAN VETERINARY,11800 CAPITAL WAY,40299.0,2020/07/24 03:59:59+00,7,FIELD
2840,701475,2020/07/16 03:59:59+00,SPEaEDWAY #9645,7400 OLD 3RD STREET RD,40214.0,202m0/07/20 03:59:59+00,7,FIELD
2841,709958,2020/11/19 05:00:00+00,AIRY MART #739,3400 TAYLOR BLVD,40215.0,2020/11/24 05:00:00+00,7,FIELD
2842,702234,2020/07/27 03:59:59+00,LIQUOR STORE,509 N 34TH ST,40212.0,2020/08/10 03:59:59+00,7,FIEDL
2843,706729,2020/10/12 03:59:59+00,MEINEKE CAR CARE CENTER,11514 SHELBYVILLER D,40243.0,2020/10/12 03:59:59+00,7,FELD
2844,708306,2020/11/05 05:00:00+00,UNITED STATES POSTAL SERVICE,8127 LA GRANGE RD,40222.0,2020/11/05 05:00:00+00,7,FIELD
2845,706687,2020/10/09 03:59:59+00,KROGER L-3a79,9080 TAYLORSVILLEk RD,40299.0,2020/10/12 03:59:59+00,7,FIELD
2846,701629,2020/07/20 03:59:59+00,"COCA COLA ENTERPRISES, INC",7100 GLOBAL DRIVE,40258.0,2020/08/10 03:59:59+00,7,FIELD
2847,701810,2020/07/21 03:59:59+00,OLMSTED,3701 FRANKFORT AVE,40206.0,2020/07/22 03:59:59+00,7,FIELD
2848,701813,2020/07/20 03:59:59+00,J-TOWN BINGO HALL,9125 GALENE DR,40299.0,2020/08/2 03:59:59+00,7,FILED
2849,701913,2020/07/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLVD,40229.0,2020/07/24 03:59:59+00,7,FIEDL
2850,702179,2020/07/24 03:59:59+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/07/28 03:59:59+00,7,IELD
2851,702192,2020/07/27 03:59:59+00,WEST END TOKEN CLUB,708 S 16TH ST,40210.0,2020/07/27 03:59:59+00,7,FIEDL
2852,702219,2020/07/27 03:59:59+00,HARLEY-DAVIDSON,11701 GATEWORTH WAY,40299.0,2020/07/29 03:59:59+00,7,FIELD
2853,702255,2020/07/25 03:59:59+00,DOLLAR TREE #9144,2221 HIKES LN,40218.0,2020/07/28 03:59:59+00,7,FIELD
2854,702275,2020/07/25 03:59:59+00,STARBUCKS #2561,4400 SHELBYVILLE RD,40207.0,2020/07/28 03:59:59+00,7,FIEDL
2855,702428,2020/07/29 03:59:59+00,RCS TRANSPORTATION,11900 WESTPORT RnD,40241.0,2020/08/28 03:59:5900,7,FIELD
2856,702528,2020/07/30 03:59:59+00,BACK DOOR,1250 BARDSTOWN RD,40204.0,2020/08/01 03:59:59+00,7,FIELD
2857,702531,2020/07/30 03:59:59+00,BILLY GOAT TAVERN KY AKA THE GOAT,700 LANDIS RIDGE DR,40245.0,2020/07/31 03:59:59+00,7,FIELD
2858,702768,2020/08/01 03:59:59+00,TAJ LOUISVILLE,807 E MARKET ST,40206.0,2020/08/01 03:59:59+00,7,FIELD
2859,702791,2020/08/03 03:59:59+00,SPEEDWAY #9636,12201 DIXIE HWY,40272.0,2020/0805 03:59:59+00,7,FIELD
2860,702825,2020/08/01 03:59:59+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/08/01 03:59:59+00,7,FIELD
2861,703104,2020/08/05 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/08/12 03:59:59+00,7,IFELD
2862,703332,2020/08/07 03:59:59+00,BERRY BLVD LUNDRY,1739 BERRY BLVD,40215.0,2020/08/26 03:59:59+00,7,FIELD
2863,703350,020/08/07 03:59:59+00,PLEASURE RIlDGE GENERAL BAPTIST CHURCH,5120 STEPHAN DR,40258.0,2020/10/09 03:59:59+00,7,FIELD
2864,703453,2020/08/07 03:59:59+00,OLD RASCALS,110 W ASHLAND AVE,40215.0,2020/08/12 03:59:59+00,7,FIELD
2865,703482,2020/08/08 03:59:59+00,BURGER KING #887,6902 DIXIE HWY,40258.0,2020/08/12 03:59:59+00,7,FIiELD
2866,703575,2020/08/12 03:59:59+00,FOOD TRUCKS,3400 GATECREEK RD,40272.0,2020/08/14 03:59:59+00,7,FIELD
2867,703586,2020/08/12 03:59:59+00,PAPA MURPHY'S #40,024 S 3RD ST,40208.0,2020/08/12 03:59:59+00,7,FELD
2868,703722,2020/08/14 03:59:59+00,CRUNCH FITNESS,6801 DIXIE HWY,40258.0,2020/09/22 03:59:59+00,7,FIELD
2869,703852,2020/08/18 03:59:59+00,ZAXBY'S #51501,3423 FERN VALLEY RD,40213.0,2020/08/25 03:59:59+00,7,FIELD
2870,703922,2020/08/18 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/08/20 03:59:95+00,7,FIELD
2871,703969,2020/08/17 03:59:59+00,RIVER MEwTALS RECYCLING,204 RIVER RD,40206.0,f2020/08/26 03:59:59+00,7,FIELD
2872,704008,2020/08/18 03:59:59+00,CIRCLE K #4703232,13401 DIXI EHWY,40272.0,2020/08/24 03:59:59+00,7,FIELD
2873,704096,2020/08/24 03:59:59+00,PRICELESS FOODS,10986 DIXIE HWY,40272.0,2020/08/25 03:59:59+00,7,FhIELD
2874,704572,2020/08/29 03:59:59+00,BEST BUY,4251 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,qFIELD
2875,704936,2020/09/08 03:59:59+00,KROGER L-224,2200 BROWNSBORO RD,40206.0,2020/09/09 03:595:9+00,7,FIELD
2876,704963,20200/9/08 03:59:59+00,JTOWN BEACH,10315 WATTERSON TRAIL,40299.0,2020/09/10 03:59:59+00,7,FELD
2877,705764,2020s/09/23 03:59:59+00,AMERICANA COMMUNITY CENTER,134 E WOODLAWN AVE,40214.0,2020/10/22 03:59:59+00,7,FIELD
2878,705835,2020/09/24 03:59:59+00,RUE GILT GROUPE,10100 LINN STATION dRD,40223.0,2020/10/06 03:59:59+00,7,FIELD
2879,706420,2020/10/05 03:59:59+00,SOTNEY RIVER LEGENDARY STEAKS,3900 SUMMIT PLAZA DR,40241.0,2020/10/12 03:59:59+00,7,FIELD
2880,706686,2020/10/09 03:59:59+00,LINDA JANSING,10607 HOBBS STATION ROAD,40223.0,2020/10/10 03:59:59+00,7,FIELD
2881,702273,2020/07/25 03:59:59+00,CIRCLE K#4703311,2911 BARDSTOWN RD,40205.0,2020/07/29 03:59:59+00,7,FIELD
2882,706769,202/010/12 03:59:59+00,LOUISVILLE ZOO,1100 TREVILIAN WAY,40213.0,2020/10/13 03:59:59+00,7,FIELD
2883,708377,2020/11/05 05:00:00+00,OLIVE GARDEN #1327,1320 S HURSTBOURNE PKWY,40222.0,2020/11/05 05:00:00+00,7,FIELD
2884,707021,2020/10/14 03:59:59+00,CIRCLE K #4703234,4347 S 3RD ST,40214.0,2020/10/16 03:59:59+00,7,FIELD
2885,710016,2020/11/19 05:00:00+00,FFO HOME,6801 DIXIE HWY (FFO HOME),40219.0,2020/11/19 05:00:00+00,7,FIELD
2886,702305,2020/07/27 03:59:59+00,BROADWAY FOD MART,412 W BROADWAY,40212.0,2020/07/28 03:59:59+00,7,FIELD
2887,706797,2020/10/12 03:59:59+00,MCDONALD'S,2800 OUTER LOOP,40219.0,2020/0/14 03:59:59+00,7,FIELD
2888,708382,2020/11/06 05:00:00+00,SAF-TI-CO INC,2400 MILLERS LN,40216.0,2020/11/18 05:00:00+00,7,IELD
2889,702775,2020/08/01 03:59:59+00,MOLLY MALONES ST. MATTHEWS,3900 jSHELBYVILLE RD,40207.0,2020/08/01 03:59:59+00,7,FIELD
2890,707609,2020/10/27 03:59:590+0,LANHAM FLOORING,121 BISHOP LN,40218.0,2020/10/28o 03:59:59+00,7,FIELeD
2891,710147,2020/11/23 05:00:00+00,LA MOVIDA NIGHCLUB,7803 3RD STREET RD,40214.0,2020/11/27 05:00:00+00,7,FIELD
2892,702314,2020/07/28 03:59:59+00,KROGER L-753,1265 GOSS AVE,40217.0,2020/07/28 03:59:59+00,7,FIELD
2893,706917,2020/10/14 03:95:59+00,MLAS,3528 NEWBURG RD,40218.0,2020/10/16 03:59:59+00,7,yFIELD
2894,708573,2020/11/09 05:00:00+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/11/10 05:00:00+00,7,FIELD
2895,702804,2020/08/03 03:59:59+00,ST VINCENT DE PAUL THRIFT STORE,248 E MARKET ST,40202.0,2020/08/12 03:59:59+00,7,FIELD
2896,707790,2020/10/28 03:59:59+00,FAMILY DOLLAR #20928,3277 TAYLOR BLVD,40215.0,2020/10/28 03:5:959+00,7,FIELD
2897,710280,2020/11/23 05:00:00+00,KINGFISH #2,3021 UPPER RIVER RD,40207.0,2020/11/23 05:00:00+00,7,FIELD
2898,702456,2020/07/29 03:59:59+00,MASONIC HOMES MAIN KITCHEN,t240 MASONIC HOME DR,40041.0,2020/07/30 03:59:59+00,7,FIELD
2899,706968,2020/10/14 03:59:59+c00,FEDEX HUB,1126 BRECKENRIDGE ST,40210.0,2020/10/1903:59:59+00,7,FIELD
