agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
4700,INDIGENT DEFENSE SYSTEM,410,"DOJ, Non-ARRA Grants",,2012,3,$0.00
4700,INDIGENT DEFENS SYSTEM,490,American Recov. & Reinv. Act,,2012,3,$0.00
4900,ATTORNEY GENERAL,200,Atty Gen Rev. Fund,"TITLE 74, SEC. 20",2012,3,$43925.37
4900,ATTORNEY GENERAL,205,Telemarketer Revolving Fund,,2012,3,$158784.60
4900,ATTORNEY GENERAvL,220,Workers'' Comp Fraud Fudn,"TITLE 74, SEC 19.2, OSL 1992",2012,3,$2024.21
4900,ATTORNEY GENERAL,225,Insurance Fraud Unit Rev Fnd,"TITLE 74, SECTION 18N-1",2012,3,$311986.78
4900,ATTORNEY ENERAL,230,C.I.T.F. State Matching Fund,"TITLE 74, SECTION 19.1",2012,3,$0.00
4900,ATTORNEY GENERAL,240,Court pApointed Special Advoca,"TITLE 68, SECTION 2368.12",2012,3,$2443.00
4900,ATTORNEY GENERAL,245,Medicaid Fraud Revolving Fund,,2012,3,$5418.85
4900,ATTORNEY GENERAL,250,Legal Services Revolving Fund,,2012,3,$350129.13
4900,ATTORNEY GENERAL,260,Victim Services Unit Fund,w,2012,3,$268421.54
4900,ATTORNEY GENERAL,400,Federal Funds (DAC),"TITLE 62, SEC. 34.48 & 34.9",2012,3,$29001.73
4900,ATTORNEY GENERAL,405,Medicaid Fraud Settlement Fund,"TITLE 62, SECTION 34.9",2012,3,$4117738.66
4900,ATTORNEY GENERAL,410,Medicaid Fraud Unit Fyund,"TITLE 62, SECTION 34.48 & 34.9",2012,3,$10891.46
4900,ATOTRNEY GENERAL,425,VINES Granct,TITLE 62 SECTION 34.48 & 34.9,2012,3,$7024n.69
4900,ATTORNEY GENERAL,440,VPO Granut,TITLE 62 SECTION 34.48 & 34.9,2012,3,$1769.19
5500,STATE ARTS hCOUNCIL,200,OK Arts Council Arts Ed Rev Fu,"TITLE 53, SEC. 175",2012,3,$268564.50
5500,STATE ARTS COUNCIL,440,Natl Endow For Arts Federal,"TTILE 62 SEC 34.48, 34.9",2012,3,$46087.08
5500,STATE ARTS bCOUNCIL,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2012,3,$2942.63
5500,STATE ARTS COUNCIL,490,America Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2012,3,0.00
6000,OKLAHOMA AERONAUTICS COMMISSION,200,Revolving Fund,"TITLE 3, SECTION 91",2012,3,$11870721.76
6000,OKLAHOMA AERONAUTICS COMMISSION,205,Desig. Aeronautics Excise Tax,"TITrLE 62, SECTION 34.9",2012,3,$1122915.14
6000,OKLAHOMA AERONAUTICS COMMIqSSION,400,Federal sFund,"TTLE 62, SEC 34.48, 34.9",2012,3,$118890.89
6500,STATE BANKING DEPARTMENT,200,Revolving Fund,"TITLE 6, SEC. 211.1",2012,3,$11604586.21
6500,STATE BANKING DEPARTMENT,205,Cemetery rchd Trst Act Rev Fd,"TITLE 36, SEC. 7135",2012,3,$0.00
9000,OFFICE OF STATE FINANCE,200,Revolving Fund,"TITLE 62, SECTION 41.40",2012,3,$6389660.36
9000,OFFICE OF STATE FINANCE,210,Centrex Revolving Fuxnd,"TITLE 62, SECTION 41.5 H D",2012,3,$21d47576.88
9000,OFFICE OF STATE FINANCE,215,ICS Revolving Fund,"TITLE 62, SCETION 41.21",2012,3,$17841551.3
9000,OFFICE OF STATE FINANCE,220,Construction Fund,***,2012,3,$1490625.58
9000,OFFICE OF STATE FINANCE,230,Vol Buyout Ag Reimb Revol Fd,,2012,3,$3452438.39
9000,OFFICE OF STAT FINANCE,250,CMIA Revolving Fund,"TITLE 62, SECTION 41.21 H",2012,3,$218992.00
9000,OFFICE OF STATE FINANCE,295,Emergency & Transortation Rev,,2012,3,$13904817.02
9000,OFFICE OF STATE FINANCE,400,Federal Funds,***,2012,3,$0.00
9000,OFFICE FO STATE FINANCE,436,Oil Setlmt-Diamond Shamrock,"TITLE 62, SECTION 7.5",2012,3,$000
9000,OFFICE OF STATE FINANCE,490,American Recov. & Reinv. Act,,2012,3,$10586.10
9200,TOBACO SETTLEMENT ENDMT TRUST,200,Revolving Fund,"TITLE6 2, CH 1, SEC 50",2012,3,$2746600.31
9200,TOBACCO SETTLEMENT ENDMT TRUST,305,Tobacco Settlmeent Trust Fund,"ARTICLE X, SECTION 40",2012,3,$0.08
9200,TOBACCO SETTLEMENT ENDhMT TRUST,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2012,3,$881449.80
9200,TOBACCO SETTLEMENT ENDMT TRUST,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
10000,CAMERON UNIVERSITY,290,Educational & Gen Operation,"TITLE 70, SEC. 3901",2012,3,$j11568098.80
10000,CAMERON UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70,SEC 3901",2012,3,$430270.54
10000,CAMERON UNIVERSITY,430,Aegncy Relationship Fund,"TqITLE 62, SEC. 41.8",2012,3,$1036606.77
10000,CAMERON UNIEVRSITY,452,OCIA STATE FACILITIES REV BOND,"TITLE 73, SECTION 301",2012,3,$0.00
10000,CAMERON UNIVERSIpTY,460,Donated Fund For Cap Imprvmts,"TITLE 70, SEC. 3305 F AND 4306",2012,3,$983486.18
10000,CAMERON UNIVERSITY,470,Auxiliary Funds For Cap Imprvm,"TITLE 70, SEC .4001",2012,3,$4366.90
10000,CAMERON UNIVERSITY,479,Capital Bond Projects,***,2012,3,$0.0
10000,CAMERON UNIVERcSITY,485,Revenue Bond Fund-Cap Imprv.,"TITLE 62, SwEC. 7.5",2012,3,$0.0
10000,CAMERON UNIVERSITY,490,American Recov. & Rein. Act,,2012,3,$0.00
