crimeid_UK_CSV0000000000010804,monthvalue_UK_CSV0000000000010804,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000012651,monthvalue_UK_CSV0000000000012651
abc73c2e0d04d43b9a5f320a0bde25f40dba560336fc5e914357ef239e88d37e,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.727994,52.573401,On or near ROYAL ALBERT COURT,E01026631,Great Yarmouth 010E,Unable to prosecute suspect,,
91281bee05a918d23c8e39a2ddd9b3ebf8c70e23f6a1e65b2a0b0b4f26d3bc2e,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.723208,52.601741,On or near Petrol Station,E01026635,Great Yarmouth 007D,Unable to prosecute suspect,,
c814bb4bfcfd909cab87a2771843f3695cb5e3611fb5c350d21c2770c722fcf9,2021-10,Norfolk Constabulary,Norfolk Constabulary,0.85874,52.554918,On or near HMP WAYLAND,E01033040,Breckland 010F,Action to be taken by another organisation,,
6ad4741a99359d87df340b53148c9a2976ad4ac6dc75e16fc57a216d531ee185,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Unable to prosecute suspect,,
53e315423b4839fa00bfdd9bcde85c48047ee2110b662256f16112f569d54a0d,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026635,Norwich 007A,Further investigation is not in the public interest,,
a53897594278cacff72dc7b9972f91a6fca742f702f4649ae4a7e3cc4b15645b,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Further investigation is not in the public interest,,
5be3abd6e4b330684e053736b0a549c49fcdf96b136fe4c2b9706a1aa3e857e1,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Investigation complete; no suspect identified,,
9654303deb6ca48f36acf7ce740650ad70529b8c300a020aa62ba151d18395db,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Investigation complete; no suspect identified,,
b0b36eeecba3939d46218cb5ac264d3e98a7b21421fca8241eec769f277c2cda,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Unable to prosecute suspect,,
df596d519a088c5eb83b95725580d157b24535481b3fbffc72eb4dd8f4897756,2021-10,Norfolk Constabulary,Norfolk Constabulary,0.403704,52.763439,On or near TURBUS ROAD,E01026688,King's Lynn and West Norfolk 007B,Unable to prosecute suspect,,
a8b6922c822fe72b36c1d5650d349aa2f6c17507da8511f388022470fb39ed7e,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Investigation complete; no suspect identified,,
1fcf5151e898f605695c714be9bc28cd56634044fe91a76b3e4eb8c847b5860e,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026635,Norwich 007A,Investigation complete; no suspect identified,,
4db0741a8b0806d00dad510cfa7b4b696511bbd7ec0a3ee9198b60a1839dbb42,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Unable to prosecute suspect,,
8473694e126491008dbbb81c526ee4ef917d682e1d79a5cecde0c2bbcdbd4305,2021-10,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,No location,E01026822,Norwich 007A,Local resolution,,
