indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,1988-1994,1.0,2-19 years,0.0,10.0,0.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,1999-2002,2.0,2-19 years,0.0,14.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2001-2004,3.0,2-19 years,0.0,16.3,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2003-2006,4.0,2-19 years,0.0,16.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2005-2008,5.0,2-19 years,0.0,16.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2007-2010,6.0,2-19 years,0.0,16.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2009-2012,7.0,2-19 years,0.0,16.9,0.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2011-2014,8.0,2-19 years,0.0,17.0,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2013-2016,9.0,2-19 years,0.0,17.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,2015-2018,10.0,2-19 years,0.0,18.9,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,1988-1994,1.0,2-19 years,0.0,10.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,1999-2002,2.0,2-19 years,0.0,15.5,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,2001-2004,3.0,2-19 years,0.0,17.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,2003-2006,4.0,2-19 years,0.0,17.0,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,2005-2008,5.0,2-19 years,0.0,16.8,1.0,-
