gender,qc_five_five,q_zero_five_one_two,q_zero_fourbii_one_four,q_zero_threea_one_two,q_zero_nine_one_zero,q_zero_four_zero_six,q_one_eighti_zero_seven,q_zero_nine_one_three,q_one_fived_zero_two_zero_six,q_one_fiveca_zero_four,q_one_zerof_zero_seven,q_zero_threea_one_zero,qc_five_six,q_one_fived_zero_four_zero_two,q_zero_four_zero_two,q_zero_nine_zero_one,q_zero_fourbi_zero_five,q_two_seven_zero_four,q_zero_foura_two_two
Man,Yes,No,No,No,Less often,9,Have never done this but I am aware of this,At least once a month,No,Yes,No,No,No,No,6,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Woman,Yes,No,No,No,Less often,1 - Not at all interested,Have done/used this in the past 3 months,Several times a day,No,No,No,Yes,No,No,6,Several times a day,No,Very satisfied,No
Woman,No,No,No,No,Never,5,Have done/used this in the past 3 months,At least once a month,Yes,Yes,Yes,No,No,No,8,Several times a day,No,Fairly satisfied,No
Man,No,No,No,No,Less often,9,Have never done this - and I wasn't aware that this was possible,Less often,No,No,Yes,Yes,No,No,10 - Extremely interested,Several times a day,No,Fairly dissatisfied,No
Man,No,Yes,No,No,At least once a week,1 - Not at all interested,Have never done this but I am aware of this,Several times a day,No,Yes,No,Yes,No,No,3,Several times a day,No,Fairly satisfied,No
Man,No,No,No,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Very dissatisfied,No
Woman,No,Yes,No,Yes,Less often,3,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,No,8,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Don't know,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,No
Woman,Yes,Yes,No,No,Once or twice a day,7,Have done/used this in the past 3 months,At least once a week,No,Yes,No,No,Yes,No,5,Once or twice a day,Yes,Fairly satisfied,No
Man,No,No,No,No,At least once a month,7,Have never done this but I am aware of this,At least once a month,Yes,Yes,Yes,Yes,Yes,No,6,Once or twice a day,No,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,No,Yes,No,No,At least once a month,9,Have never done this but I am aware of this,At least once a week,Yes,Yes,Yes,Yes,No,No,9,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,Never,8,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,No,No,No,No,No,6,Several times a day,Yes,Fairly satisfied,No
