cell_id,table_id,column_id,row_number,column_name,old_value,new_value,error_type,source_table,source_row,source_column
61.1.3,61,1,3,monthvalue,2t021-02,2021-02,RANDOM_TYPO,UK_CSV0000000000009579,3,monthvalue
61.0.4,61,0,4,crimeid,a23b3617378e8ece1c09b4b000b3018b9d3b36ab826ca6e04d9d11f0d4aa119a,2c4341a383c26beff7a08fe62232f0d53f95b131cc11c14c1580e675e5237d6b,FD_VIOLATION,UK_CSV0000000000009579,4,crimeid
61.1.6,61,1,6,monthvalue,202-102,2021-02,RANDOM_TYPO,UK_CSV0000000000009579,6,monthvalue
61.0.8,61,0,8,crimeid,0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,03a09ed0f99fa06a77f1bf6ba4ee62ff5d83927d73ddf0fcb7c8b3be156228b0,FD_VIOLATION,UK_CSV0000000000009579,8,crimeid
61.0.9,61,0,9,crimeid,45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,79d550ff5f97cf92c0e03439548b3e2da2648e42d946102a36b66894b981d1fe,FD_VIOLATION,UK_CSV0000000000009579,9,crimeid
61.7.9,61,7,9,lsoacode,E01020618,E01020593,FD_VIOLATION,UK_CSV0000000000009579,9,lsoacode
61.0.12,61,0,12,crimeid,d194c0a861566aa630406e8b16b2b660819c749b2a3f43fe05be66cfc1721023,e75a89f61d42d825ad0b9ce1221318a758cf6a4ab9431c89d05b3c857f2118f3,FD_VIOLATION,UK_CSV0000000000009579,12,crimeid
61.7.12,61,7,12,lsoacode,E01020813,E01020630,FD_VIOLATION,UK_CSV0000000000009579,12,lsoacode
61.7.13,61,7,13,lsoacode,E01020786,E01020868,FD_VIOLATION,UK_CSV0000000000009579,13,lsoacode
61.0.14,61,0,14,crimeid,45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,022915157eeaa278207c8181f08c8b889d5cc40f3dd067a4687d6b476c6e17fc,FD_VIOLATION,UK_CSV0000000000009579,14,crimeid
61.7.14,61,7,14,lsoacode,E01020595,E01012349,FD_VIOLATION,UK_CSV0000000000009579,14,lsoacode
61.0.15,61,0,15,crimeid,6af06c88e6ef34ed8f5a68b85a3c682bf24091cf3e6dd4f1f029ad8a737badc3,100f6e0f96b6df5a5bd6e8edabda38d91f805dca3d3e6d847e927dd74b4cd800,FD_VIOLATION,UK_CSV0000000000009579,15,crimeid
61.6.15,61,6,15,locationvalue,On ro near BRINKBURN ROAD,On or near BRINKBURN ROAD,FD_VIOLATION,UK_CSV0000000000009579,15,locationvalue
61.0.16,61,0,16,crimeid,60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,c836eeba168a903b167bf769df96d6c7b47becd0a78b01e0d424528f0b1ddc4b,FD_VIOLATION,UK_CSV0000000000009579,16,crimeid
61.7.16,61,7,16,lsoacode,E01012350,E01020621,FD_VIOLATION,UK_CSV0000000000009579,16,lsoacode
61.3.17,61,3,17,fallswithin,Durham Constabulay,Durham Constabulary,RANDOM_TYPO,UK_CSV0000000000009579,17,fallswithin
61.7.17,61,7,17,lsoacode,E01020616,E01020905,FD_VIOLATION,UK_CSV0000000000009579,17,lsoacode
61.0.18,61,0,18,crimeid,0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,0696ce4f0816e1d41336cfe2b7226e89d8868a416cc6dc4822fef186379f21a5,FD_VIOLATION,UK_CSV0000000000009579,18,crimeid
61.7.18,61,7,18,lsoacode,E01020616,E01020806,FD_VIOLATION,UK_CSV0000000000009579,18,lsoacode
61.1.19,61,1,19,monthvalue,221-02,2021-02,RANDOM_TYPO,UK_CSV0000000000009579,19,monthvalue
61.0.20,61,0,20,crimeid,60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,0f8baddcf4173e826178b88c5cc63fa880d31896c527798d8d746206bf5f75c4,FD_VIOLATION,UK_CSV0000000000009579,20,crimeid
61.1.21,61,1,21,monthvalue,202-02,2021-02,RANDOM_TYPO,UK_CSV0000000000009579,21,monthvalue
