crimeid,monthvalue,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype
530991450cd0f08cd6b11ceb4df46266dcdf8d9831023c8aa6bfbe937f821938,2021-02,Durham Constabulary,Durham Constabulary,-1.692374,54.711089,No location,E01020868,County Durham 055A,Unable to prosecute suspect
0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,2021-02,Durham Constabulary,Durham Constabulary,-1.58348,54.862412,On or near LAUREL COURT,E01020597,County Durham 007B,Investigation complete; no suspect identified
8292e0fb755e9e629b199057b4e40c5c9c1ec97ff222b59db49af19348146dc5,2021-02,Durham Constabulary,Durham Constabulary,-1.573074,54.854962,On or near HIGH CHARE,E01020595,County Durham 013B,Unable to prosecute suspect
a23b3617378e8ece1c09b4b000b3018b9d3b36ab826ca6e04d9d11f0d4aa119a,2t021-02,Durham Constabulary,Durham Constabulary,-1.384999,54.843075,On or near SEATON GROVE,E01020786,County Durham 016D,Investigation complete; no suspect identified
a23b3617378e8ece1c09b4b000b3018b9d3b36ab826ca6e04d9d11f0d4aa119a,2021-02,Durham Constabulary,Durham Constabulary,-1.383792,54.76077,On or near KING STREET,E01020761,County Durham 034B,Investigation complete; no suspect identified
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.613486,54.873708,On or near GREENACRES,E01020616,County Durham 005C,Unable to prosecute suspect
1e354a1e70f122645d189a8904b0f96c0ec1c07821e4d7c214bb970caa389886,202-102,Durham Constabulary,Durham Constabulary,-1.695077,54.706629,On or near CANTERBURY CRESCENT,E01020902,County Durham 051E,Investigation complete; no suspect identified
45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,2021-02,Durham Constabulary,Durham Constabulary,-1.61725,54.871249,On or near FRONT STREET,E01020617,County Durham 005D,Investigation complete; no suspect identified
0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,2021-02,Durham Constabulary,Durham Constabulary,-1.593587,54.628408,On or near RUSSELL COURT,E01020813,County Durham 060A,Investigation complete; no suspect identified
45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,2021-02,Durham Constabulary,Durham Constabulary,-1.575091,54.857153,On or near Supermarket,E01020618,County Durham 011B,Investigation complete; no suspect identified
d194c0a861566aa630406e8b16b2b660819c749b2a3f43fe05be66cfc1721023,2021-02,Durham Constabulary,Durham Constabulary,-1.548461,54.542028,On or near WENSLEYDALE ROAD,E01012350,Darlington 004B,Investigation complete; no suspect identified
6af06c88e6ef34ed8f5a68b85a3c682bf24091cf3e6dd4f1f029ad8a737badc3,2021-02,Durham Constabulary,Durham Constabulary,-1.651998,54.768018,On or near TUSCAN CLOSE,E01020715,County Durham 031C,Investigation complete; no suspect identified
d194c0a861566aa630406e8b16b2b660819c749b2a3f43fe05be66cfc1721023,2021-02,Durham Constabulary,Durham Constabulary,-1.859792,54.861544,On or near BACKSTONE ROAD,E01020813,County Durham 014A,Investigation complete; no suspect identified
170a4b880d1121bfc7fc5bb64e46555a12ce9710392c6c8dd96884c9a47f872a,2021-02,Durham Constabulary,Durham Constabulary,-1.677703,54.664572,On or near CLAYTON STREET,E01020786,County Durham 055A,Unable to prosecute suspect
45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,2021-02,Durham Constabulary,Durham Constabulary,-1.551273,54.540745,On or near MELLOR COURT,E01020595,Darlington 004A,Investigation complete; no suspect identified
6af06c88e6ef34ed8f5a68b85a3c682bf24091cf3e6dd4f1f029ad8a737badc3,2021-02,Durham Constabulary,Durham Constabulary,-1.560233,54.536805,On ro near BRINKBURN ROAD,E01012362,Darlington 007A,Unable to prosecute suspect
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.618167,54.818654,On or near LAVENDER GARDENS,E01012350,County Durham 019E,Unable to prosecute suspect
c71e28a54d0f49ee2811c12701e545fbba68af0c75fc5a872c0647ad3a5617b9,2021-02,Durham Constabulary,Durham Constabulay,-1.879649,54.732385,On or near LYDGATE AVENUE,E01020616,County Durham 042D,Investigation complete; no suspect identified
0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,2021-02,Durham Constabulary,Durham Constabulary,-1.556393,54.682818,On or near Petrol Station,E01020616,County Durham 049A,Offender given a caution
1d0755b6739916bea21f73d60b3264938cbdba97db6ef72ff3252f61bd47b3c3,221-02,Durham Constabulary,Durham Constabulary,-1.735731,54.819955,On or near PETHSIDE,E01020665,County Durham 020C,Investigation complete; no suspect identified
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.561938,54.661863,On or near ROSEWOOD,E01020805,County Durham 053D,Unable to prosecute suspect
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,202-02,Durham Constabulary,Durham Constabulary,-1.576365,54.85899,On or near SOUTH BURNS,E01020598,County Durham 007C,Suspect chargeda s part of another case
8f7a3ef063ac4a6b5b60c1f77c6f20e81851d3eb024f07d9f62358b05258027f,2021-02,Duhram Constabulary,Durham Constabulary,-1.576365,54.85899,On or near SOUTH BURNS,E01020715,County Durham 007C,Suspect charged
92fc9427f975de86d0035ff8e08780a5f5607fe4d032f8cb2fea78196c9b13ec,2021-02,Durham Constabulary,Durham Constabulary,-1.576365,54.85899,On or near SOUTH BURNS,E01020595,County Durham 007C,Suspect charged
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.362389,54.836156,On or near EASTLEA CRESCENT,E01020748,County Durham 018C,Further action is not in the public interest
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.589688,54.618635,On or near KIRKSTONE PLACE,E01020844,County Durham 061B,Unable to prosecute suspect
71c22af16e1643a6a3302b3d91ba376900195b9cae86369731cb3c0e6cf179a8,2021-02,Durham Constabulary,Durham Constabulary,-1.561746,54.525397,On or near DUKE STREET,E01020761,Darlington 008F,Investigation complete; no suspect identified
99666a5d7773f052d8a33dc9e2b0fb6655ee323d676a9c1086943ffbea3110a9,2021-02,Durham Constabulary,Durham Constabulary,-1.605574,54.857283,On or near POETS DRIVE,E01020618,County Durham 011F,Unable to prosecute suspect
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,2021-02,Durham Constabulary,Durham Constabulary,-1.429257,54.695955,On or near NEWLANDS ROAD,E01020786,County Durham 048A,Unable to prosecute suspect
8f7a3ef063ac4a6b5b60c1f77c6f20e81851d3eb024f07d9f62358b05258027f,202-02,Durham Constabulary,Durham Constabulary,-1.669858,54.653191,On or near HILTON ROAD,E01020595,County Durham 058B,Investigation complete; no suspect identified
a23b3617378e8ece1c09b4b000b3018b9d3b36ab826ca6e04d9d11f0d4aa119a,2021-02,Durham Constabulary,Durham Constabulary,-1.587823,54.725059,On or near FRONT STREET,E01020696,County Durham 018C,Investigation complete; no suspect identified
1e354a1e70f122645d189a8904b0f96c0ec1c07821e4d7c214bb970caa389886,2021-02,Durham Constabulary,Durham Constabulary,-1.525121,54.516695,On or near KILDLAE MOOR PLACE,E01020902,Darlington 013C,Investigation complete; no suspect identified
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.692374,54.711089,On or near Supermarket,E01020813,County Durham 051D,Suspect charged
a23b3617378e8ece1c09b4b000b3018b9d3b36ab826ca6e04d9d11f0d4aa119a,2021-02,Durham Constabulary,Durham Constabulary,-1.345826,54.849476,On or near B1287,E01033163,County Durham 016F,Investigation complete; no suspect identified
6af06c88e6ef34ed8f5a68b85a3c682bf24091cf3e6dd4f1f029ad8a737badc3,2021-02,Durham Constabulary,Durham Constabulary,-1.562228,54.59591,On or near THE WYND,E01020813,County Durham 063B,Unable to prosecute suspect
806400500837248480ca59ecf2429710ea21ae11d42e9a4b13a8c281e8a134eb,2021-02,Durham Constabulary,Durham Constabulary,-1.515147,54.534557,On or near MALLORY COURT,E01012327,County Durham 009B,Investigation complete; no suspect identified
ad1083fceda7733626d9f1d1460f199fd7fa8c488916817e91e729c843d9d836,2021-02,Durham Constabulary,Durham Constabulary,-1.431079,54.695416,On or near MEADOW ROAD,E01020809,County Durham 034B,Unable to prosecute suspect
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,2021-02,Durham Constabulary,Durham Constabulary,-1.692374,54.711089,On or near Supermarket,E01020901,County Durham 060A,Suspect charged
012df7c870c21d60b98b135cac7330c7deb53a43d87d033dfe86f29931d1526e,2021-02,Durham Constbaulary,Durham Constabulary,-1.562383,54.533748,On or near WIDDOWaFIELD STREET,E01020715,Darlington 008B,Investigation complete; no suspect identified
dc9e7945144defaebd718e064829fef412b9bfc6b4e3b83e7b474bf60bd08084,2021-02,Durham Constabulary,Durham Constabulary,-1.908401,54.549126,On or near HIGH RIGGS,E01020715,County Durham 066B,Investigation complete; no suspect identified
6af06c88e6ef34ed8f5a68b85a3c682bf24091cf3e6dd4f1f029ad8a737badc3,2021-02,Durham Constabulary,Durham Constabulary,-1.692374,54.711089,On or near Supermarket,E01020813,County Durham 051D,Suspect charged
0598d25ec211ff260c7bbd232cd5279a82e38cfcaeeb2d5d58dba1ab5e4a8611,20x21-02,Durham Constabulary,Durham Constabulary,-1.590854,54.794086,On or near TINDALE AVENUE,E01020708,County Durham 023A,Investiagtion complete; no suspect identified
c71e28a54d0f49ee2811c12701e545fbba68af0c75fc5a872c0647ad3a5617b9,2021-02,Durham Constabulary,Durham Constabulary,-1.691642,54.711455,On or near LYDIA STREET,E01020597,County Durham 051D,Investigation complete; no suspect identfied
561a932113e0b8368339ad0c238bd3abd5e22c287dcfc382c0834b0b2b9b823f,2021-02,urham Constabulary,Durham Constabulary,-1.312606,54.763299,On or near DENE STREET,E01020767,County Durham 036C,Further investigation is not in the public interest
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,2021-02,Durham onstabulary,Durham Constabulary,-1.334339,54.762899,On or near LITTLE EDEN,E01020757,County Durham 007B,Investigation complete; no suspect identified
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,2021-02,Durham Constabulary,Durham Constabulary,-1.553874,54.533205,On or nera MARBURN PLACE,E01012350,Darlington 008C,Investigation complete; no suspect identified
92fc9427f975de86d0035ff8e08780a5f5607fe4d032f8cb2fea78196c9b13ec,2021-02,Drham Constabulary,Durham Constabulary,-1.675335,54.660225,On or near FLINTOFF STREET,E01020761,County Durham 055A,Local resolution
45929c7c579ab088894380c1fcc0ee35a54d473c7ae9394692fa625917c3ff5e,2021-02,Durham Constabulary,Durham Constabulary,-1.734287,54.857371,On or near RAILWAY STREET,E01020761,County Durham 009B,Investigation complete; no suspect identified
9c2b7e2922346ca5dd938a24a93956687f90c5ab053be5ea25f4e6602185bfce,2021-02,Durham Constabulary,Durham Constabulary,-1.825636,54.856117,On or near ELMDALE ROAD,E01020761,County Durham 010C,Suspect charged
71c22af16e1643a6a3302b3d91ba376900195b9cae86369731cb3c0e6cf179a8,2021-02,Durham Constabulary,Durham Constabulary,-1.611973,54.706455,On or near HAZELMERE,E01020837,County Durham 016G,Investigation complete; no suspect identified
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,2021-02,Durham Constabulary,Durham Constabulary,-1.332928,54.760824,On or near Pedestrian Subway,E01020746,County Durham 037A,Investigation coxmplete; no suspect identified
c71e28a54d0f49ee2811c12701e545fbba68af0c75fc5a872c0647ad3a5617b9,2021-02,Durham Constabulary,Durham Constabulary,-1.416491,54.744378,On or near WOODLANDS AVENUE,E01020595,County Durham 040A,Investigation complete; no suspect identified
92fc9427f975de86d0035ff8e08780a5f5607fe4d032f8cb2fea78196c9b13ec,2021-02,Durham Constabulayr,Durham Constabulary,-1.835128,54.854728,On or near NEWMARKET STREET,E01020595,County Durham 010E,Unable to prosecute suspect
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.606708,54.873686,On or near ERNEST STREET,E01020615,County Durham 005B,Investigation complete; no suspect identified
9f503b73b5b3ba4f880de16fb82fdaac6f899a0ae1f3f997fa842680dad2e5c0,0221-02,Durham Constabulary,Durham Constabulary,-1.701887,54.639354,On or near PRIMROSE GARDENS,E01020715,County Durham 057E,Investigation complete; no suspect dientified
530991450cd0f08cd6b11ceb4df46266dcdf8d9831023c8aa6bfbe937f821938,2021-02,Durham Constabulary,Durham Constabulary,-1.5458,54.551994,On or near MAYFAIR ROAD,E01020597,Darlington 002E,nvestigation complete; no suspect identified
60e29b2bacd9a8305c77532dbaace04c94cb254cb3081c958a6953b4ece15b91,2021-02,Durham Constabulary,Durham Constabulary,-1.53928,54.522798,On or near LAWRENCE STREET***,E01012304,County Durham 021E,Further action is not in the public interest
