cell_id,table_id,column_id,row_number,column_name,old_value,new_value,error_type,source_table,source_row,source_column
50.3.1,50,3,1,date_type,,D,FD_VIOLATION,UK_CSV0000000000006632,1,date_type
50.8.4,50,8,4,projection,WSG84,WGS84,RANDOM_TYPO,UK_CSV0000000000006632,4,projection
50.1.5,50,1,5,species,Aglaophenia,Grantia compressa,FD_VIOLATION,UK_CSV0000000000006632,5,species
50.6.5,50,6,5,sample_comment,"Bryozoa has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. Algae on this steep bedrock was limited to a very narrow vertical band dominated by Plocamium cartilagineum amidst very large Laminaria hyperborea with many epiphytes. The overhangs had a cover of dead stalks with flocculent mud, scattered hydrozoa and bryozoa, Caryophyllia smithii and sponges. NOTE: Substratum % data are converted from the original substratum 1-3 scoring system.","The bedrock area in shallow water was dominated on the upward inclined surfaces bu Flustra foliacea with some Tubularia indivisa and Halichondria panicea. Vertical surfaces had large numbers of barnacles. The large and small boulders forming the scree away from the bedrock were characterised by encrusting sponges, and Pentapora foliacea and Echinus esculentus were numerous compared to other survey areas. NOTE: Substratum % data are converted from the original substratum 1-3 scoring system.",FD_VIOLATION,UK_CSV0000000000006632,5,sample_comment
50.9.5,50,9,5,start_date,1978-06-31,1978-06-13,FD_VIOLATION,UK_CSV0000000000006632,5,start_date
50.1.7,50,1,7,species,Aglaophenia,Callionymus lyra,FD_VIOLATION,UK_CSV0000000000006632,7,species
50.8.8,50,8,8,projection,GS84,WGS84,RANDOM_TYPO,UK_CSV0000000000006632,8,projection
50.1.9,50,1,9,species,Aglaophenia,Molgula manhattensis,FD_VIOLATION,UK_CSV0000000000006632,9,species
50.3.9,50,3,9,date_type,,D,FD_VIOLATION,UK_CSV0000000000006632,9,date_type
50.1.10,50,1,10,species,Aglaophenia,Chondria,FD_VIOLATION,UK_CSV0000000000006632,10,species
50.7.10,50,7,10,survey_key,JNCCMNCR100e00077,JNCCMNCR10000077,RANDOM_TYPO,UK_CSV0000000000006632,10,survey_key
50.0.12,50,0,12,questionnaire_title,1978-1979 SWBSS cNorth Devon Study,1978-1979 SWBSS North Devon Study,RANDOM_TYPO,UK_CSV0000000000006632,12,questionnaire_title
50.0.13,50,0,13,questionnaire_title,1978-1979 SWBSS North Devo nStudy,1978-1979 SWBSS North Devon Study,RANDOM_TYPO,UK_CSV0000000000006632,13,questionnaire_title
50.1.13,50,1,13,species,Ahnfeltia plicata,Caryophyllia (Caryophyllia) smithii,FD_VIOLATION,UK_CSV0000000000006632,13,species
