facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,92413.0,HOME TOWNE STUDIOS,4540 TAYLORSVILLE RD,LOUISVILLE,KY,40220,29,2013/01/28 00:00:00,54.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,92782.0,BAYMONT INN & SUITES LOUISVILLE SOUTH,6515 SIGNATURE DR,LOUISVILLE,KY,40213,27,2016/04/18 00:00:00,55.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,93917.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/19 00:00:00,56.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,93918.0,SLEEP INN,1850 PRIORITY WAY,LOUISVILLE,KY,40299,22,2013/09/19 00:00:00,57.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,94918.0,SLEEP INN & SUITES,3330 PRESTON HWY,LOUISVILLE,KY,40213,28,2014/09/29 00:00:00,58.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,95054.0,HOLIDAY INN,1325 S. HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,2014/07/16 00:00:00,59.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96457.0,CANDLEWOOD SUITES LOUISVILLE AIRPORT,1367 GARDINER LANE,LOUISVILLE,KY,40213,26,2014/11/14 00:00:00,60.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96487.0,HILTON GARDEN INN LOUISVILLE DOWNTOWN,350 W. CHESTNUT ST,LOUISVILLE,KY,40202,28,2014/10/29 00:00:00,61.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96651.0,HYATT PLACE LOUISVILLE EAST,701 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2015/02/26 00:00:00,62.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97063.0,COURTYARD BY MARRIOTT,100 S. 2ND ST.,LOUISVILLE,KY,40202,28,2015/03/26 00:00:00,63.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97087.0,HILTON GARDEN INN,1530 ALLIANT AVE,LOUISVILLE,KY,40299,22,2015/05/13 00:00:00,64.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97320.0,WOODSPRING SUITES,1201 KENTUCKY MILLS DR,JEFFERSONTOWN,KY,40299,22,2015/04/20 00:00:00,65.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97577.0,SUPER 8 MOTEL,4800 PRESTON HWY,LOUISVILLE,KY,40213,27,2015/08/07 00:00:00,66.0
