facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,198,SPLASH PAD,105081,METRO PARKS VICTORY PARK SPRAYGROUND,1051 S 23RD ST,LOUISVILLE,KY,40210,24,2019/09/11 00:00:00,486
695,SWIMMING AREA,191,SWIMMING POOL,105383,HAMPTON PLACE APARTMENTS,1549 W MADISON ST,LOUISVILLE,KY,40203,24,2018/06/14 00:00:00,487
695,SWIMMING AREA,191,SWIMMING POOL,105384,HALSEY FLATS,514 BRIGHTWOOD PLACE,LOUISVILLE,KY,40207,26,2018/06/12 00:00:00,488
695,SWIMMING AREA,191,SWIMMING POOL,105429,TOWNEPLACE SUITES,6601 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2019/01/31 00:00:00,489
695,SWIMMING AREA,191,SWIMMING POOL,105704,DONARD PARK CONDOMIUMS,801 DONARD PARK AVE,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,490
695,SWIMMING AREA,191,SWIMMING POOL,105753,POST OAK APARTMENTS,8000 POST OAK PLACE,LOUISVILLE,KY,40222,29,2018/08/01 00:00:00,491
695,SWIMMING AREA,198,SPLASH PAD,105994,METRO PARKS TYLER PARK SPRAY POOL,1501 CASTLEWOOD AVE,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,492
695,SWIMMING AREA,191,SWIMMING POOL,106106,THE POOL AT THE GROVE,6101 CHAMBERLAIN LANE,PROSPECT,KY,40059,21,2019/05/24 00:00:00,493
695,SWIMMING AREA,191,SWIMMING POOL,106142,FLATS AT SPRINGHURST,4201 SIMCOE LANE,LOUISVILLE,KY,40241,21,2020/06/23 00:00:00,494
695,SWIMMING AREA,191,SWIMMING POOL,106447,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT RD,PROSPECT,KY,40059,21,2019/04/30 00:00:00,495
695,SWIMMING AREA,191,SWIMMING POOL,106475,CENTURY BELMONT STATION,11950 VICTORY KNOLL CIRCLE,LOUISVILLE,KY,40243,22,2019/07/12 00:00:00,496
695,SWIMMING AREA,191,SWIMMING POOL,106640,SPRINGS AT LAGRANGE,10500 DRUMLINE DR,LOUISVILLE,KY,40223,25,2019/08/27 00:00:00,497
695,SWIMMING AREA,191,SWIMMING POOL,106641,EMBASSY SUITES,501 S 4TH ST,LOUISVILLE,KY,40202,24,2018/12/20 00:00:00,498
695,SWIMMING AREA,191,SWIMMING POOL,106664,PARK PLACE APARTMENTS,7500 CRANFILL WAY,LOUISVILLE,KY,40214,23,2019/07/03 00:00:00,499
695,SWIMMING AREA,191,SWIMMING POOL,106727,SURE STAY PLUS HOTEL,4125 PRESTON HWY,LOUISVILLE,KY,40213,28,1988/06/07 00:00:00,500
695,SWIMMING AREA,191,SWIMMING POOL,106739,CANDLEWOOD SUITES,1039 ZORN AVE,LOUISVILLE,KY,40207,28,2019/12/30 00:00:00,501
695,SWIMMING AREA,191,SWIMMING POOL,106854,HAVEN ON TUCKER #2,12601 CHARLES FARM CIRCLE,LOUISVILLE,KY,40299,22,1988/06/07 00:00:00,502
695,SWIMMING AREA,191,SWIMMING POOL,106855,HAVEN ON TUCKER #1,12601 CHARLES FARM CIRCLE,LOUISVILLE,KY,40299,22,1988/06/07 00:00:00,503
695,SWIMMING AREA,191,SWIMMING POOL,107641,JEFFERSON GREEN APARTMENTS,3010 JEFFERSON GREEN DR,LOUISVILLE,KY,40219,27,1988/06/07 00:00:00,504
695,SWIMMING AREA,191,SWIMMING POOL,108019,SOVA,11707 NANSEMOND,LOUISVILLE,KY,40245,21,2019/05/24 00:00:00,505
695,SWIMMING AREA,191,SWIMMING POOL,108107,ASHTON BROOK APARTMENTS,7805 OXTED LANE,LOUISVILLE,KY,40222,26,2019/06/03 00:00:00,506
695,SWIMMING AREA,191,SWIMMING POOL,108134,CAMBRIA HOTEL,120 S FLOYD ST,LOUISVILLE,KY,40202,28,1988/06/07 00:00:00,507
695,SWIMMING AREA,191,SWIMMING POOL,108274,COVINGTON BY THE LAKE,7321 JEFFERSON BLVD,LOUISVILLE,KY,40219,27,1988/06/07 00:00:00,508
695,SWIMMING AREA,191,SWIMMING POOL,108387,TRIFECTA APARTMENTS,2501 S 4TH ST,LOUISVILLE,KY,40208,23,2019/07/30 00:00:00,509
695,SWIMMING AREA,191,SWIMMING POOL,108428,MEREMONT AT LONG RUN,1550 LINCOLN HILL WAY,LOUISVILLE,KY,40207,25,1988/06/07 00:00:00,510
695,SWIMMING AREA,191,SWIMMING POOL,108933,THE FLATS ON 5TH LOUISVILLE,430 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40202,24,2019/08/08 00:00:00,511
695,SWIMMING AREA,191,SWIMMING POOL,108960,LA QUINTA INN & SUITES EAST,13825 TERRA VIEW TRAIL,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,512
695,SWIMMING AREA,191,SWIMMING POOL,109671,U OF L HEALTH - FRAZIER REHAB #2,220 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,24,2006/06/01 00:00:00,513
695,SWIMMING AREA,191,SWIMMING POOL,109672,U OF L HEALTH - FRAZIER REHAB #1,220 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,24,2006/06/01 00:00:00,514
695,SWIMMING AREA,191,SWIMMING POOL,109711,UPTON - OXMOOR APARTMENTS,7725 UPTON OXMOOR LANE,LOUISVILLE,KY,40222,26,1988/06/07 00:00:00,515
695,SWIMMING AREA,191,SWIMMING POOL,109728,AVOCA APARTMENT,1405 AVOCA RIDGE RD,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,516
695,SWIMMING AREA,191,SWIMMING POOL,109771,THE HARPER,292 STOKE ON TRENT,JEFFERSONTOWN,KY,40299,22,2020/06/30 00:00:00,517
695,SWIMMING AREA,191,SWIMMING POOL,109829,HYATT HOUSE LOUISVILLE EAST,9315 LEES GATE RD,LOUISVILLE,KY,40222,25,2020/09/21 00:00:00,518
