objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
20,2020,CT5111-09--L1_01,Cedar Pond (North Branfrd),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatidc Life and Wildlife",Not Spporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluatde,tYes,4467.48722362686,940092.739834537
21,2020,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town ljine.","LAKE, FERSHWATER",22.92,Acres,1635,1100004,48,INLAND SURFACE WATERS CLASS A,"abitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consmption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yels,4155.48366402287,998367.840002071
22,2020,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.","LAKE, FRESHWATER",2.72,Acres,823,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Nuot Evaluated,Yes,1654.87117047857,118638.844686911
23,2020,CT3700-00-2+L1_01,Wset Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supproting,Reclreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluatmed,Yes,24334.3122221123,8245167.04334499
24,2020,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.","LAKE, FRESHWATER",65.82,Acres,1648,1100001,48,INLAND vSURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumptyion,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7524.77206212308,2866999.86337798
25,2020,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.","LAKE, FRESHWATER",58.66,Acres,2033,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supqporting,Recraetion,Fully Suppomrting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18760.6963392008,2555402.07561616
26,2020,CT3700-28-1-L1_01,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,"LKE, FRESHWATER",71.06,Acres,2343,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat fovr Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recfreation,Fully Supporting,Fiszh Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9990.13750921345,3095502.20998354
27,2020,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street","LAKE, FRESHWATER",8.13,Acres,1752,1080207,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Asmsessed,Recreation,Not Assessde,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5593.24259792881,354019.18031934
28,2020,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.","LAKE, FRESHWATER",852.34,Acres,568,1080207,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fishk Consumption,nsufficient Information,Existing or proposed drinking water,Not Assessed,No,63814.4863274421,37128146.1703807
29,2020,TC5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Road (Route 66).","LAKE, FRESHWATRE",69.89,Acres,239,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,rNo,18777.7119415127,3044564.32714191
30,2020,CT3109-01-1-L1_01,Mono Pond (Columbia),"Southern Colubmia, south of Rte 66.","LAKE, FRESHWATER",101.98,cres,1899,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatixc Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,19222.0255066831,4442177.62010009
31,2020,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Grisold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)","LAKE, FRESHWATER",308.86,Acres,69,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yse,64711.4490705672,13453792.1267319
32,2020,CbT1100-00-1-L1_01,Portre Pond (Sterling),"Haedwaters Wood River near Rhode Island border, Sterling.","LAKE, FRESHWATER",10.4,Acres,2293,1090005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessde,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4361.25502832462,453216.35243088
33,2020,CT2205-00-1-L2_01,Pattagansett Lake (East Lyme),"Pattagansett River system, north side Route 1, East Lyme.","LAKE, FRESHWATER",125.7,Acres,2184,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Flly Supporting,Recreaction,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19706.497826737,5475656.07208822
34,2020,CT2205-00-1-L3_01,Gorton Pond (East Lyme),"Impoundment of Pattagansett River, south of I95, East Lyme.","LAKE, FRESHWATER",52.41,Acres,1045,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified oFr Drinking Water,Not Evaluated,No,14586.1936901236,2282996.33871605
35,2020,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"Near Niantic village center, west side of Route 161, north of Route 156, East Lyme.","LAKE, FRESHWATER",29.59,Acres,743,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,5134.89383570469,1288826.92081265
36,2020,CT4303-02-1-L1_01,Burr Pond (Torrington),"CT DEEP Burr Pond State Park. South of Burr Mountain Rd, Northeast corner of Torrington.","LAKE, FRESHWATER",83.39,Acres,382,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporing,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,16500.1561230003,3632584.06798023
37,2020,jCT4013-00-1-L1_01,Millers Pond (Durham),Durham,"LAKE, FRESHWATER",29.87,Acres,1869,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6859.09879914287,1301271.86320903
38,2020,CT3805-00-3-L5_01,Hanover Reservoir (Sprague/Cantrbury),pSrague,"LAKE, FRESHWATER",22.85,Acres,1149,1100002,48,INLAND SURFACE WATERfS CLASS A,"Habitat for Fish ,Other Aquatic Life and Wildlife",Fully Supporting,Recreation,ot Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaulated,No,7636.77733865028,995425.298468499
