objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
75,2020,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,"LAKE, FRESHWATER",565.31,Acres,3409,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,27835.1513328381,24624742.1440618
76,2020,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.","LAKE, FRESHWATER",147.62,Acres,3556,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17293.9645245026,6430413.23414667
77,2020,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,"LAKE, FRESHWATER",348.14,Acres,3555,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15376.5147310104,15165031.4594084
78,1261,CT6301-00-1-L1_01,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).","LAKE, FRESHWATER",167.5,Acres,3554,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14481.3305624685,7296355.4535811
79,2020,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,"LAKE, FRESHWATER",248.07,Acres,1550,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28598.1475973225,10805906.532606
80,2020,CT6301-00-2-L2_01,Mudge Pond (Sharon),Northwest Sharon.,"LAKE, FRESHWATER",211.17,Acres,1945,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15099.2556114172,9198649.64997093
81,2436,CT6905-00-1-L4_01,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,"LAKE, FRESHWATER",74.95,Acres,2165,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11072.9595260387,3264879.01088874
82,2020,CT7301-04-1-L2_01,Popes Pond (Wilton),Wilton,"LAKE, FRESHWATER",82.47,Acres,2287,1100006,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,15396.0742922076,3592354.91496195
83,2020,CT7200-00-3-L5_01,Saugatuck Reservoir (Weston/Easton/Redding),Weston,"LAKE, FRESHWATER",823.11,Acres,2517,1100006,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,79195.9020647076,35854367.9286546
84,2020,CT7407-00-3-L14_01,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,"LAKE, FRESHWATER",161.43,Acres,116,1100006,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,24958.4034650668,7031969.42379367
85,2020,CT6914-09-1-L2_01,Chestnut Hill Reservoir (Wolcott),"Near western border of Wolcott, north side of Lyman Road, west of Route 69.","LAKE, FRESHWATER",65.19,Acres,509,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8232.18249388803,2839713.45796688
86,2020,CT3600-00-3-L5_01,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd. Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.","LAKE, FRESHWATER",68.36,Acres,741,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11527.1199466044,2977778.72382308
87,2020,CT4304-05-2-L2_01,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.","LAKE, FRESHWATER",49.2,Acres,1540,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11433.1535747756,2142627.76042358
88,2020,CT2107-00-1-L1_01,Morgan Pond (Ledyard),"South side of Sandy Hollow Road, west Route 117 intersection, ledyard.","LAKE, FRESHWATER",146.22,Acres,1910,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,20844.8594446964,6369266.99869872
89,1238,CT6008-00-1-L1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,"LAKE, FRESHWATER",67.31,Acres,636,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7408.72177274746,2931950.27860726
90,2020,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,"LAKE, FRESHWATER",40.37,Acres,3463,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5484.33917802115,1758416.97078921
91,2644,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.","LAKE, FRESHWATER",93.52,Acres,2761,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17087.9883430974,4073698.59932615
