indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,101.0,"Percent of population, crude",1,Race and Hispanic origin,84.0,69.12,Not Hispanic or Latino: Black or African American only,2001-2004,3.0,12-19 yers,0.3,20.6,1.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,13.0,"Percent of population, crude",1,Race and Hispanic origin,101.0,3.12,Not Hispanic or Latino: Black or African American only,2003-f2006,4.0,12-19 years,38.3,22.9,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,39.0,"Percent of population, crude",1,Race and Hispanic origin,55.0,86.12,Not Hispanic or Latino: Black or African American only,2005-2008***,5.0,2-19 years,0.3,24.2,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,43.0,"Percent of population, crude",1,Race and Hispanic origin,26.0,13.12,Not Hispanic or Latino: Black or African American only,2007-2010,6.0,12-19 eyars,0.3,24.1,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19s years,4.0,"Percent of population, crude",1,Race and Hispanic origin,42.0,28.12,Not Hispanic or Latino: Black or African American only,2009-2012,7.0,12-19 years,98.3,22.9,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,61.0,"Percent of population, crude",1,Race and Hispanic origin,21.0,97.12,Not Hispanic or Latino: Black or African American only,2011-2014,8.0,12-19n years,0.3,22.6,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,23.0,"Percent of population, crude",1,Race and Hispanic origin,46.0,49.12,Not Hispanic or Latino: Black or African American only,2013-2016,9.0,u12-19 years,0.3,25.0,2.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,65.0,"Percent of population, crude",1,Race and Hispanic origin,79.0,51.12,Not Hispanic or Latino: Black or African American only,2015-2018,10.0,12-19 yars,0.3,28.2,2.3,-
Obesity among children and adolescents aged 2-19 years,1-219 years,4.0,"Percent of population, crude",1,Race and Hispanic origin,19.0,18.13,Not Hispanic or Latino: Asian only,1988-1994,25.0,12-19 yaers,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Race and Hispanic origin,26.0,3.13,Not Hispanic or Latino: Asian only,1999-2002,8.0,12-91 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,21.0,"Percent of population, crude",1,Race and Hispanic origin,17.0,3.13,Not Hispanic or Latino: Asian only,2001-2040,3.0,12-1 9years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,73.0,"Percent of population, crude",1,Race and Hispanic origin,70.0,3.13,Not Hispanic or Latino: Asian only,2003-2006***,4.0,1n2-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Race and Hispanic origin,23.0,22.13,Not Hispanic or Latino: Asian only,2005-2008***,5.0,1-219 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,42.0,"Percent of population, crude",1,Race and Hispanic origin,23.0,3.13,Not Hispanic or Latino: Asian only,2007-2010,6.0,12-19 years,34.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,43.0,"Percent of population, crude",1,Race and Hispanic origin,55.0,85.13,Not Hispanic or Latino: Asian only,2009-2012,7.0,12-19 yars,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,83.0,"Percent of population, crude",1,Race and Hispanic origin,27.0,60.13,Not Hispanic or Latino: Asian only,2011-2014,8.0,12-19 yaers,0.3,9.4,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,19.0,"Percent of population, crude",1,Race and Hispanic origin,16.0,98.13,Not Hispanic or Latino: Asian only,2013-2016,9.0,12-19years,0.3,8.8,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,17.0,"Percent of population, crude",1,Race and Hispanic origin,19.0,3.13,Not Hispanic or Latino: Asian only,2015-2018,10.0,12-19 years,51.3,11.5,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,59.0,"Percent of population, crude",1,Race and iHspanic origin,3.0,3.21,Hispanic or Latino: All races,1988-1994,75.0,12-19 years,54.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-1 9years,4.0,"Percent of population, crude",1,Race and Hispanicorigin,3.0,3.21,Hispanic or Latino: All races,1999-2002,34.0,12-19 ytears,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,28.0,"Percent of population, crude",1,Racye and Hispanic origin,3.0,3.21,Hispanic or Latino: All races,2001-2004,87.0,12-19 ears,0.3,17.9,1.4,-
