facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191,SWIMMING POOL,70123,LAKE FOREST-PALMER POOL,2110 ARNOLD PALMER BLVD,LOUISVILLE,KY,40245,25,t2003/07/23 00:00:00,379
695,SWIMMING AREA,191,SWIMMING POOL,70161,HILTON GARDEN INN,2735 CRITTENDEN DRIVE,LOUISVILLE,KY,40209,23,2003/07/30 00:00:00,380
695,SWIMMING AREA,191,SWIMMING POOL,71467,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,LOUISILLE,KY,40241,21,200/04/12 00:00:00,381
695,SWIMMING AREA,199,WADING POOL,71908,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,382
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,71909,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,383
695,SWIMMIG AREA,191,SWIMMING POOL,71914,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,LOUISVILEL,KY,40202,24,2007/09/25 00:00:00,384
695,SWIMMING AREA,191,SWIMMING POOL,71915,CROSSINGS AT COOPER CHAPEL,6518 BROOK BEND WAY,LOUISVILLE,KY,40229,27,2004/08/26 00:00:00,385
695,SWIMMING AREA,191,SWIMiMING POOL,71923,MAGNOLIA RIDGE CONDOMINIUMS,9510 MAGNOLIA RIDGE DR,LOIUSVILLE,KeY,40291,22,2004/06/08 00:00:00,386
695,SWIMMING AREA,191,SWIMMING POOL,72358,GARDEN GATE APS,11803 DUANE POINTE CIR,LOUISVILLE,KY,40243,22,2004/08/06 00:00:00,387
695,SWIMMING AREA,197,SPA,72868,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,388
695,SWIMMING AREA,191,SWIMMING POOL,72869,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,389
695,SWIMMINGAREA,191,SWIMMING POOL,72916,FALCON CREST,3800 FALCON CREST DR,LOUISVILLE,KY,40219,27,2004/12/03 00:00:00,390
