agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
66000,S. E. OKLA. ST. UNIV.,455,Student Union Rev Bonds 2003,"TITLE 70, SECTION 4001",2011,7,$0.00
66000,S. E. OKLA. ST. UNIV.,479,Capital Bond Projects,,2011,7,$0.00
66000,S. E. OKLA. ST. UNIV.,490,American Recov. & Reinv. Act,,2011,7,$0.00
66000,S. E. OKLA. ST. UNIV.,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$1634175.08
66000,S. E. OKLA. ST. UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$359095.27
66500,S. W. OKLA. ST. UNIV.,290,Ed & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$9241149.92
66500,S. W. OKLA. ST. UNIV.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$4765709.75
66500,S. W. OKLA. ST. UNIV.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$508897.12
66500,S. W. OKLA. ST. UNIV.,445,2003 Revenue Bond Construction,"TITLE 70, SECTION 4006",2011,7,$3.57
66500,S. W. OKLA. ST. UNIV.,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.02
66500,S. W. OKLA. ST. UNIV.,479,Capital Bond Projects,,2011,7,$0.00
66500,S. W. OKLA. ST. UNIV.,480,Sale Oil & Gas Leases Cap Imp,"TITLE 70, SECTION 4301",2011,7,$0.03
66500,S. W. OKLA. ST. UNIV.,490,American Recov. & Reinv. Act,,2011,7,$0.00
66500,S. W. OKLA. ST. UNIV.,600,Section 13-Const & Purch Bldg,"TITLE 70, SECTION 3904",2011,7,$2178132.77
66500,S. W. OKLA. ST. UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$1186157.04
67000,J.D. MCCARTY CENTER,202,JD McCarty Center for Children,"HB 2487, SECTION 18",2011,7,$0.00
67000,J.D. MCCARTY CENTER,210,Mccarty Ctr Handicapped Fund,"TITLE 63, SEC. 485.11",2011,7,$5950397.77
67000,J.D. MCCARTY CENTER,215,Gifts And Bequests Fund,"TITLE 63, SECTION 485.4",2011,7,$201155.29
67700,SUPREME COURT,200,Okla Court Inf Sys Rev Fund,"TITLE 20, SEC. 1315 B",2011,7,$20609811.95
67700,SUPREME COURT,205,Supreme Court Revolving Fund,"TITLE 20, SECTION 1310.1",2011,7,$322880.96
67700,SUPREME COURT,210,Supreme Court Admin. Rev. Fund,,2011,7,$74674.19
67700,SUPREME COURT,215,Law Library Revolving Fund,"TITLE 20, SECTION 1227",2011,7,$1192352.49
67700,SUPREME COURT,225,Legal Svcs Revolving Fund,TITLE 12 SEC. 921.1 (H),2011,7,$2.02
67700,SUPREME COURT,230,State Judicial Revolving Fund,"TITLE 20, SECTION 1310.2",2011,7,$355840.29
67700,SUPREME COURT,405,Federal Grant Funds,"TITLE 62, SEC 34.48",2011,7,$0.00
69500,OKLAHOMA TAX COMMISSION,200,Ok Tax Comm Revolving Fund,"TITLE 62, SEC 221",2011,7,$2849854.01
69500,OKLAHOMA TAX COMMISSION,205,Mass Appraisal Impl. Rev. Fund,"TITLE 62, SECTION 34.9",2011,7,$35861.55
69500,OKLAHOMA TAX COMMISSION,210,OTC & OSF Joint Computer Enhan,,2011,7,$20106534.09
69500,OKLAHOMA TAX COMMISSION,215,Okla.Tax Comm.Reimbursement Fd,"TITLE 68, SECTION 113, OKLAHOMA STATUTES",2011,7,$518488.79
69500,OKLAHOMA TAX COMMISSION,220,License Plate Special Program,,2011,7,$1260.00
69500,OKLAHOMA TAX COMMISSION,230,Used Tire Recycling Indemn Fnd,"TITLE 68, SEC. 27A 2-11-404",2011,7,$40852.00
69500,OKLAHOMA TAX COMMISSION,250,Ok Film Enhancement Rebate Pgm,"TITLE 68, SECTION 3625",2011,7,$1586773.50
69500,OKLAHOMA TAX COMMISSION,285,Ad Valorem Reimburemdnt Fund,"TITLE 62, SEC. 193",2011,7,$0.84
71500,TEACHERS RETIREMENT SYSTEM,200,Revolving Fund,"TITLE 62, SEC. 158",2011,7,$3658999.79
