facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191,SWIMMING POOL,77694,VILLAGE AT PRESTON CROSSINGS,9701 PRESTON SPRING DR,LOUISVILLE,KY,40229,27,207/02/23 00:00:00,1
695,SWIMMING AREA,191,SWIMMING POOL,90171,SHAKES RUN,19601 SHAKES CREEK DR,LOUISVILLE,KY,40243,22,2012/05/24 00:00:00,2
695,SWIMMINgG AREA,199,WADING POOL,29337,DOUGLASS HILLS SWIM CLUB,501 GATEHOUSE LN,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,3
695,SWIMMING AREA,191,SWIMMING POOL,29738,THE HARBOR CONDOMINIUM,6413 MARINA DR,LOUISVILLE,KY,40059,21,1990/09/17 00:00:00,4
695,SWIMMINGf AREA,191,SWIMMING POOL,77834,AUSTIN PARK,201 PHEASANT AVE,FAIRDALE,KY,40118,23,2007/03/29 00:00:00,5
695,SIMMING AREA,191,SWIMMING POOL,90715,NORTON COMMONS - BERGAMONT POOL,8921 COLTSFOOT TRACE,PROSPECT,KY,40059,21,2012/10/09 00:00:00,6
695,SWIMMING AREA,192,SWIMMIN / DIVING POOL,29338,DOUGLASS HILLS SWIM CLUB,501 GATEHOUSE LN,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,7
695,SWIMMING AREA,191,SWIMMING POOL,29742,AMERICAN TURNERS OF LOUISVILLE,3125 RIVER RD,LOUISVILLE,KY,40207,24,1988/06/23 00:00:00,8
695,SWIMMING AREA,197,SPA,77941,KORT,12613 TAYLORSVILLE RD SUITE 118,LOUISVILEL,KY,40299,22,2007/03/30 00:00:00,9
695,SWIMMING AREA,191,SWIMMING POOL,90786,THE PINES CONDOS,3721 BARDSTOWN RD,LOUISVILLE,KY,40218,27,2012/06/04 00:00:00,10
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29340,EP TOM SAWYER STATE PARK,3000 FREYS HILL RD,LOUISVILEL,KY,40241,21,1988/06/07 00:00:00,11
695,SWIMMING AREA,191,SWIMMING POOL,29747,CRESCENT SPRINGS CONDOMINIUM,408 EDGEVIEW PARK DRIVE,LqOUISVILLE,KY,40206,26,1990/08/2200:00:00,12
695,SWIMMING AREA,191,SWIMMING POOL,78036,OVERLOOK AT ST THOMAS,6800 STEEPRUN RD,LOUISVaILLE,KY,40241,21,2007/04/17 00:00:00,13
695,SWIMMING AREA,191,SWIMMING POOL,91385,PARK LAUREATE APARTMENTS,2050 STONYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/07/17 00:00:00,14
695,SWIMMIG AREA,191,SWIMMING POOL,29344,EAST HAMPTON CONDOS,10500 TIMBERWOOD CIRCLE,LOUISVILLE,KY,40223,29,1988/06/07 00:00:00,15
695,SWIMMING AREA,191,SWIMMING POOL,29748,WISTERIA LANDING CONDOMINIUMS,6301 WISTERIA VIEW LN,LOUISVILLE,KY,40218,27,1989/06/20 00:00:00,16
695,SWIMMING AREA,191,SWIMMING POOL,78169,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,LOUISVILLE,KY,40202,28,2007/05/17 00:00:00,17
695,SWIMMING AREA,191,SWIMMING POOL,91655,DISTRICT AT HURSTBOURNE,9811 VIEUX CARRE,LOUISVILLE,KY,40223,25,2013/05/21 00:00:00,18
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29350,ELKS CLUB,2824 KLONDIKE LN.,LOUIVILLE,KY,40218,27,1988/06/07 00:00:00,19
695,SWIMMING AREA,191,SWIMMING POOL,33308,WATERFORD PLACE,4105 WATERFORD CIR,LOUISVILLE,KY,40207,26,2005/06/29 00:00:00,20
695,SWIMMING AREA,191,SWIMMING POOL,78170,PINNACLE PLACE,4301 PINNACLE VIEW PLACE,LOUISVILLE,KY,40272,23,2007/05/03 00:00:0,21
695,SWIMMING AREA,191,SWIMMING POOL,91657,PARK LAUREATE APTS INDOOR,2050 STONYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/10/18 00:000:0,22
695,SWIMMING AREA,191,SWIMMING POOL***,29358,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,27,1988/06/07 00:00:00,23
695,SWIMMNG AREA,191,SWIMMING POOL,33311,WATERFORD PLACE,4105 WATERFORD CIR,LOUISVILLE,KY,40207,26,2005/06/29 00:00:00,24
695,SWIMMING AREA,199,WADING POOL,78256,AUDUBON COUNTRY CLUB,3265 ROBIN RD,LOISVILLE,KY,40213,28,2007/05/23 00:00:00,25
695,SWIMMING AREA***,191,SWIMMING POOL,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,LOUISVILLE,KY,40220,29,2012/11/26 00:00:00,26
695,SWIMMING AREA,191,SWIMMING POOL,29360,METRO PARKS FAIRDALE POOL,709 FAIRDALE ROAD,LOUISVILLE,KY,40118,23,1988/06/07 00:00:00,27
695,SWIMMING AREA,191,SWIMMING POOL,33318,CYPRESS POINTE #2,425 S. HUBBARDS LN,LOUISVILLE,KY,40207,26,1988/08/03 00v:00:00,28
695,SWIMMING AaREA,191,SWIMMING POOL,78380,WATERFRONT PARK PLACE,222 E WITHERSPOON ST,LOUISVILLE,KY,40202,24,2007/06/20 00:00:00,29
695,SWIMMING AREA,191,SWIMMING POOL,92579,U OF L - TRAINING POOL,2216 S FLOYD ST,LOUISVILLE,KY,40208,23,2013/06/30 00:00:00,30
695,SWIMMING AREA,191,SWIMMIkNG POOL,29369,STANDARD COUNTRY CLUB,8208 STANDARD CLUB LANE,LOUISVILLE,KY,40241,21,1988/08/03 00:00:00,31
695,SWIMMING AREA,191,SWIMMING POOL,33320,CYPRESS POINTE #1,425 S. HUBBARDS LN,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,32
