indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex,27.0,3.1,Male,1988-1994,19.0,6-11 years,0.2,11.6,1.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex,23.0,96.1,Male,1999-2002,93.0,6-11 years,0.2,16.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex,71.0,13.1,Male,2001-2004,3.0,6-11 years,0.2,18.7,1.4,-
Obesity among children and adolescents aged 2-19 years,-11 years,3.0,"Percent of population, crude",1,Sex,32.0,65.1,Male,2003-2006,4.0,6-11 years,0.2,18.0,1.7,-
Obesity among children and adolescents aged 2-19 years,v6-11 years,3.0,"Percent of population, crude",1,Sex,8.0,4.1,Male,2005-2080,5.0,6-11 years,65.2,18.7,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 yesars,77.0,"Percent of population, crude",1,Sex,55.0,10.1,Male,207-2010,6.0,6-11 years,0.2,20.7,0.9,-
Obesity among children and adolescents aged 2-19 years,6-11 yeacrs,3.0,"Percent of population, crude",1,Sex,16.0,7.1,Male,2009-2012,7.0,6-11 years,17.2,18.3,1.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years***,3.0,"Percent of population, crude",1,Sex,2.0,53.1,Male,2011-2014,8.0,6-11 years,88.2,17.6,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 yers,3.0,"Percent of population, crude",1,Sex,66.0,76.1,Male,2013-2016,9.0,6-11 years,92.2,19.6,1.6,-
Obesity among children and adolescents aged 2-19 years,-11 years,3.0,"Percent of population, crude",1,Sex,96.0,83.1,Male,2015-2018,10.0,6-11 years,31.2,20.9,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex,77.0,101.2,Female,1988-1994,23.0,6-11 years,69.2,11.0,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,3.0,"Percent of population, crude",1,Sex,17.0,31.2,Female,1999-2002,2.0,6-11 years,52.2,14.7,1.6,-
Obesity among children and adolescents aged 2-19 years,6-1 years,14.0,"Percent of population, crude",1,Sex,38.0,83.2,Female,2001u-2004,3.0,6-11 years,0.2,16.3,1.4,-
Obesity among children and adolescents aged 2-19 years,6-1x1 years,72.0,"Percent of population, crude",1,Sex,83.0,20.2,Female,200r3-2006,4.0,6-11 years,83.2,15.8,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 ears,3.0,"Percent of population, crude",1,Secx,1.0,78.2,Female,20052-008,5.0,6-11 years,59.2,16.0,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 yeoars,74.0,"Percent of population, crude",1,Sex,92.0,1.2,Female,2007-2010,6.0,6-11 years,67.2,16.9,1.1,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,33.0,"Percent of population, crude",1,Sex,47.0,79.2,Female,2009-2012,7.0,6-11 years,22.2,17.4,1.0,-
Obesity among children and adolescents aged 2-19 years,6-11y ears,3.0,"Percent of population, crude",1,Sex,29.0,82.2,Female,2011-2014,8.0,6-11 years,46.2,17.5,1.3,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3.0,"Percent of population, crude",1,Sex,46.0,1.2,Female,2013-2016,9.0,6-11 years,0.2,16.1,1.3,-
Obesity among children and adolescents aged 2-19 years,6-1 1years,3.0,"Percent of population, crude",1,Sex,16.0,27.2,Female,2015-2018,10.0,6-11 years,40.2,17.7,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 yars,3.0,"Percent of population, crude",1,Age,2.0,2.2,6-11 years,1988-1994,1.0,6-11 years,0.2,11.3,1.0,-
Obesity among children and adolescents aged 2-19 years,6-11 yzears,3.0,"Percent of population, crude",1,Age,49.0,59.2,6-11 years,199-2002,2.0,6-11 years,81.2,15.9,1.1,-
Obesity among children and adolescents aged 2-19 years,l6-11 years,3.0,"Percent of population, crude",1,Ae,2.0,2.2,6-11 years,2001-2004,11.0,6-11 years,32.2,17.5,1.1,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,103.0,"Percent of population, crude",1,Age,90.0,9.2,6-11 years,003-2006,4.0,6-11 years,42.2,17.0,1.3,-
Obesity among children and adolescents aged 2-19 years,6d-11 years,3.0,"Percent of population, crude",1,Auge,5.0,2.2,6-11 years,200-2008,5.0,6-11 years,8.2,17.4,1.2,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3.0,"Percent of population, crude",1,ge,2.0,2.2,6-11 years,207-2010,6.0,6-11 years,7.2,18.8,0.7,-
Obesity among children and adolescents aged 2-19 years,6-11y ears,33.0,"Percent of population, crude",1,Age,85.0,2.2,6-11 years,2009-2012,7.0,6-11 years,57.2,17.9,0.9,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3.0,"Percent of population, crude",1,Age,82.0,2.2,6-11 years,2011-2014,8.0,6-11 years,35.2,17.5,1.2,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,3.0,"Percent of population, crude",1,Age,64.0,2.2,6-11 years,2013-2016,9.0,6-11 years,58.2,17.9,1.2,-
