agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
30000,STATE AUDITOR AND INSPECTOR,490,Armerican Recov. & Reinv. Act,,2011,7,$0.00
30500,GOVERNOR,225,Grants & Donations Fund,"TITLE 60, SEC. 383",2011,7,$.000
30500,GOVERNOR,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$258241.29
30600,PARDON AND PAROLE BOARD,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
30700,INTERSTATE OIL COMPACT COMM.,230,Interst Oil Comp Fund Of Ok,"TITLE 52, SEC. 207",2011,7,$1245106.69
30700,INTERSTATE OIL COMPACT COMM.,426,Oil uSetlmt Fund-Stripper Well,"TITLE 62, SEC 7.5",2011,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,200,OSBI Revolving Fund,"TITLE 74, SEC. 150.19 A",2011,7,$3408114.07
30800,STATE BUREAU OF INVESTIGATION,210,Automated Fngrprt Id Sys. Fd.,"TITLE 74, SEC. 150.25",2011,7,$1795573.74
30800,STATE BUREAU OF INVESTIGATION,215,Firearms Laboratory Improvemnt,"TITLE 74, SECTION 150.32",2011,7,$.00
30800,STATE BUREAU OF INVESTIGATION,220,Forensic Science Impr Rev Fund,"TITLE 74, SECTION 150.35",2011,7,$472385.50
30800,STATE BUREAU OF INVESTIGATION,230,Ok Crim Justice Res Rev Fund,,2011,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,400,Federal bGrant Funds,"TITLE 62, SEC. 34.48",2011,7,$615.19
30800,STATE BUREAU OF INVESTIGATION,490,American Recov. & Reinv. Act,,2011,7,$2.32
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,200,Disaster Relief Matching Fund,"TITLE 63, SEC. 683.24",2011,7,$645182.37
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,320,Individual & Family Grants,"TITLE 62, SECTION 34.9",2011,7,$0.0o0
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,400,Spec Fed Matching Fund,"TITLE 63, SEC. 683.17",2011,7,$322601.96
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,410,US DOT Matching Funds - Cem,"TITLE 27A, SEC 4-2-102 AND TITLE 62, CH 1, SEC 34.9 AND 34.48",2011,7,$0.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,424,St Emerg Fund: Disatser Match,"TITLE 62, SEC. 139.47",2011,7,$175231.20
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,425,Odd Federal Year: CCA Oper,"TITLE 63, SEC. 683.17",2011,7,$353523.22
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,440,Even Federal Year: Oper,"ITLE 63, SEC. 683.17",2011,7,$155664.63
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,470,Fed Disaster Assist Fed Funds,"TITLE 63, SEC. 683.17",2011,7,$9087.96
31000,STATE FIRE MARHSAL,200,State Fire Marshal Revolvg Fnd,"TITLE 74, SEC. 324.20B",2011,7,$686467.72
31000,STATE FIRE MARSHAL,210,Firefighter Training Rev Fund,,2011,7,$94472.08
31000,STATE FIRE MRASHAL,400,Homeland Security Federal Fund,,2011,7,$-49.15
31500,FIREFIGHTERS PENS. & RET. SYST.,200,Firefigthters Pens & Ret Fund,"TITLE 11, SEC. 49-122.1",2011,7,$490195.37
32000,DEPARTMENT OF WILDLIFE CONSERVATION,200,Wildlife Conservation Fund,"TITLE 29, SEC. 3-302",2011,7,$1133224.98
32000,DEPARTMENT OF WILDLIFE CONSERVATION,205,Wildlife Diversity Fund,"TITLE 29, SEC. 3-310",2011,7,$759320.02
32000,DEPARTMENT OF WILDLIFE CONSERVATION,210,Wildlife Land Acquisition Fund,"lTITLE 29, SEC. 4-132",2011,7,$2680517.26
32000,DEPARTMENT OF WILDLIFE CONSERVATION,215,Wildlife Heritage Fund,"TITLE 29, SEC. 4-134",2011,7,$2185064.45
32000,DEPARTMENT OF WILDLIFE CONSERVATION,220,Wildlife Land Fund,TITLE 29 SEC 4-141,2011,7,$4724547.58
32600,OFFICE OF DISABILITY CONCERNS,200,Office Of Handicapped Concerns,"TITLE 74, SEC. 9.33",2011,7,$15.66
32600,OFFICE OF DISABILITY CONCERNS,400,Client Assistance Fed Fnuds,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$19.423
34000,STATE DEPARTMENT OF HEALTH,200,Primary Hlth Care Dvlpment Rev,,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,202,Kidney Health Revolving Fund,"TITLE 63, SEC. 1-2603",2011,7,$625107.75
34000,STATE DEPARTMENT OF HEALTH,203,Genetic Counseling Licen. Rev,"TITLE 63, SECTION 1-570",2011,7,$6328.50
34000,STATE DEPARTMENT OF HEALTH,205,Plumbing Licene Law Rev Fund,"TITLE 59, SEC. 1018",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,207,Alternatives to Abortion Servi,"TITLE 63, SECTION 1-740.12",2011,7,$87154.83
34000,STATE DEPARTMENT OF HEALTH,210,Public Health Special Fund,"TITLE 63, SEC. 1-107",2011,7,$5937443.88
34000,TATE DEPARTMENT OF HEALTH,211,Nursing Facil Adm Penalty,"TITLE 63, SECTION 1-108.1B",2011,7,$199014.58
34000,STATE DEPARTMENT OF HEALTH,212,Home Health Care Revolving Fd,"TITLE 63, SEC. 1-1971",2011,7,$268392.87
34000,STATE DEPARTMENT OF HEALTH,215,Okla Inspectors Revlving Fund,"TITLE 59, SEC. 1042",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,217,Home Inspec Lic Act Revol Fund,"TITLE 59, SECTION 858-662",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,218,Fire Extinguisher Ind Rev Fund,***,2011,7,$43719.89
34000,STATE DEPARTMENT OF HEALTH,222,Oklahoma Organ Donor Education,"TITLE 63, SECTION 2220.3",2011,7,$369200.15
34000,STATE DEPARTMENT OF HEALTH,225,Breast Cancer Ac Revolving Fd,"TITLE 63, SECTION 1-557",2011,7,1$50765.12
34000,STATE EDPARTMENT OF HEALTH,228,OK Leukemia and Lymphoma,"TITLE 68, SECTION 2368.15",2011,7,$41220.00
34000,STATE DEPARTMENT OF HEALTH,229,MS Society Revolving Fund,,2011,7,$4489.00
34000,STATE DEPARTMENT OF HEALTH,230,Lic Marital & Fam Therpst Fnd,"TITLE 59, SECTION 1925.17",2011,7,$192413.m67
34000,STATE DEPARTMENT OF HEALTH,233,"OK Prev Birth Def, Pre Birth &","ITLE 47, SECTION 1104.14",2011,7,$92.00
34000,STATE DEPARTMENT OF HEALTH,236,Trauma Care Assistance Revolv,"TITLE 63, SETION 1-2530.9",2011,7,$18353286.24
34000,STATE DEPARTMENT OF HEALTH,245,Electrical Revolving Fund,"TITLE 59, SEC. 1694",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,250,Regional Guidance Centers,"TITLE 63, SEC. 1-208.1 (B)",2011,7,$2640.98
