agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
47700.0,"OSU-TECHNICAL BRANCH, OKMULGEE",418,District Atty. Council,"TITLE 62, SEC. 34.48",2012,3,$41153.57
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,490,American Recov. & Reinv. Act,,2012,3,$0.00
1200.0,N. E. OKLA. A & M COLLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$663636.69
1000.0,N. E. OKLA. A & M COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$469961.84
1000.0,N. E. OKLA. A & M COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$451971.55
1000.0,N. E. OKLA. A & M COLLEGE,479,Capital Bond Projects,,2012,3,$6717.05
6500.0,N. E. OKLA. A & M COLLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
1100.0,NORTHEASTERN STATE UNIVERSITY,290,Educ & Gen Oper Revolv Funds,"TITLE 70, SEC. 3901",2012,3,$8272464.18
48500.0,NORTHEASTERN STATE UNIVERSITY,291,Northeastern State University,"TITLE 62, SECTION 7.5",2012,3,$16479408.33
1300.0,NORTHEASTERN STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 62, SEC. 4.8",2012,3,$10606432.82
9000.0,NORTHEASTERN STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$749117.99
1200.0,NORTHEASTERN STATE UNIVERSITY,450,MASTER LEASE PURCHASE FUND,"TITLE 70, SECTION 3206.6",2012,3,$0.00
48500.0,NORTEASTERN STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
700.0,NORTHEASTERN STATE UNIVERSITY,475,Rev Bond Fd/Cap Improvements,"TITLE 70, SEC 4001",2012,3,$856.26
1000.0,NORTHEASTERN STATE UNIVERSITY,479,Capital Bond Projects,,2012,3,$99991.25
1000.0,NORTHEASTERN STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
1000.0,NORTHEASTERN STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$3927020.97
3000.0,NORTHEASTERN STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$2309429.61
49000.0,NORTHERN OKLAHOMA COLLEGE,290,Education & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$8487345.21
1000.0,NORTHERN OKLAHOMA COLLEGE,295,Capital Improvement Revolv Fun,"TITLE 70, SEC. 3901",2012,3,$350000.00
1000.0,NORTHERN OKLAHOMA COLLEGE,340,Bond Transfer Fund,"TITLE 62, SECTION 7.5",2012,3,$0.00
1000.0,NORTHERN OKLAHOMA COLLEGE,400,Cimmaron Broadband Project,"TITLE 62, SECTION 41.8",2012,3,$0.00
2000.0,NORTHERN OKLAHOMA COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$16144.56
1000.0,NORTHERN OKLAHOMA COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.20
1300.0,NORTHERN OKLAHOMA COLLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
1000.0,NORTHERN OKLAHOMA COLLEGE,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1166622.47
49000.0,NORHERN OKLAHOMA COLLEGE,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$2041735.21
1000.0,NORTHWESTERN OKLA. STATE UNIVERSITY,290,Educ & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2012,3,$3623847.47
4900.0,NORTHWESTERN OKLA. STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$33280.05
1000.0,NORTHWESTERN OKLA. STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$376283.60
10500.0,NORTHWESTERN OKLA. STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
1000.0,NORTHWESTERN OKLA. STATE UNIVERSITY,479,Capital Bond Projects,,2012,3,$0.00
1000.0,NORTHWESTERN OKLA. STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
