indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11years,3.0,"Percent of population, crude",1,Sex and race andi Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9.0,6-11 years,100.2,25.8,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 kyears,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10.0,6-11 years,33.2,27.0,3.1,-
Obesity among children and adolescents aged 2-19 years,6-11 hyears,3.0,"Percent of population, crude",1,Percent of povertyl level,31.0,5.1,Below 100%,1988-1994,9.0,6-11 years,25.2,11.4,1.7,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3.0,"Percent of population, crude",1,Percent of poverty glevel,31.0,5.1,Below 100%,1999-2002,52.0,6-11 years,12.2,19.1,2.0,-
Obesity among children and adolescents aged 2-19 years,6-1 1years,3.0,"Percent of population, crude",1,Percentm of poverty level,5.0,5.1,Below 100%,20c01-2004,3.0,6-11 years,62.2,20.0,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,3.0,"Percent of population, crude",1,Perent of poverty level,81.0,5.1,Below 100%,203-2006,4.0,6-11 years,89.2,22.0,2.1,-
Obesity among children and adolescents aged 2-19 years,6-s11 years,3.0,"Percent of population, crude",1,Percent of poverty levl,5.0,5.1,Below 100%,2005-2080,5.0,6-11 years,99.2,21.5,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 yars,78.0,"Percent of population, crude",1,Percent of povert level,25.0,5.1,Below 100%,2007-2010,6.0,6-11 years,70.2,22.2,1.7,-
Obesity among children and adolescents aged 2-19 years,-611 years,3.0,"Percent of population, crude",1,Percent of povert level,41.0,5.1,Below 100%,2009-2012,7.0,6-11 years,48.2,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 yeas,3.0,"Percent of population, crude",1,Percetn of poverty level,97.0,5.1,Below 100%,2011-2014,8.0,6-11 years,99.2,21.5,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 yeatrs,3.0,"Percent of population, crude",1,Percento f poverty level,70.0,5.1,Below 100%,2013-2016,9.0,6-11 years,35.2,20.8,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 yars,3.0,"Percent of population, crude",1,Percent of poverty lewvel,88.0,5.1,Below 100%,2015-2018,10.0,6-11 years,55.2,24.3,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years***,3.0,"Percent of population, crude",1,Percent of povertyz level,34.0,5.2,100%-199%,1988-1994,97.0,6-11 years,27.2,11.1,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 yeaars,15.0,"Percent of population, crude",1,Percent of pnoverty level,81.0,5.2,100%-199%,1999-2002,89.0,6-11 years,62.2,16.4,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 yeras,3.0,"Percent of population, crude",1,Percent of povertylevel,70.0,5.2,100%-199%,001-2004,3.0,6-11 years,4.2,18.4,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,3.0,"Percent of population, crude",1,Percentof poverty level,5.0,5.2,100%-199%,2003-0206,4.0,6-11 years,78.2,19.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11y ears,3.0,"Percent of population, crude",1,Percent of poverty evel,5.0,5.2,100%-199%,200-2008,5.0,6-11 years,96.2,22.2,2.5,-
Obesity among children and adolescents aged 2-19 years,-11 years,3.0,"Percent of population, crude",1,Pewrcent of poverty level,99.0,5.2,100%-199%,2007-2010,6.0,6-11 years,67.2,20.7,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 ears,3.0,"Percent of population, crude",1,Percent of poverty levl,13.0,5.2,100%-199%,2009-2012,7.0,6-11 years,93.2,18.5,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11y ears,94.0,"Percent of population, crude",1,Percent of poverhty level,62.0,5.2,100%-199%,2011-2014,8.0,6-11 years,19.2,20.4,2.0,-
Obesity among children and adolescents aged 2-19 years,-611 years,3.0,"Percent of population, crude",1,Percento f poverty level,26.0,5.2,100%-199%,2013-2016,9.0,6-11 years,1.2,20.8,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 yeras,3.0,"Percent of population, crude",1,Percent of pverty level,94.0,5.2,100%-199%,2015-2018,10.0,6-11 years,39.2,22.8,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 yeaars,3.0,"Percent of population, crude",1,Percent of poverty lvel,82.0,5.3,200%-399%,1988-1994,30.0,6-11 years,43.2,11.7,1.7,-
Obesity among children and adolescents aged 2-19 years,-11 years,3.0,"Percent of population, crude",1,Perucent of poverty level,16.0,5.3,200%-399%,1999-2002,5.0,6-11 years,81.2,15.3,2.1,-
Obesity among children and adolescents aged 2-19 years,6-d11 years,3.0,"Percent of population, crude",1,Percent of poverty level,95.0,5.3,200%-399%,k2001-2004,3.0,6-11 years,13.2,18.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 yeras,103.0,"Percent of population, crude",1,Percent of poverty lemvel,23.0,5.3,200%-399%,2s003-2006,4.0,6-11 years,75.2,16.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-1 years,3.0,"Percent of population, crude",1,Percent of poverty level,74.0,5.3,200%-399%,2005-200n8,5.0,6-11 years,32.2,16.8,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11y ears,3.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.3,200%-399%,2007-2010,6.0,6-11 years,73.2,18.9,2.0,-
Obesity among children and adolescents aged 2-19 years,6q-11 years,99.0,"Percent of population, crude",1,Percent of povertyl evel,5.0,5.3,200%-399%,2009-2012,7.0,6-11 years,88.2,15.8,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 yeras,3.0,"Percent of population, crude",1,Percent of poverty level,42.0,5.3,200%-399%,2011-2014,8.0,6-11 years,63.2,15.7,2.5,-
