agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,479,Capital Bond Projects,,2012,3,$0.00
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,490,ARRA,,1735,3,$825298.31
77500,OSU MEDICAL AUTHORITY,290,OSU Med. Auth. Disbursing Fund,,2012,3,$6373962.75
79000,BD. OF VETERINARY MED. EXAM.,200,Vet Medical Examiners Fund,"TITLE 59, SEC. 698.28",2012,3,$408495.72
79000,BD. OF VETERINARY MED. EXAM.,210,Comm Pet Breeders Enforcemt Fd,,2012,2,$869.68
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,200,State Vocational-Tech Fund,"TITLE 70, SEC. 14-105",2012,3,$3504961.03
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,205,Ok Telecom Tech Training Fund,"TITLE 17, SEC 139.109",2012,3,$0.00
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,215,OK Career Tech AG Rev Fund,"TITLE 47, SECTION 1104.7",2012,3,$525.00
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.64 E",2012,3,$0.00
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,430,Agency Relationship Fund-Fed,"TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 14-103",2012,3,$243982.43
80000,OKLA. CAREER AND TECHNOLOGY EDUCATION,490,American Recov. & Reinv. Act,,2012,2,$174345.11
80500,DEPARTMENT OF REHABILITATION SERVICES,205,Sch for Blind/Deaf Rev Fund,"TITLE 68, SEC 2368.3",2012,3,$21661.17
80500,DEPARTMENT OF REHABILITATION SERVICES,212,Ok Schl For The Blind Rev Fund,"TITLE 62, SEC. 34.9",2012,3,$79760.41
80500,DEPARTMENT OF REHABILITATION SERVICES,213,Ok Scl For The Deaf Rev Fund,"TITLE 62, SEC. 34.9",2012,3,$299857.03
80500,DEPARTMENT OF REHABILITATION SERVICES,216,Rehab Services - Donation Fund,"TITLE 62, SEC. 34.9",2012,3,$619900.95
80500,DEPARTMENT OF REHABILITATION SERVICES,218,Interpreter Certification Fund,"TITLE 62, SEC. 34.9 & TITLE 56 SEC. 199.2,C",2012,3,$32802.98
80500,DEPARTMENT OF REHABILITATION SERVICES,235,Telecom For Hearing Impair Fd,"TITLE 63, SEC. 2418 C",2012,3,$489713.67
80500,DEPARTMENT OF REHABILITATION SERVICES,340,Drs Medical & Assistance Fund,"TITLE 62, SECTION 34.9",2223,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,350,Rehab Services Disb Fund,"TITLE 74, SEC. 166.7",2012,2,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,351,Rehab Services Disbursing Fund,,2012,3,$4543700.65
80500,DEPARTMENT OF REHABILITATION SERVICES,352,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2012,3,$7466744.18
80500,DEPARTMENT OF REHABILITATION SERVICES,353,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2551,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,354,Fy 04 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2012,3,$970.00
80500,DEPARTMENT OF REHABILITATION SERVICES,355,FY05 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2012,2,$-66.95
80500,DEPARTMENT OF REHABILITATION SERVICES,356,FY06 Rehab Services Disb Fund,,2012,3,$209.84
80500,DEPARTMENT OF REHABILITATION SERVICES,357,FY07 Rehab Services Disb Fund,,2012,3,$1144.90
80500,DEPARTMENT OF REHABILITATION SERVICES,358,FY08 Rehab Services Disb Fund,,2012,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,380,Education Lottery Fund,TITLE,2012,3,$2171.09
80500,DEPARTMENT OF REHABILITATION SERVICES,410,Rehab Services - Federal Fund,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",1646,1,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,491,FY11 Surplus Property Fund,,2012,3,$16.97
80500,DEPARTMENT OF REHABILITATION SERVICES,492,FY12 Surplus Property Fund,"TITLE 74, SECTION 62.5",2012,3,$9042.47
80500,DEPARTMENT OF REHABILITATION SERVICES,496,Surplus Property Fund,,2012,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,497,Surplus Property Fund,,2012,3,$0.00
80500,DEPARTMENT OF REHABILITATION SERVICES,499,FY09 Surplus Property Fund,,2026,1,$0.97
80700,HEALTH CARE AUTHORITY,200,Ok Health Care Auth Revolving,"TITLE 63, SEC. 5016",1249,1,$23151387.34
80700,HEALTH CARE AUTHORITY,205,Supp Hospital Offset Pymt Prg,,2012,3,$16795162.32
80700,HEALTH CARE AUTHORITY,230,Nursing Fac Quality Of Care Fd,"TITLE 56, SECTION 2002, G",2012,3,$17626.40
80700,HEALTH CARE AUTHORITY,240,OHCA Federal Disallowance Fund,"TITLE 63, SECTION 5017",2012,3,$22949778.88
