facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,197,SPA,89549,MIRALEA,320 JOE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,325
695,SWIMMING AREA,191,SWIMMING POOL,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,29,1988/06/22 00:00:00,326
695,SWIMMING AREA,191,SWIMMING POOL,62499,SWAN POINTE POOL,1112 SWAN POINTE BLVD,LOUISVILLE,KY,40243,22,2005/07/20 00:00:00,327
695,SWIMMING AREA,191,SWIMMING POOL,89550,MIRALEA,320 JOE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,328
695,SWIMMING AREA,191,SWIMMING POOL,29715,STONEMILL VILLAGE / OUTDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,26,1988/06/23 00:00:00,329
695,SWIMMING AREA,191,SWIMMING POOL,29716,SPINDLEWICK CONDO,810 WASHBURN AVE,LOUISVILLE,KY,40206,26,1988/06/23 00:00:00,330
695,SWIMMING AREA,191,SWIMMING POOL,29724,STATION HOUSE SQUARE APTS,1509 S 6TH STREET,LOUISVILLE,KY,40208,23,1988/06/23 00:00:00,331
695,SWIMMING AREA,195,WATERSLIDE,89964,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,332
695,SWIMMING AREA,191,SWIMMING POOL,62700,CEDAR RIDGE CAMP & RETREAT CNT,4010 ROUTT RD,LOUISVILLE,KY,40299,22,2005/06/22 00:00:00,333
695,SWIMMING AREA,197,SPA,89965,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,334
695,SWIMMING AREA,191,SWIMMING POOL,64085,"CAMBRIDGE COMMONS SWIM POOL C/O CMA, LLC",11101 CAMBRIDGE COMMONS DR.,LOUISVILLE,KY,40291,22,2005/08/19 00:00:00,335
695,SWIMMING AREA,191,SWIMMING POOL,89966,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,336
695,SWIMMING AREA,191,SWIMMING POOL,64148,DEER CREEK PATIO HOMES,4101 LANDHERR DR,LOUISVILLE,KY,40299,22,2000/06/05 00:00:00,337
695,SWIMMING AREA,191,SWIMMING POOL,64173,COOPER FARMS,10500 LEVEN BLVD.,LOUISVILLE,KY,40229,27,2005/07/22 00:00:00,338
695,SWIMMING AREA,191,SWIMMING POOL,64195,HAMPTON INN,4100 HAMPTON LAKE WAY,LOUISVILLE,KY,40241,21,2005/08/08 00:00:00,339
695,SWIMMING AREA,191,SWIMMING POOL,64209,COPPERSHIRE CONDOMINIUMS,646 BIRCHWOOD AVE,LOUISVILLE,KY,40206,26,2005/05/27 00:00:00,340
695,SWIMMING AREA,191,SWIMMING POOL,64213,BROOKRIDGE VILLAGE,9510 RIDGESIDE DR,LOUISVILLE,KY,40291,22,2005/07/18 00:00:00,341
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,64231,WOODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/23 00:00:00,342
695,SWIMMING AREA,199,WADING POOL,64232,WOODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/29 00:00:00,343
695,SWIMMING AREA,191,SWIMMING POOL,64284,RESIDENCE INN - LOUISVILLE AIRPORT,700 PHILLIPS LN,LOUISVILLE,KY,40209,28,2005/07/19 00:00:00,344
695,SWIMMING AREA,191,SWIMMING POOL,64288,JEFFERSON TRACE HOA INC,11330 JEFFERSON TRACE BLVD,LOUISVILLE,KY,40291,22,2005/07/18 00:00:00,345
695,SWIMMING AREA,191,SWIMMING POOL,64340,RESERVE AT GLENMARY ATTN: JIM BRYAN,10719 PROVIDENCE DR,LOUISVILLE,KY,40291,22,2005/08/18 00:00:00,346
695,SWIMMING AREA,197,SPA,64504,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/07/25 00:00:00,347
695,SWIMMING AREA,191,SWIMMING POOL,64505,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/07/25 00:00:00,348
695,SWIMMING AREA,199,WADING POOL,64575,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,29,2005/05/27 00:00:00,349
695,SWIMMING AREA,191,SWIMMING POOL,64696,VILLAGES OF PARK DUVALLE II,1804 RUSSELL LEE DRIVE,LOUISVILLE,KY,40211,24,2000/09/07 00:00:00,350
695,SWIMMING AREA,191,SWIMMING POOL,64893,BAPTIST MILESTONE THERAPY,750 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2000/10/18 00:00:00,351
695,SWIMMING AREA,197,SPA,64902,BAPTIST MILESTONE SPA,750 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2000/10/18 00:00:00,352
695,SWIMMING AREA,191,SWIMMING POOL,64951,BAPTIST MILESTONE LAP,750 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2000/10/29 00:00:00,353
695,SWIMMING AREA,191,SWIMMING POOL,65165,INDIAN FALLS,9420 RIVER TRAIL DR,LOUISVILLE,KY,40229,27,2000/12/07 00:00:00,354
695,SWIMMING AREA,199,WADING POOL,65166,INDIAN FALLS,9420 RIVER TRAIL DR,LOUISVILLE,KY,40229,27,2000/12/07 00:00:00,355
695,SWIMMING AREA,191,SWIMMING POOL,65220,RESIDENCE INN,3500 SPRINGHURST COMMONS DR,LOUISVILLE,KY,40241,21,2007/09/20 00:00:00,356
695,SWIMMING AREA,191,SWIMMING POOL,66007,COBBLESTONE CONDOMINIUMS,10001 GLASGOW BLVD,LOUISVILLE,KY,40241,21,2001/05/23 00:00:00,357
695,SWIMMING AREA,191,SWIMMING POOL,66008,TERRACES AT FOREST SPRINGS,3501 TERRACE SPRING DR,LOUISVILLE,KY,40245,25,2001/05/23 00:00:00,358
695,SWIMMING AREA,191,SWIMMING POOL,66022,HUNTER'S RUN APARTMENTS,5629 FOX HORN CIRCLE,LOUISVILLE,KY,40216,23,2001/05/30 00:00:00,359
695,SWIMMING AREA,191,SWIMMING POOL,66059,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2001/04/17 00:00:00,360
695,SWIMMING AREA,191,SWIMMING POOL,66118,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2001/06/27 00:00:00,361
695,SWIMMING AREA,197,SPA,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2005/12/08 00:00:00,362
695,SWIMMING AREA,191,SWIMMING POOL,66132,RENAISSANCE AT ST. ANDREWS,3311 RENWOOD BLVD,LOUISVILLE,KY,40214,23,2005/08/05 00:00:00,363
695,SWIMMING AREA,191,SWIMMING POOL,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,LOUISVILLE,KY,40209,27,2001/08/24 00:00:00,364
695,SWIMMING AREA,191,SWIMMING POOL,66533,SPRINGHILL SUITES,10101 FOREST GREEN BLVD,LOUISVILLE,KY,40223,25,2001/08/31 00:00:00,365
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,66874,COPPERFIELD NEIGHBORHOOD ASSOC,406 WICKFIELD DR,LOUISVILLE,KY,40245,25,2001/11/07 00:00:00,366
695,SWIMMING AREA,199,WADING POOL,66875,COPPERFIELD NEIGHBORHOOD ASSOC,406 WICKFIELD DR,LOUISVILLE,KY,40245,25,2001/11/07 00:00:00,367
695,SWIMMING AREA,191,SWIMMING POOL,66973,ALL ABOUT KIDS,2531 BLANKENBAKER PKWY,LOUISVILLE,KY,40299,22,2001/11/28 00:00:00,368
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,67054,LANDIS LAKES,14600 LANDIS LAKES DR,LOUISVILLE,KY,40245,25,2002/01/31 00:00:00,369
695,SWIMMING AREA,191,SWIMMING POOL,67213,EAST LOUISVILLE EMBASSY SUITES,9940 CORPORATE CAMPUS DR,LOUISVILLE,KY,40245,25,2002/01/31 00:00:00,370
695,SWIMMING AREA,191,SWIMMING POOL,67919,CROWNE AT SUMMIT APARTMENTS,4301 CROWNE SPRINGS DR,LOUISVILLE,KY,40241,21,2002/06/12 00:00:00,371
695,SWIMMING AREA,191,SWIMMING POOL,67920,HURSTBOURNE SPRINGS CONDOS,3310 HURSTBOURNE SPRINGS DR,LOUISVILLE,KY,40220,29,2002/06/11 00:00:00,372
695,SWIMMING AREA,191,SWIMMING POOL,68338,RIVER POINTE POOL,6300 RIVER POINTE DR,LOUISVILLE,KY,40258,23,2002/08/23 00:00:00,373
695,SWIMMING AREA,191,SWIMMING POOL,69692,TROON AT LANDIS LAKES,14433 TROON DR,LOUISVILLE,KY,40245,25,2003/06/27 00:00:00,374
695,SWIMMING AREA,191,SWIMMING POOL,69695,ASBURY PARK,4600 HARBOLD CT,LOUISVILLE,KY,40241,21,2003/11/20 00:00:00,375
695,SWIMMING AREA,191,SWIMMING POOL,69696,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2003/09/15 00:00:00,376
695,SWIMMING AREA,191,SWIMMING POOL,69896,SUMMIT PLACE APARTMENTS,5201 EAGLES PEAK WAY,LOUISVILLE,KY,40241,21,2004/04/27 00:00:00,377
695,SWIMMING AREA,199,WADING POOL,70122,LAKE FOREST- PALMER POOL,2110 ARNOLD PALMER BLVD,LOUISVILLE,KY,40245,25,2003/07/23 00:00:00,378
