facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,197,SPA,89549,MIRALEA,320 OJE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,325
695,SWIMMING AREA,191,SWIMMING POOL,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,LOtUISVILLE,KY,40222,29,1988/06/22 00:00:00,326
695,SWIMMING AREA,191,SWIMMING POOL,62499,SWAN POINTE POOL,1112 SWAN POINTE BLVD,LOUISVILLE,Y,40243,22,2005/07/20 00:00:00,327
695,SWIMMING AREA,191,SWIMMING POOL,89550,MIRALEA,320 JOE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,328
695,SWIMMING AREA,191,SWIMMING POOL,29715,STONEMILL VILLAGE / OUTDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,26,1988/06/23 00:00:00,329
695,SWIMMING AREA,191,SWIMMING POOL,29716,SPINDLEWICK CONDO,810 WASHBURN AVE,LOUISVILLE,KY,40206,26,1988/06/23 00:00:00,330
695,SWIMMING AREA,191,SWIMMING POOL,29724,STATION HOUSE SQUAREu APTS,1509 S 6TH STREET,LOUISVILLE,KY,40208,23,1988/06/23 00:00:00,331
695,SWIMMING AREA,195,WATERSLIDE,89964,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:0000,332
695,SWIMMING AREA,191,SWIMMING POOL,62700,CEDAR RIDGE CAP & RETREAT CNT,4010 ROUTT RD,LOUISVILLE,bKY,40299,22,2005/06/22 00:00:00,333
695,SWIMMING AREA,197,SPA,89965,YMCA NORTON COMMONS,11000 BROWNSBORO RD***,PROSPECT,KY,40059,21,2013/01/17 00:00:00,334
695,SWIMMING AREA,191,SWIMMING POOL,64085,"CAMBRIDGE COMMONS SWIM POOL C/O CMA, LLC",11101 CAMBRIDGE COMMONS DR.,LOUISVILLE,KY,40291,22,0205/08/19 00:00:00,335
695,SWInMMING AREA,191,SWIMMING POOL,89966,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,336
695,SWIMMING AREA,191,SWIMIMNG POOL,64148,DEER CREEK PATIO HOMES,4101 LANDHERR DR,OLUISVILLE,KY,40299,22,2000v/06/05 00:00:00,337
695,SWIMMING AREA,191,SWIMMINGu POOL,64173,COyOPER FARMS,10500 LEEVN BLVD.,LOUISVILLE,KY,40229,27,2005/07/22 00:00:00,338
695,SWIMMING AREA,191,SWIMMING POOL,64195,HAMTPON INN,1400 HAMPTON LAKE WAY,LOUISVILLE,KY,40241,21,2005/08/08 00:00:00,339
695,SWIMMING AREA,191,SWIMMING POOL,64209,COPPERSHIRE CONDOMINIUMS,646 BIRCHWOOD AVE,LOUISVILLE,KY,40206,26,2005/05/27 00:00:00,340
695,SWIMMING AREA,191,SWIMMING POOL,64213,BROOKRIDGE VILLAGE,9510 RIDGESIDE DR,LOUISVILLE,KY,40291,22,2005/07/18 00:00:00,341
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,64231,WODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/23 00:00:00,342
695,SWIMMING AREA,199,WADING POOL,64232,OODMONT,4120 WOODMONT PARK LN,LOUISVILLE,KY,40245,25,2003/09/29 00:00:00,343
695,SWIMMING AREA,191,SWIMMING POOL,64284,RESIDENCE INN - LOUISVILLE AIRPORT,700 PHILLIPS LN,LOUISVILLE,YK,40209,28,2005/07/19 00:00:00,344
695,SWIMMING AREA,191,SWIMMING POOL,64288,JEFFERSON TRACE HOA INC,11330 JEFFERSON TRACE BLVD,LOUISVILLE,Y,40291,22,2005/07/18 00:00:00,345
695,SWIMMING AREA,191,SWIMMING POOL,64340,RESERVE AT GLENMARY ATTN: JIM BRYAN,0719 PROVIDENCE DR,LOUISVILLE,KY,40291,22,2005/0/818 00:00:00,346
695,SWIMMING AREA,197,SPA,64504,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILLE,KY,40299,22,2000/07/25 00:00:00,347
