objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
104,2008,CT-W3_003,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Grover Hill, Fayerweather Island, Seaside Beach area), out to 50 ft contour, Bridgeport. Odd shape due to 50 ft contour.",6.05886735,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,168911527.666931,64565.8310752736
105,2008,CT-C2_006,"LIS CB Shore - Madison Beaches (East), Madison","See Map for Boundaries. Central portion of LIS from West Warf to Webster Point area (includes West Warf and East Warf Beaches, Tuxis Island, and tidal Fence Creek ), out approximately 1000 ft offshore, Madison.",0.39865693,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11113917.585083,36611.9739565693
106,2253,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",0.33956885,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,9466636.36508179,28337.3321483221
110,2008,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries. Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",0.42960112,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11976592.0657959,52719.3630005509
111,2164,CT-W3_008-I,"LIS WB Midshore - Norwalk Islands, Norwalk","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Norton Point to Seymour Point, includes all Norwalk Islands area), out to line just beyond Sheffield Island to Cockenoe Island, Norwalk.",5.94025141,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,165604705.085602,144644.657657928
112,2008,CT-E1_028-SB,"LIS EB Inner - Leiutenant River, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Leiutenant River from Route 156 crossing, US to saltwater limit adjacent to Longacre Lane, Old Lyme.",0.104656,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,2917641.93951416,34788.936712761
113,2008,CT-W2_004,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS from Shoal Point to tip of Fayerweather Island (includes Penfield Beach, Jennings Beach, Ash Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.40748912,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11360144.7259216,25131.5384830323
114,2008,CT-W2_005,"LIS WB Shore - Pine Creek Point, Fairfield","See Map for Boundaries. Western portion of LIS from Pine Creek Point area to Shoal Point (includes South Pine Creek Beach, Pine Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.36977409,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10308710.2252808,22728.213908892
116,2008,CT-W3_009,"LIS WB Midshore - Outer Fivemile R Estuary, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (outer Scott Cove near Fish Islands to Norton Point area), out to 50 ft contour, Darien.",2.45318694,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,68390926.9485474,37578.6496338257
117,2008,CT-W2_025,"LIS WB Shore - Byram Harbor (West), Greenwich","See Map for Boundaries. Western portion of LIS from NY/CT border at Byram River to just west of Shore Island (includes mouth of Byram River, Byram Point) out approximately 1000 ft offshore, Greenwich.",0.24386398,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6798537.8565979,15988.2271261987
