objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
171,2008,CT-C3_011,LIS CB Midshore - East Haven,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven and Branford Harbors out to 50 ft contour, East Haven.",8.15236955,Not Supporting,Not Assessed,Fully Supporting,Not Suppotring Harvesting for Direct Consumption,227275019.495605,102225.020796099
172,2008,CT-C_006,"LIS CB Midshore - Outer Guilford Harbor, Guilford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Guilford Harbor), out to 50 ft contour, Guilford.",8.36436235,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,233185039.502441,71762.5629233234
173,2008,CT-3C_018,"LIS CB Midshore - Fort Trumbull, Milford","See Map for Boundaries. Central portion of LIS from approximately b1000 ft offshore (Silver Sands State Park area, water beyond Island), out to 50 ft contour, Milford.",11.31111947,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,315335913.110474,79956.7441267246
174,2008,CT-E3_005-SB,"LIS EB Midshore - Waterford, Thames River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary, approximately 1000 ft offshore of Magonk Point, Waterford to BushyPoint, Groton, out to SB/SA water quality boundary (Thames River mouth).",5.25617347,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Cuommercial Harvesting where Authorized,146533706.575806,76086.9683477393
175,2008,CT-C3_015-SB,"LIS CB Midshore - New Haven Harbor, New Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (West Shore to Morgan Point), from Sandy Point out to segments CT-C3_013/014, outer New Haven Harbor, West Haven/New Haven.",4.56066698,Not Supporting,Not Assesesd,Fully Supporting,Fully Supporting Commercial Harvesting whee Authorized,127144098.595276,58465.9078673957
176,2008,CT-W_3014,"LIS WB Midshore - Outer Captain Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from Connecticut New York state line just beyond Great Captain Island to east of Wee Captain Island, out to 50 ft contour, Greenwich.",2.00650769,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,55938224.1283264,31574.7271153236
177,2008,CT-C3_013-BS,"LIS CB Midshore - New Haven Harbor, East Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (South End, Morgan Point), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, East Haven.",6.05142806,Nogt Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,168704132.15332,54179.7350316218
178,2008,CT-C3_014-SB,"LIS CB Midshore - New Haven Harbor, West Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Morningside to West Shore), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, Milford/West Haven.",7.96138937,Not Supporting,Not Assessled,Faully Supporting,Fully Supporting Commercial Harvesting where Authorized,221950797.418213,69000.5834546197
179,2008,CT-E3_004,"LIS EB Midshore - Groton, Thames River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary out to 50 ft contour offshore of Goshen Point, Waterford, to approximately 1000 ft offshore, Groton Long Point, out to CT/NY State line.",6.73835391,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,187854525.838013,81868.1818406068
181,2008,CT-E1_014-SB,"LIS EB Inner - Thames River (Mouth), New London","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, mouth of Thames River from Eastern Point (North of Avery Point), US to I95 crossing (Includes Inner New London Harbor), Groton.",1.99402211,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,55590146.2477417,77299.9908390296
182,2008,CT-E1_031-SB,"LIS EB Inner - Connecticut River (upper), Chester","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from area just above Brockway Island, US to saltwater limit just above Chapman Pond inlet (adjacent to Gillette Castle State Park), East Haddam.",2.12967157,Not Assessed,Not Assessed,Not Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",59371835.9403687,199013.731952209
183,2008,CT-W3_007,"LIS WB Midshore - Offshore Norwalk Islands,Norwalk","See Map for Boundaries. Western portion of LIS from line just beyond cluster of Norwalk Islands (Sheffield Island to Cockenoe Island area), out to 50 ft contour, Norwalk.",5.6634308,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,157887389.460938,72857.8609507351
184,2008,CT-C2_008,"LIS CB Shore - Guilford Harbor, Guilford","See Map for Boundaries. Central portion of LIS from Mulberry Point to Hogshead Point area (includes Jacobs Beach, Guilford Point), out approximately 1000 ft offshore, Guilford.",0.48054118,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13396719.3609619,30583.7935872889
185,2008,CT-C2_009,"LIS CB Shore - Indian Covoe, Guilford","See Map for Boundaries. Central portion of LIS from Sachem Head to Mulberry Point area (includes Vineyard Point), out approximately 1000 ft offshore, Guilford.",0.43141409,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,12027134.5786133,27051.9571772897
186,2008,CT-W3_103,"LIS WB Midshore - Outer Cos Cob Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Bush Island to Greenwich Point area), out to 50 ft contour, Greenwich.",2.37802183,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,66295443.8293152,51319.5460961997
187,2008,CT-C2_010,"LIS CB Shore - Joshua Cove & Island Bay, Guilford","See Map for Boundaries. Central portion of LIS from Clark Point to Sachem Head area (includes Horse and FoskettI slands), out approximately 1000 ft offshore, Guilford.",0.73751323,Not Assessed,oNt Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20560688.9050903,46255.5490127436
188,2008,CT-W2_012,"LIS WB Shore - Outer Norwalk Harbor(East), Norwalk","See Map for Boundaries. Western portion of LIS from midpoint of outer Norwalk Harbor to just west of Canfield Island area (includes Calf Pasture Beach, Shady Beach, Calf Pasture Point) out approximately 1000 ft offshore, Norwalk.",0.25774644,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,7185558.58453369,16017.9391515436
189,2008,CT-W2_006,"LIS WB Shore - Southport Harbor (East), Fairfield","See Map for Boundaries. Western portion of LIS from inner Southport Harbor outlet to Pine Creek Point area (includes Sasco Beach, Kense Point) out approximately 1000 ft offshore, Fairfeild.",0.18297959,No Assessed,Fully Supporting,Fullby Supporting,Not Supporting Harvesting for Direct Consumption,5101178.27435303,12244.9801408303
