agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
58000,DEPARTMENT OF CENTRAL SERVICES,445,Payroll Trust Fund,"TITLE 62, SEC. 34.96",2012,3,$1909599.4v9
58000,DEPARTMENT OF CENTRAL SERVICES,490,American Recov. & Reinv. Act,,2012,3,$79489.67
58000,DEPARTMENT OF CENTRAL SERVICES,494,Saleis Fund Surplus,"TITLE 74, SECTION 62.5A",2012,3,$0.00
58200,STATE BOND ADVISOR,285,Bond Oversight Revolving Fund,"TITLE 62, SECTION 695.8A",2012,3,$739206.87
58500,DEPARTMENT OF PUBLIC SAFETY,200,Dept Of Public Safety Rev Fund,"TITLE 47, SEC. 2-144.1 & 6-117 I",2012,3,$7344737.04
58500,DEPARTMENT OF PUBLIC SAFETY,210,Patrol Vehicle Remvolving Fund,"TITLE 47, SECTION 2-143",2012,3,$3924234.97
58500,DEPARTMENT OF PUBLIC SAFETY,215,Asset Forfeiture Funds Fed,"ITTLE 63, SEC. 2-503E",2012,3,$6935246.25
58500,DEPARTMENT OF PUBLIC SAFETY,220,Asset Forfeiture Funds State,,2012,3,$3960403.51
58500,DEPARTMENT OF PUBLIC SAFqETY,225,Computer Imaging System Revolv,"TITLE 47, SECTION 2-142",2012,3,$193055.02
58500,DEPARTMENT OF PUBLIC SAFETY,230,BoatingS afety Education Fund,TITLE 63 SECTION 4236,2012,3,$1754.25
58500,DEPARTMENT OF PUBLIC SAFETY,235,OK Homeland Sevcurity Rev Fund,TITLE 74 SEC. 51.2,2012,3,$281609.14
58500,DEPARTMENT OF PUBLIC SAFETY,240,"Motorcycle Safety, Ed Prg Revl",TITLE 47 SEC. 40-123,2012,3,$323779.25
58500,DEPARTMENT OF PUBLIC SAFETY,245,DPS Restricted Revolving Fund,TITLE 47 SEC. 2-145,2012,3,$6100076.56
58500,DEPARTMENT OF PUBLIC SAFETY,250,DPS Patrol Academy Revolv. Fnd,TILE 47 SEC. 2-146,2012,3,$89851.57
58500,EPARTMENT OF PUBLIC SAFETY,405,Federal Matching Fund,"TITLE 62, SEC. 34.48",2012,3,$2886321.55
58500,DEPARTMENT OF PUBLIC SAFETY,424,State Emergency Fund,"TITLE 63, SEC.683.17",2012,3,$0.81
58500,DEPARTMENT fOF PUBLIC SAFETY,490,American Recov. & Reinv. Act,,2012,3,$0.00
58800,OKLA. REAL ESTATE COMM.,200,Revolving Fund,"TITLE 59, SEC. 858-205",2012,3,$1842472.78
58800,OKLA. REAL ESTATE COMM.,210,Okla R.E. Educ. & Recov. Fund,"TITLE 59, SEC. 858-601",2012,3,$309404.97
60500,REGENTS FOR HIGHER EDUCATION,200,Ardmore Higher Ed.Revolv.Fd.,"RPEALED BY LAWS 2005, SB 64",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATION,201,Idabel Higher Ed Revolv. Fund,"TITLE 70, SEC. 4426",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATeION,204,Offices of Accountability,"TITLE 70, SECTION 3-117",2012,3,$406107.80
60500,REGENTS FOR HIGHER EDUCATION,205,Tech Educ Federal Funds,"TITLE 70, SEC. 3206 I",2012,3,$1052840.54
60500,REGENTS FOR HIGHER EDUCATION,210,Ok St Reg Higher Ed Rev Fund,"TITLE 70 ,SEC. 3205 B",2012,3,$33876100.64
60500,REGENTS FOR HIGHER EDUCATION,216,Summer Academies Revol Fund,"OK SESSION LAWS 1989 CHAPTER 372 SECTION 1,",2012,3,823686.61
60500,REGENTS FOR HIGHER EDUCATION,235,Ok Tuitiocn Aid Grts Rev Fund,"TITLE 70, SECTION 3955",2012,3,$1308889.35
60500,REGENTS FOR HIGHER EDUCATIOgN,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$000
60500,REGENTS FOR HIGHER EDUCATION,296,Tobacco Tax Revolving Fund,"TITLE 68, SEC. 402-3",2012,3,$1068313.42
60500,REGENTS FOR HIGzHER EDUCATION,297,Higher Educ Capital Revl Fund,"TITLE 62, SEC. 34.91",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATION,298,Okla Tuition Schlrshp zRev Fnd,"TITLE 62, SEC. 34.9a2",2012,3,0$.00
60500,REGENTS FOR HIGHER EDUCATION,299,HigherE d Facilities Rev Fund,"TITLE 74, SEC. 110.4",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATION,406,St Student Incentive Grant,"TITLE 70, SEvC. 3206 I",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATION,430,Fed Funds Suppor System Activ,"TITLE 70, SEC. 3206 I",2012,3,$479.08
60500,REGENTS FOR HIGHER EDUCATIN,431,Congressional Teacher Scholsps,"TITLE 70, SEC. 3206 I",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUtCATION,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2012,3,$4881536.04
60500,REGENTS FOR HIGHER EDUCATION,920,Higher Learning Access Trust,"TITLE 70, SECTION 3953.1",2012,3,$21575965.47
60600,ARDMORE HIzGHER EDUCATION CENTER,290,Educational & Gen Operations,,2012,3,$331672.41
60600,ARDMORE HIGHER EDUCvATION CENTER,295,Capitl Improvements Rev Fund,,2012,3,$883031.78
60600,ARDMORE HIGHER EDUCATION CENTER,479,Capitail Bond Projects,,2012,3,$0.00
61000,REGIONAL UNIVERSITY SYSTEM OF OKLAHOMA,200,Regents Ok Colleges Sp Fund,"TITLE 70, SEC. 3901",2012,3,$29696v8.27
61500,ST. BD. OF REGIST. FORESTERS,200,Prof. Foresters Fund,"TITLE 62, SEC. 155",2012,3,$11429.94
61900,PHYSICAIN MANPOWER TRNG. COMM.,205,Comm Res/Match Revol Fund,"TITLE 70, SEC. 697.8",2012,3,$49999.3
61900,PHYSICIAN MANPOWER TRNG. COMM.,210,Phys Manpower Comm Rev Fund,"TITLE 70, SEC. 625.4 A",2012,3,$428646.39
61900,PHYSICIAN MANPOWER TRNG. COMM.,215,Phys Asst Scholarship Rev Fund,"TILTE 70, SEC. 697.11",2012,3,$74254.89
61900,PHYSICIAN MANPOWER TRNG. COMM.,220,Residency Revolving Fund,"TITLE 70, SEC. 697.10",2012,3,$158957.87
61900,PHYSICIAN MANPOWER TRNG. COMM.,400,Federal Funds-State Loan Repay,"TITLE 62, SEC. 34.48, 34.9",2012,3,$0.00
61900,PHYSICIAN MANPOWER TRNG. COMM.,450,Nurs Student Assistance Fund,"TITLE 70, SEC. 697.17 D",2012,3,$60255.29
61900,PHYSICIAN MANPOWER TRNGo. COMM.,490,American Recov. & Reinv. Act,"TITLE 62 SEC. 34.48, 34.9",2012,3,$0.02
62000,QUARTZ MOUNTAIN CENTER & PARK,290,Edu & General Oper Rev Fund,"TITLE 70, SECTION 3901",2012,3,$387948.32
62000,QUARTZ MOUNTAIN CENTER & PARK,295,Capital Improvements Rev Fund,"TITLE 70, SECTION 3901",2012,3,$12112.53
62000,QUARTZ MOUNTAIN CENTER & PARK,479,Capital Bond Projets,"TITLE 62, SEC. 34.48, 34.9",2012,3,$0.00
62200,OK. ST. BD. OF LIC. SOCIAL WORKERS,200,Lic Social Workers Revol Fund,"TITLE 59, SEC. 1263",2012,3,$239234.94
62300,SEMINOLE STATE COLLEGE,290,Ed & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2012,3,$939340.28
62300,SEMINOLE STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$413750.86
62300,SEMINOLE STATE COLLEGE,296,Cap Impvmnts Out Of Court Sett,"TITLE 62, SEC. 7.p5",2012,3,$0.00
62300,SEMINOLE STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$649.40
62300,SEMINOLE STATE COLLEGE,454,2002 Bonds,"TITLE 70, SECTION 4001",2012,3,$0.00
62300,SEMINOLE STATE COLLEGE,479,Capital Bond Projects,,2012,3,$0.00
62300,SEMINOLE STATE COLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
