indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,013-2016,9,6-1 1years,0.2,25.8,2.5,-
Obesity among children and adolescents aged 2-19 years,-611 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino Mexican: All races,2015-2018,10,6-11 yeras,0.2,27.0,3.1,y-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1988-1994,1,6-11 years,0.2,11.4,1.7,-
Obesity among children and adolescents aged 2-19 yaers,6-11 years,3,"Percent of population, crude",1,Percetn of poverty level,5,5.1,Below 100%,1999-2002,2,6-11 years,0.2,19.1,2.0,***
Obesity among children and adolescents aged 2-19 years,6-1 years,3,"Percent of population, crude",1,Precent of poverty level,5,5.1,Beow 100%,20012004,3,6-11 years,0.2,20.0,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 yeras,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,6-11 years,0.2,22.0,2.1,-
Oebsity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2005-2008,5,6-1 1years,0.2,21.5,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 yars,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2007-2010,6,d6-11 years,0.2,22.2,1.7,
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,6-11 years,0.2,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,6-1 1years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 10a0%,2011-2014,8,6-11y ears,0.2,21.5,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2016,9,6-11 years,0.2,20.8,1.6,***
Obesity among children and adolescents aged 2-19 years,6-11years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,6-11 years,0.2,24.3,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1988-1994***,1,6-11 years,0.2,11.1,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Pecent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,6-11 years,0.2,16.4,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2001-204,3,6-11 years,0.2,18.4,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-99%,2003-2006,4,6-11 years,0.2,19.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 yehars,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2005-2008,5,6-1 years,0.2,22.2,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percnet of population, crude",1,Percent of poverty level,5,5.2,100%-1o99%,2007-2010,6,6-11 years,0.2,20.7,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11u years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,10h0%-199%,2009-2012,7,6-11 yeasr,0.2,18.5,1.7,o-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,6-11 ears,0.2,20.4,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2013-2016,9,6-11 years,0.2,20.8,1.9,-
Obesity among childen and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2018,10,6-11 yeyars,0.2,22.8,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of popuxlation, crude",1,Percent of pvoerty level,5,5.3,200%-399%***,1988-1994,1,6-11 years,0.2,11.7,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%***,1999-2002,2,6-11 years,0.2,15.3,2.1,
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percet of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-2f004,3,6-11 years,0.2,18.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of porpulation, crude",1,Percnt of poverty level,5,5.3,200%-399%,003-2006,4,6-11 yearxs,0.2,16.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-11years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,205-2008,5,6-11 years,0.2,16.8,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 ears,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2007-2010,6,6-11 years,0.2,18.9,2.0,
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,6-11 years,0.2,15.8,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,8,6-11 years,0.2,15.7,2.5,-
Obesity among children and adolescents aged 2-19 years,611 years,3,"Percent of oppulation, crude",1,Percent of poverty level,5,5.3,200%-399%,2031-2016,9,-11 years,0.2,17.1,2.0,
Obesity among children and adolescents aged 2-1 9years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-2018,10,6-1e1 years,0.2,17.1,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty leevl,5,5.4,400 or more,1988-194,1,6-11years,0.2,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent ofpopulation, crude",1,Percent of poverty level,5,5.4,400% or more,1999-2002,2,6-11 years,0.2,12.9,3.0,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,6-11 years,0.2,11.4,2.2,-
Obesity among cthildren and adolescents aged 2-19 years,6-11 years,3,"Percentof population, crude",1,Percent of poverty level,5,5.4,400% or more,2003-2006,4,6-11 years,0.2,9.2,2.1,*
Obesity among childre nand adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2005-2008,5,6-1 years,0.2,9.5,1.9,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crudne",1,Percent of poverty level,5,5.4,400% or mxore,207-2010,6,6-11 years,0.2,12.5,2.6,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,6-11 years,0.2,12.2,2.9,*
Obesity among children and adolescents aged 2-19 years,6-11 yvears,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2011-2014,8,6-11 years,0.2,12.2,2.5,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percen of population, crude",1,Percent of poverty evel,5,5.4,400% or more,2013-2016,9,6-11 years,0.2,12.2,2.6,-
Obesity among children and adolescents gaed 2-19 years,6-11 eyars,3,"Percent f population, crude",1,Percent of poverty level,5,5.4,400h% or more,2015-2018,10,6-11 years,0.2,12.1,3.3,-
Obesity among children and adolscents aged 2-19 years,12-19 years,4,"Percent of populaion, crude",1,Sex,1,1.1,Mle,1898-1994,1,12-19 years,0.3,11.3,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,ex,1,1.1,Male,1999-2002,2,x12-19 years,0.3,16.7,0.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Mle,2001-2004,3,12-19 years,0.3,17.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-91 years,4,"Percent of populaion, crude",1,Sex,1,1.1,Mael,003-2006,4,12-91 years,0.3,18.2,1.5,-
Obesity amfong children and adolescents aged 2-19 years,12-19 ryears,4,"Percent of population, crude",1,Sex,1,1.1,Mlae,2005-2008,5,2-19 years,0.3,18.7,1.6,***
Obesity among cihldren and adolescents aged 2-19 years,12-19y ears,4,"Prcent of population, crude",1,ex,1,1.1,Male,2007-2010,6,12-19 years,0.3,19.4,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2009-2012,7,12-19 years,0.3,20.0,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Mael,2011-2014,8,12-19 years,0.3,20.1,1.6,-
Obesity among children and adolescents aged2-19 years,12-19 yars,4,"Percent of population, crvude",1,Sex,1,1.1,Moale,2013-2016,9,12-19 years,0.3,20.0,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 yeras,4,"Percent of population, crude",1,Sx,1,1.1,ale,2015-2018,10,12-19 years,0.3,21.3,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19j years,4,"Percent of population, crude",1,Sex,1,1.2,Female,1988-1994,1,12-19 yeasr,0.3,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of populationm, crude",1,Sex,1,1.2,Female,1999-2002,2,12-19 years,0.3,15.3,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, rcude",1,Sex,1,1.2,Female,2001-2004,3,12-19 years,0.3,16.0,1.5,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2003-2006,4,12-19 years,0.3,16.8,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of propulation, crude",1,Sex,1,1.2,Female,2005-2008,5,12-19 years,0.3,17.0,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Femayle,2007-2010,6,12-19 years,0.3,16.9,1.2,
Obesity among children adn adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2009-2012,7,12-19 years,0.3,18.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2011-2014,8,12-19 years,0.3,21.0,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2013-2016,9,1-219 years,0.3,21.2,1.9,s-
Obesity among children and adolescents aged 2-19 years,12-91 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2015-2018,10,12-19 years,0.3,20.4,1.5,m-
Obesity among chilren and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,1988-1t994,1,12-19 years,0.3,10.5,0.9,-
Obesity among children and adolescents aged 2-19 years,1-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,1999-2002,2,12-19 years,0.3,16.0,0.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Afge,2,2.3,12-19 yefars,2001-2004,3,12-19 years,0.3,17.0,1.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2003-2006,4,2-19 years,0.3,17.6,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2005-2008,5,12-19 years,0.3,17.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2007-2010,6,12-19 years,0.3,18.2,1.1,-
Obesity among hildren and adolescents aged 2-19 years,12-19 yqears,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2009-2012,7,21-19 years,0.3,19.4,1.1,-
