1660.crimeid,58a0c2fa140f2e45f197abfc36c4d2c1dd0aaae56aaf4c94e602c764d96e65ba,19ff299175447bd49d1f48ccfb0893b14d4c90b967f51ccad64420abd7ebf85d,[e5, e6, e1, e2, e3, e4]
5152.monthvalue,2021-70,2021-07,[]
255.outcometype,Investigtaion complete; no suspect identified,Investigation complete; no suspect identified,[e6]
3021.lsoacode,E010m28274,E01028274,[e8]
6413.lsoaname,Nottiingham 018E,Nottingham 018E,[e7]
1309.crimeid,3b4b059f13e05bd4f0ae59d1a2cf5a087b457b7425e3e3a09386bf027bcdbb21,8ca3e80b40984ea53056ae3aa25014b495d52882f0f266e21c5e8bb19647380b,[e5, e6, e1, e2, e3, e4]
3586.outcometype,Susepct charged,Suspect charged,[]
316.crimeid,d3ac46acbb07b6ccdfb8aa78cd67effbeb5e451689f2df240a2bff4942e9cbc1,3b0ed6ebb9ce82d64ae8a2ce949acf3b58eec4cce1e1b60c5427e39206834f03,[e5, e6, e1, e2, e3, e4]
1461.lsoacode,E01033406,E01028188,[e7, e8, e4]
2856.monthvalue,20210-7,2021-07,[]
4767.monthvalue,202107,2021-07,[]
1466.lsoaname,Broxtowe 011D***,Broxtowe 011D,[e5, e7]
6955.locationvalue,O or near Parking Area,On or near Parking Area,[e3]
670.locationvalue,On or near THE HvEAD STOCKS,On or near THE HEAD STOCKS,[e3]
2811.crimeid,9b605b9721931c4cf29a372f795a51a39bee249b9fbdv5669529e429d03d6a33b,9b605b9721931c4cf29a372f795a51a39bee249b9fbd5669529e429d03d6a33b,[]
3458.lsoaname,Newar kand Sherwood 006C,Newark and Sherwood 006C,[e7]
3641.lsoacode,01028276,E01028276,[e8]
4416.reportedby,Nottinhgamshire Police,Nottinghamshire Police,[]
6707.locationvalue,n or near ELDERFIELD DRIVE,On or near ELDERFIELD DRIVE,[]
807.lsoacode,E01028007,E01027983,[e7, e8, e4]
1113.fallswithin,Notitnghamshire Police,Nottinghamshire Police,[]
6355.crimeid,f1c1691d7e71ceb5e442241586dbedae8f12929d2df6c256d3dce7635552e8a2,f1c1691d7e71ceb5e442241586dbedae8f12929d2df6c256d3dce76355528ea2,[]
6543.monthvalue,2021-0n7,2021-07,[]
460.crimeid,d97d5acdc7478cc9b032552269911b7022f35ecedd7ad285ccb947315ae5fccf,97f97da933c3335855a72c8107db9659c2ea27fa33e9cded8916901a0016923b,[e5, e6, e1, e2, e3, e4]
4824.lsoaname,Ashfiepld 006E,Ashfield 006E,[e7]
1440.lsoacode,E01033406,E01013967,[e7, e8, e4]
7026.lsoacode,E01028b301,E01028301,[e8]
3596.lsoaname,Broxtowe011E,Broxtowe 011E,[e7]
1131.lsoaname,Nottingham 039E,Ashfield 006F,[e5, e7, e8]
196.lsoaname,Ashfield 004D,Nottingham 011E,[e5, e7, e8]
3715.lsoacode,E0128284,E01028284,[e8]
5982.fallswithin,Nottingamshire Police,Nottinghamshire Police,[]
5192.crimeid,aedcb14a93a77e12a4816054af2c3e9cab4238de491bbbbda0ba286e166cecd,aedcb14a93a77e12a24816054af2c3e9cab4238de491bbbbda0ba286e166cecd,[]
1570.crimeid,c38540c0718e1f3c8211eff587b4838c3e2dcaa52675713fad9c3e1a0a929aeb,34ae7f3f39532c3d921384007220ed148b94f1cc9049d0fa9731a3206b684f5e,[e5, e6, e1, e2, e3, e4]
873.lsoacode,E01033406,E01028085,[e7, e8, e4]
4345.outcometype,Offender gven penalty notice,Offender given penalty notice,[]
2699.lsoaname,assetlaw 010D,Bassetlaw 010D,[e7]
6547.lsoaname,Broxotwe 003B,Broxtowe 003B,[e7]
799.lsoacode,E01033406,E01027971,[e7, e8, e4]
1668.crimeid,5bdf97f7901cf99ae23b3d10fb36d208a083b26866f976fe6a86576685045cf3,f34140957acf65fd2355b199713fa662e2c11dbb9a4cb421672ad4048c871335,[e5, e6, e1, e2, e3, e4]
7181.locationvalue,On or nera BALDERTON GATE,On or near BALDERTON GATE,[]
6393.locationvalue,On or nevar MIDDLETON CRESCENT,On or near MIDDLETON CRESCENT,[]
1443.crimeid,deca2efa2e57b84d9d9971fc17da6aa933eeeb1ebbda8b876bef2cd940437707,0d6bd5cc0e2b1d1be3eed00b155cc4e4f822fff6f5606465c15d94c3b4bba3f3,[e5, e6, e1, e2, e3, e4]
524.lsoaname,Nottingham 039E,Nottingham 034B,[e5, e7, e8]
4782.lsoacode,01027979,E01027979,[e8]
4755.reportedby,oNttinghamshire Police,Nottinghamshire Police,[]
6675.lsoacode,E0028313,E01028313,[e8]
4116.lsoacode,E010j28244,E01028244,[e8]
5752.fallswithin,Notatinghamshire Police,Nottinghamshire Police,[]
1370.crimeid,b7e77d700559ecb186fb880641d65e6913399fdbbad818eae2d948c325011a10,4cd2b55eae2e2488d9e14a8c4355fd4c698c7b5de0d8acc7b826835007184f55,[e5, e6, e1, e2, e3, e4]
1345.lsoacode,E01033406,E01013948,[e7, e8, e4]
1317.lsoacode,E01013966,E01013865,[e7, e8, e4]
1312.crimeid,d3ac46acbb07b6ccdfb8aa78cd67effbeb5e451689f2df240a2bff4942e9cbc1,397552c85bdd7b5af56f0e0696c31bacfd0719dc9e087b2b331638cbf7d58712,[e5, e6, e1, e2, e3, e4]
334.monthvalue,202k1-07,2021-07,[]
6235.lsoacode,E01027796,E01027976,[e8]
