cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
1660.crimeid,1660,crimeid,19ff299175447bd49d1f48ccfb0893b14d4c90b967f51ccad64420abd7ebf85d,58a0c2fa140f2e45f197abfc36c4d2c1dd0aaae56aaf4c94e602c764d96e65ba,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
5152.monthvalue,5152,monthvalue,2021-07,2021-70,RANDOM_TYPO,,[]
255.outcometype,255,outcometype,Investigation complete; no suspect identified,Investigtaion complete; no suspect identified,FD_VIOLATION,crimeid -> outcometype,[e6]
3021.lsoacode,3021,lsoacode,E01028274,E010m28274,FD_VIOLATION,crimeid -> lsoacode,[e8]
6413.lsoaname,6413,lsoaname,Nottingham 018E,Nottiingham 018E,FD_VIOLATION,crimeid -> lsoaname,[e7]
1309.crimeid,1309,crimeid,8ca3e80b40984ea53056ae3aa25014b495d52882f0f266e21c5e8bb19647380b,3b4b059f13e05bd4f0ae59d1a2cf5a087b457b7425e3e3a09386bf027bcdbb21,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
3586.outcometype,3586,outcometype,Suspect charged,Susepct charged,RANDOM_TYPO,,[]
316.crimeid,316,crimeid,3b0ed6ebb9ce82d64ae8a2ce949acf3b58eec4cce1e1b60c5427e39206834f03,d3ac46acbb07b6ccdfb8aa78cd67effbeb5e451689f2df240a2bff4942e9cbc1,FD_VIOLATION,crimeid -> longitude,"[e5, e6, e1, e2, e3, e4]"
1461.lsoacode,1461,lsoacode,E01028188,E01033406,FD_VIOLATION,crimeid -> lsoacode,"[e7, e8, e4]"
2856.monthvalue,2856,monthvalue,2021-07,20210-7,RANDOM_TYPO,,[]
4767.monthvalue,4767,monthvalue,2021-07,202107,RANDOM_TYPO,,[]
1466.lsoaname,1466,lsoaname,Broxtowe 011D,Broxtowe 011D***,FD_VIOLATION,crimeid -> lsoaname,"[e5, e7]"
