crimeid,monthvalue,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype
33318b223c85fe46943a294c25270342092f994b5a260ac1789272d9785a301b,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosecute suspect
aa37c11baedb8a475011ab4a0bde8a14a5368a5c0feb726991b471067b84f237,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosecute suspect
4b7a67e5fe38f30e2f03b2c768fc79c982dfb641d34902d02a968ee138407fd4,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosecute suspect
aab7fa93741ad83ac7c5c2d3e7d712f8090f040929a085c2fd58621993d838da,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Investigation complete; no suspect identiafied
963d57aa90914dd88785993784d49f028d9d4a431f04e8596475edd819d83e22,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,uNo location,E01012681,Blackpool 006A,Unable to prosecute suspect
8b407bbeb517fab9ae8ec662c9bcf42eb3e1bf7dae11cf2f2f9fcb5bb3f69ccc,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Investigation complete; no suspect identified
67cf7ee4bf8ba3b31c84a8dc9f452169cd344494edd4ddeba3a58b3bf007fd43,2021-02,Lancashir eConstabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosectue suspect
c1d83139581ccc6cca910c2be8696fe3c82e58f13d2b0726a3ecd293c9d21e19,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Local resolution
23c61346b13459ec2fdd32b50bba2cd5a9ad50d9a3e563834879bf29621a9957,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosecute suspect
4be824859d2a4476fb75bb184cff6d880a7e7f703bbcd3a093ee11b5ee66b753,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Unable to prosecute suspect
a2f539f912be3171feb3690eaf59de4b4edd8ae3824498a37716296dfe9c0964,2021-02,Lancashire Constabulary,Lancashire Constabulary,-3.043348,53.734491,No location,E01012681,Blackpool 006A,Suspect charged
