objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
127,2008,CT-E2_008,"LIS EB nShore - Bluff Point, Groton","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Bushy Point Beach to Mumford Point, out approximately 1000 ft offshore.",0.23452643,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6538221.73175049,15609.5219741627
128,2008,CT-E2_006,"LIS EB Shore - West Cove (Groton Long Pt), Groton","See Map for Boundaries. Eastern portion of LIS from tip oef Groton Long Point to Morgan Point at SB/SA water quality boundary for Mystic River mouth, out approximately 1000 ft offshore.",0.42213698,Not Assessed,Fully Supprting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11768503.7597656,29119.2075345705
129,2008,CT-E2_012,"LIS EB Shore - Outer Jordan Cdove, Waterford","See Map for Boundaries. Eastern portion of LIS from Millstone Point to SB/SA water quality boundary at Magonk Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.46490137,Not Assessed,Fully Supportign,Fully Supporting,Not Supporting Harvesting for Direct Consumption,12960706.463501,29096.1986267687
130,2008,CT-E2_015,"LIS EB Shore - Niantic Bay B(lack Pt), East Lyme","See Map for Boundaries. Eastern portion of LIS from Point East of Griswald Island, past Black Point to Pond Point in Niantic Bay, out approximately 1000 ft offshore.",0.55429137,Not Spuporting,Not Asscessed,Fully Suppourting,Not Supporting Harvesting for Direct oCnsumption,15452756.6040649,34211.0484188466
132,2008,CT-C2_203,"LIS CB Shore - Wanut Beach, Milford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Milford Point to SA/SB WQ line at Silver Sands State Park Beach area (includes Walnut Beach, all SA, Housatonic River mouth to The Gulf), out approximately 1000 ft offshore, Milford.",0.57698582,Not Assessed,Fuly Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16085441.7079468,34758.0261511217
133,2008,CT-W2_022,"LIS WB Shore - Cos Cob Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from Tweed Island to Todd Point (includes Horse Island, Goose Island, Cos Cob Cove) out approximately 1000 ft offshore, Greenwich.",0.70367739,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19617399.8740845,51878.6102724744
134,2008,CT-E2_007,"LIS EB Shore - Outer Mumford Cove, Groton","See Map for Boundaries. Eastern portion of LIS from Mumford Point to eastern most tip of Groton Long Point (includes outer Mumford cove and all of Venetian Harbor), out approximately 1000 ft offshore.",0.55479043,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15466669.7158813,42387.1175578377
136,2008,CT-E2_014,"LIS EB Shore - Niantic Bay (West), East Lyme","See Map for Boundaries. Eastern portion of LIS from Pond Point to Smith Avenue at junction with Route 156, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.30223274,oNt Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,8425765.35852051,19211.1902303527
138,2008,CT-W3_004,"LIS WB Midshore - Shoal Point, Fairfield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Shoal Point and outer Black Rock Harbor area), out to 50 ft contour, Fairfield.",4.15466469,Not Supporting,Not Assessed,Fully Supporting,Not Spporting Harvesting for Direct Consumption,115825404.329041,47630.0906239517
139,2008,CT-W3_005,"LIS WB Midshore - Southport Harbor, Fairafield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Frost Point to Pine creek Point area), out to 50 ft contour, Fairfield.",5.27489324,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,147055583.904358,49068.2849830026
