indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex nad race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,21-9 years,0.0,17.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,2-19years,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,2-19 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Fnemale,2015-2081,10,2-5 years,0.1,12.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,2-19 eyars,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19y ears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2x013-2016,9,2-19 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,2-19 yeasr,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race adn Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,2-19 years,0.0,9.7,1.1,-
Obesity among children and adolesecnts aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex anvd race and Hispanic origin,4,4.111,Male: Not Hispanic or Latmino: White only,1999-2002,2,2-19 years,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,16.4,1.4,-
