objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
147,2020,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,"LAKE, FRESHWATER",120.48,Acres,1445,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14372.9769053853,5248056.37139219
148,2020,CT4010-00-1-L1_01,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).","LAKE, FRESHWATER",27.22,Acres,1097,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5686.08059259047,1185695.35583105
149,2020,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).","LAKE, FRESHWATER",17.05,Acres,297,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6430.24244982625,742700.976111697
150,2020,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River","LAKE, FRESHWATER",10.68,Acres,1891,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4528.2745821947,465258.132340048
151,2020,CT4607-00-UL_pond_01,Wadsworth Falls State Park Pond (Middletown),"Small pond within Wadsworth Falls State Park (filled and drained with connection to Coginchaug River), on Route 157 between confluence of Laurel Brook to Coginchaug River and Wadsworth Brook confluence with Coginchaug River, Middletown.","LAKE, FRESHWATER",1.37,Acres,0,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,966.014095348769,59807.0779682342
152,2020,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).","LAKE, FRESHWATER",0.58,Acres,350,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,812.441000119693,25247.1849813975
153,2020,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir","LAKE, FRESHWATER",14.95,Acres,1526,1100006,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4392.45562251452,651122.469937405
154,2020,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"CT DEEP Black Rock State Park. Impoundment of Purgatory Brook (trib to Branch Brook), west of Rte 6, Watertown.","LAKE, FRESHWATER",9.48,Acres,240,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5702.41425253143,412757.397471802
155,2020,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)","LAKE, FRESHWATER",14.3,Acres,2689,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3909.72429641487,622674.853422082
156,2020,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.","LAKE, FRESHWATER",9.35,Acres,41,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3554.73329428853,407170.603100623
157,2020,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock","LAKE, FRESHWATER",38.42,Acres,1942,1100001,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,7910.77393921777,1673439.31680131
158,2020,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield","LAKE, FRESHWATER",6.05,Acres,209,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2833.01426233311,263646.824838467
159,2020,CT6900-40-1-L1_01,Beaver Lake (Seymour),Seymour,"LAKE, FRESHWATER",68.82,Acres,158,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,15201.1471479677,2997892.3868583
160,2020,CT6301-08-1-L1_01,Indian Lake (Sharon/NY State Line),Sharon,"LAKE, FRESHWATER",195.81,Acres,1332,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,16881.4792504132,8529639.60345401
161,2020,CT6900-42-1-L1_01,Upper Derby Hill Reservoir (Derby),Derby,"LAKE, FRESHWATER",29.93,Acres,3305,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6386.92334107774,1303590.5514031
