UK_CSV0000000000004065::0::crimeid,UK_CSV0000000000004065::1::monthvalue,UK_CSV0000000000004065::2::reportedby | UK_CSV0000000000012450::3::fallswithin,UK_CSV0000000000004065::3::fallswithin | UK_CSV0000000000012450::2::reportedby,UK_CSV0000000000004065::4::longitude,UK_CSV0000000000004065::5::latitude,UK_CSV0000000000004065::6::locationvalue | UK_CSV0000000000012450::6::locationvalue,UK_CSV0000000000004065::7::lsoacode | UK_CSV0000000000012450::7::lsoacode,UK_CSV0000000000004065::8::lsoaname | UK_CSV0000000000012450::8::lsoaname,UK_CSV0000000000004065::9::outcometype | UK_CSV0000000000012450::9::outcometype,UK_CSV0000000000012450::0::crimeid,UK_CSV0000000000012450::1::monthvalue,UK_CSV0000000000012450::4::longitude,UK_CSV0000000000012450::5::latitude
UK_CSV0000000000004065 § 0 § 0,UK_CSV0000000000004065 § 1 § 0,UK_CSV0000000000004065 § 2 § 0,UK_CSV0000000000004065 § 3 § 0,UK_CSV0000000000004065 § 4 § 0,UK_CSV0000000000004065 § 5 § 0,UK_CSV0000000000004065 § 6 § 0,UK_CSV0000000000004065 § 7 § 0,UK_CSV0000000000004065 § 8 § 0,UK_CSV0000000000004065 § 9 § 0,,,,
UK_CSV0000000000004065 § 0 § 1,UK_CSV0000000000004065 § 1 § 1,UK_CSV0000000000004065 § 2 § 1,UK_CSV0000000000004065 § 3 § 1,UK_CSV0000000000004065 § 4 § 1,UK_CSV0000000000004065 § 5 § 1,UK_CSV0000000000004065 § 6 § 1,UK_CSV0000000000004065 § 7 § 1,UK_CSV0000000000004065 § 8 § 1,UK_CSV0000000000004065 § 9 § 1,,,,
UK_CSV0000000000004065 § 0 § 2,UK_CSV0000000000004065 § 1 § 2,UK_CSV0000000000004065 § 2 § 2,UK_CSV0000000000004065 § 3 § 2,UK_CSV0000000000004065 § 4 § 2,UK_CSV0000000000004065 § 5 § 2,UK_CSV0000000000004065 § 6 § 2,UK_CSV0000000000004065 § 7 § 2,UK_CSV0000000000004065 § 8 § 2,UK_CSV0000000000004065 § 9 § 2,,,,
UK_CSV0000000000004065 § 0 § 3,UK_CSV0000000000004065 § 1 § 3,UK_CSV0000000000004065 § 2 § 3,UK_CSV0000000000004065 § 3 § 3,UK_CSV0000000000004065 § 4 § 3,UK_CSV0000000000004065 § 5 § 3,UK_CSV0000000000004065 § 6 § 3,UK_CSV0000000000004065 § 7 § 3,UK_CSV0000000000004065 § 8 § 3,UK_CSV0000000000004065 § 9 § 3,,,,
UK_CSV0000000000004065 § 0 § 4,UK_CSV0000000000004065 § 1 § 4,UK_CSV0000000000004065 § 2 § 4,UK_CSV0000000000004065 § 3 § 4,UK_CSV0000000000004065 § 4 § 4,UK_CSV0000000000004065 § 5 § 4,UK_CSV0000000000004065 § 6 § 4,UK_CSV0000000000004065 § 7 § 4,UK_CSV0000000000004065 § 8 § 4,UK_CSV0000000000004065 § 9 § 4,,,,
UK_CSV0000000000004065 § 0 § 5,UK_CSV0000000000004065 § 1 § 5,UK_CSV0000000000004065 § 2 § 5,UK_CSV0000000000004065 § 3 § 5,UK_CSV0000000000004065 § 4 § 5,UK_CSV0000000000004065 § 5 § 5,UK_CSV0000000000004065 § 6 § 5,UK_CSV0000000000004065 § 7 § 5,UK_CSV0000000000004065 § 8 § 5,UK_CSV0000000000004065 § 9 § 5,,,,
UK_CSV0000000000004065 § 0 § 6,UK_CSV0000000000004065 § 1 § 6,UK_CSV0000000000004065 § 2 § 6,UK_CSV0000000000004065 § 3 § 6,UK_CSV0000000000004065 § 4 § 6,UK_CSV0000000000004065 § 5 § 6,UK_CSV0000000000004065 § 6 § 6,UK_CSV0000000000004065 § 7 § 6,UK_CSV0000000000004065 § 8 § 6,UK_CSV0000000000004065 § 9 § 6,,,,
UK_CSV0000000000004065 § 0 § 7,UK_CSV0000000000004065 § 1 § 7,UK_CSV0000000000004065 § 2 § 7,UK_CSV0000000000004065 § 3 § 7,UK_CSV0000000000004065 § 4 § 7,UK_CSV0000000000004065 § 5 § 7,UK_CSV0000000000004065 § 6 § 7,UK_CSV0000000000004065 § 7 § 7,UK_CSV0000000000004065 § 8 § 7,UK_CSV0000000000004065 § 9 § 7,,,,
UK_CSV0000000000004065 § 0 § 8,UK_CSV0000000000004065 § 1 § 8,UK_CSV0000000000004065 § 2 § 8,UK_CSV0000000000004065 § 3 § 8,UK_CSV0000000000004065 § 4 § 8,UK_CSV0000000000004065 § 5 § 8,UK_CSV0000000000004065 § 6 § 8,UK_CSV0000000000004065 § 7 § 8,UK_CSV0000000000004065 § 8 § 8,UK_CSV0000000000004065 § 9 § 8,,,,
