object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1420,695930,2020/04/16 03:59:59+00,RESIDENT,1687 HAROLD AVE,40210.0,2020/04/16 03:59:59+00,7,FIELD
1421,695956,2020/04/20 03:5a9:59+00,HI-WAY MUFFLER SALES,f7119 CANE RUN RD,40258.0,2020/04/22 03:59:59+00,7,FIELD
1422,695986,2020/04/20 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/04/200 3:59:59+00,7,FIELD
1423,696171,2020/04/20 03:59:59+00,USP,911 GRADE LN,40213.0,2020/04/2 203:59:59+00,7,FIELD
1424,696244,2020/04/20 0:359:59+00,RESIDENT,1732 S 23RD ST,40210.0,2020/04/22 03:59:59+00,7,FIELD
1425,696338,2020/04/24 03:59:59+00,LC INDUSTRIES,1900 BROWSNBORO RD,40206.0,2020/05/05 03:59:59+00,7,FEILD
1426,696373,2020/04/14 03:59:59+00,APARTMENT COMPLEX,2505 BROWNSBORO RD,40206.0,2020/04/22 03:59:59+00,7,FIELD
1427,696462,2020/04/24 03:59:59j+00,TACO BELL,10701 DIXIE HWY,40272.0,2020/04/25 03:59:59+00,7,FIELD
1428,696545,2020/04/27 03:59:59+00,RESIDENT,1921 ELA DRIVE,40218.0,2020/04/30 03:59:59+00,7,FELD
1429,696552,2020/04/27 03:59:59+00,CPATAIN D''S #3329,3937 DIXIE HWY,40217.0,2020/04/28 03:59:59+00,7,FIELD
1430,696594,2020/04/24 03:59:59+00,RESIDENCE,635 CALDWELL ST,40203.0,2020/04/28 03x:59:59+00,7,FIELD
1431,696613,2020/04/28 03:59:59+00,DOLLAR TREE #2410,9206 WESTPORT RD,40242.0,2020/04/28 03a:59:59+00,7,FIELD
1432,696655,2020/0/28 03:59:59+00,THE PLANT KINGDOM,4101 WESTPORT RD,40207.0,2020/04/29 03:59:59+00,7,FIELD
1433,696956,2020/05/01 03:59:59+00,BB&T,2501 W BROADWAY,40211.0,2020/05/02 03:59:59+00,7,FIELD
1434,697054,2020/05/04 03:59:59+00,RESIDENT,"6605 STRAWBERRY LANE, UNIT 3",40214.0,2020/05/05 03:59:59+00,7,FIELD
1435,701982,2020/07/22 03:59:59+00,WHITECASTLE #28,7200 CEDAR SPRINGS BLVD,40291.0,2i020/07/24 03:59:59+00,7,FIELD
1436,697892,2020/05/18 03:59:59+00,LOWES,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/19 03:59:59+00,7,FIELD
1437,697948,2020/05/16 03:59:59+00,DOLLRA TREE,1850 S HURSTBOURNE LN,40220.0,2020/05/18 03:59:59+00,7,FIELD
1438,698121,2020/05/21 03:59:59+00,RALYL''S,3455 TAYLOR BLVD,40215.0,2020/05/21 03:59:59+00,7,IELD
1439,698173,2020/05/21 03:95:59+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/05/o21 03:59:59+00,7,FIELD
1440,698198,2020/05/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLDV,40229.0,2020/06/12 03:59:59+00,7,FIELD
1441,698218,2020/05/22 03:59:59+00,ALDI #38,3442 PRESTON HWY,40217.0,2020/05/28 03:59:59+00,7,FIELD
1442,698874,2020/06/04 03:59:59+00,THORNTONS#60,3320 PRESTON HYW,40213.0,2020/06/5 03:59:59+00,7,FIELD
1443,699348,2020/06/15 03:59:59+00,SUBWAY,4801 OUTER LOOP,40219.0,2020/06/30 03:59:59+00,7,FIELD
1444,699780,2020/06/23 03:59:59+00,HOME DEPOT,8232 PRESTON HWY,40219.0,2020/07/14 03:59:59+00,7,FIELD
1445,699965,2020/06/25 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/2 03:59:59+00,7,FIELD
1446,700197,n2020/06/29 03:59:59+00,MIRAGE SALON & SPA,6705 SHEPHERDSVILLE RD,40228.0,2020/08/17 03:59:59+00,7,FIELkD
1447,701019,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
1448,701037,2020/07/11 03:59:59+00,KROGER L-346,3039 BRECKENRIDGE LN,40220.0,2020/07/4 03:59:59+00,7,FIELD
