peoplewithcontactwithinreviewperiod,clusterdays,maxcontactstoinitialclusterassignment,mindaysinendedclusterepisodes,maxdaystoinitialclusterassignment,dischargesfromhospitalnetfollowedupwithin_sevendays,oncpa,clusterepisodesendednetwith_ho_nos
*,30,*,*,*,*,*,*
245,13635,6,6,531,*,91.5,10
*,50,*,*,*,*,*,*
170,5360,*,1,*,*,8,10
-,*,*,*,*,*,*,*
210,8985,3,1,197,*,*,5
440,13165,15,1,48,*,10.9,15
-,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
105,5530,*,1,*,*,*,*
*,30,*,*,*,*,*,*
*,45,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,15,*,*,*,*,*,*
30,1015,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,5,*,*,*,*,*,*
25,900,*,*,*,*,43.3,*
*,30,*,*,*,*,*,*
-,*,*,*,*,*,*,*
90,4720,-,1,-,*,14.1,5
1350,40165,4,1,382,*,*,90
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,10,*,*,*,*,*,*
135,3960,*,183,*,*,11.9,*
*,30,*,*,*,*,*,*
220,7250,*,92,*,*,25.7,5
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
230,7310,1,3,342,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,240,-,*,-,*,*,*
*,110,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
120,4060,*,1,*,*,44.4,*
*,*,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
40,1655,*,*,*,*,50.9,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,30,*,*,*,*,*,*
1065,41875,*,7,*,*,1.8,*
*,120,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
190,5965,*,5,*,*,89.6,10
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
110,3415,*,195,*,*,81.1,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,135,*,*,*,*,*,*
45,2155,2,7,182,*,8.1,*
140,6310,1,4,6,*,17.1,*
85,2485,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
85,3375,*,2,*,*,15.6,*
*,30,*,*,*,*,*,*
85,2745,*,89,*,*,47.1,*
490,15735,4,5,164,5,47.6,30
*,*,*,*,*,*,*,*
575,19155,5,26,600,*,22.3,10
*,65,*,*,*,*,*,*
925,28235,5,1,646,*,25.9,25
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,35,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
10,900,*,*,*,*,30,*
*,*,*,*,*,*,*,*
*,180,*,*,*,*,*,*
975,31110,11,3,814,10,11.2,60
*,45,-,*,-,*,*,*
*,90,*,*,*,*,*,*
20,1110,*,*,*,*,28.9,*
*,*,*,*,*,*,*,*
130,5135,4,1,9,*,7.1,*
15,560,*,*,*,*,*,*
180,5460,3,35,3,*,*,*
10,645,*,*,*,*,*,*
