indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,2.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,1.1,Not Hispanic or Latino: White only,2005-2008,10.0,2-19 years,0.0,17.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,71.0,"Percent of population, crude",1,Sex,4.0,49.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,6.0,2-91 years,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19y ears,86.0,"Percent of population, crude",1,Total,4.0,1.1,2-19 years,2009-2012,6.0,21-9 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex,87.0,100.2,Female,2015-2018,2.0,2-5 years,0.0,12.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 yeakrs,71.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,8.0,2-19 ears,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19years,95.0,"Percent of population, crude",1,Sex,4.0,68.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,9.0,2-5 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1.0,"Percent of population, crude",1,Sex,4.0,1.1,Female,2003-2006,10.0,2-19 yeawrs,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yearls,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male,2011-2014,1.0,-19 years,0.0,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,64.0,"Percent of population, crude",1,Sex,4.0,4.111,2-19 years,2015-2018,2.0,2-1v9 years,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,40.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Not Hispanic or Latino: White only,1988-1994,3.0,2-19 yeas,0.0,16.4,1.4,-
Obesity among children and adolescents aged 2-19 years,-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,4.111,2-19 years,1988-1994,4.0,2-19 yeas,0.0,15.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 yearrs,1.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.111,2-19 years,2015-2018,5.0,2-19 yeasr,0.0,14.5,1.4,-
