indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,21-9 years,1988-1a994,1,2-19 yeasr,0.0,10.0,0.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,1999-2002,2,2-19 years,0.0,14.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2001-2004,3,2-19 years,0.0,16.3,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,1,"Percent of population, crude",1,Totla,0,0.0,2-19 qyears,2003-2006,4,2-19 years,0.0,16.3,0.9,-
Obesity among childrewn and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Toal,0,0.0,2-19 years,2005-2008,5,2-19 years,0.0,16.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yearps,1,"Percent of population, crude",1,Total,0,0.0,2-19 yeares,2007-2010,6,2-19 years,0.0,16.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crkude",1,Total,0,0.0,2-19 years,200-2012,7,2-19 years,0.0,16.9,0.6,-
Obesity among children and adolescents aged 2-19 yearzs,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2011-2014,8,2-19 ears,0.0,17.0,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of popualtion, crude",1,Ttotal,0,0.0,2-19 years,203-2016,9,2-19 years,0.0,17.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2015-2018,10,2-19y ears,0.0,18.9,0.8,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,1988-1994,1,21-9 years,0.0,10.2,0.7,-
Obesityamong children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,19992002,2,2-19 years,0.0,15.5,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2001-2004,3,2-19 yeasr,0.0,17.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2003-2006,4,2-19 years,0.0,17.0,1.1,h-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,Percent of population crude,1,ex,1,1.1,Male,2005-2008,5,2-19 years,0.0,16.8,1.0,-
Obesity among children andx adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sxe,1,1.1,Mle,2007-2010,6,2-19 yaers,0.0,18.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yvears,1,"Percent of population, crude",1,ex,1,1.1,Male,2009-2012,7,2-1 9years,0.0,17.6,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2011-204,8,2-19 years,0.0,16.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Pecent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,2-19 years,0.0,18.1,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sxe,1,1.1,Male,2015-2018,10,q2-19 years,0.0,19.8,1.0,-
Obesity among children andadolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Fmeale,1988-994,1,2-19 years,0.0,9.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,1999-2002,2,2-19 years,0.0,14.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,2001-2004***,3,2-19 years,0.0,15.2,1.0,e-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population,crude",1,Sex,1,1.2,Female,2030-2006,4,2-19 years,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19years,2-19 years,1,"Percet of population, crude",1,Sex,1,1.2,Female,2005-2c008,5,2-19 years,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percelnt of population, crude",1,Sex,1,1.2,Female,2007-2010,6,2-19 years,0.0,15.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,2009-2012,7,2-19 years,0.0,16.1,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,2011-2014,8,2-19 years,0.0,17.1,1.0,
Obesity among children and adolescents aged 2-19 years,2-19 vyears,1,"Percent of population, crude",1,Skex,1,1.2,Female,2013-2016,9,2-19 years,0.0,17.5,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percnet of population, crude",1,Sjex,1,1.2,Female,2015-2018,10,2-19 years,0.0,17.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1988-1994,1,2-19 years,0.0,9.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,2-19 years,0.0,12.6,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,15.1,1.2,-
Obesity amongn children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino:White only,200l3-2006,4,2-19o years,0.0,14.7,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 ysears,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,0205-2008,5,2-19 years,0.0,14.1,1.4,-
Obesity among chlidren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and ispanic origin,3,3.11,Not Hispanic or Latino: White only,2007-2010,6,2-19 years,0.0,14.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Rce and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2009-2012,7,2-19 ydears,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 yeras,2-19 years,1,"Percent of population,c crude",1,Race and Hispanic roigin,3,3.11,Not Hispanic or Ltino: White only,2011-2014,8,2-19 years,0.0,14.7,1.2,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2013-2016,9,2-91 years,0.0,14.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispdanic origin,3,3.11,Not Hispanic or Latino: White only,2015-2018,10,2-19 years,0.0,15.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percet of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Brlack or African American only,1988-1994,1,2-19 yearbs,0.0,12.5,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1999-2002,2,2-19y ears,0.0,18.2,0.7,t-
Obesity among childrne and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2001-2004,3,2-19years,0.0,18.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African Amemrican only,2003-2006,4,2-19 years,0.0,20.7,1.0,***
Obesity among children and adolescent aged 2-19 years,2-19 years,1,"Percent of population, crutde",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,5,2-19 years,0.0,20.7,1.0,-
Obesity among children and adolescents ageid 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2007-2010,6,2-19 years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-9 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic rigin,3,3.12,Not Hispanic or Latino: Black or Ahfrican American only,2009-2012,7,2-1 9years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African Aerican only,2011-2014,8,2-19 years,0.0,19.5,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yearrs,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,20132-016,9,2-19b years,0.0,20.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percetn of population, crude",1,Race nd Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,2-19 yeasr,0.0,23.1,1.7,-
Obesity among children and adolescents aged2 -19 years,2-19 years,1,"Percenat of population, crude",1,Race and Hisanic origin,3,3.13,Not Hispanic or Latino: Asian only,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,No tHispanic or Latino: Asian only,p2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2003-2006,4,2-19 years,0.0,17.9,1.4,-
