facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191,SWIMMING POOL,100794,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFFERSONTOWN,KY,40299,22,2001/06/11 00:00:00,217
695,SWIMMING AREA,199,WADING POOL,58233,LAKE FOREST COUNTRY CLUB-WADING POOL,14700 LANDMARK DR,LOUISVILLE,KY,40245,25,1997/07/17 00:00:00,218
695,SWIMMING AREA,193,DIVING POOL,29452,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN ROAD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,219
695,SWIMMING AREA,191,SWIMMING POOL,83216,HOME OF THE INNOCENTS,1100 E MARKET ST,LOUISVILLE,KY,40206,28,2009/04/01 00:00:00,220
695,SWIMMING AREA,191,SWIMMING POOL,29244,CARDINAL OAKS CONDOS,7122 CARDINAL OAKS DR,LOUISVILLE,KY,40214,23,1990/08/22 00:00:00,221
695,SWIMMING AREA,191,SWIMMING POOL,100961,THE FLATS AT HURSTBOURNE APTS,3280 SILVER SPRINGS DR,LOUISVILLE,KY,40220,29,2018/05/22 00:00:00,222
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,58234,LAKE FOREST COUNTRY CLUB-POOL,14700 LANDMARK DR,LOUISVILLE,KY,40245,25,1997/07/17 00:00:00,223
695,SWIMMING AREA,191,SWIMMING POOL,29463,YMCA,555 S 2ND ST,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,224
695,SWIMMING AREA,191,SWIMMING POOL,83518,THE PROVINCE,600 RUGGLES PLACE,LOUISVILLE,KY,40208,23,2009/04/30 00:00:00,225
695,SWIMMING AREA,191,SWIMMING POOL,29245,PARTRIDGE MEADOWS APTS,8102 FOUR WINDS DR,LOUISVILLE,KY,40222,26,1988/06/06 00:00:00,226
695,SWIMMING AREA,198,SPLASH PAD,101079,ADVENTURE PLAYGROUND,1201 RIVER RD,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,227
695,SWIMMING AREA,199,WADING POOL,58444,SUTHERLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1997/08/14 00:00:00,228
695,SWIMMING AREA,191,SWIMMING POOL,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,LOUISVILLE,KY,40214,23,1988/06/07 00:00:00,229
695,SWIMMING AREA,198,SPLASH PAD,85191,METRO PARKS LAPORTE PARK,2529 BANK ST,LOUISVILLE,KY,40212,24,2010/02/01 00:00:00,230
695,SWIMMING AREA,191,SWIMMING POOL,29254,CASA GRANADA CONDOS,3030 BRECKENRIDGE LN.,LOUISVILLE,KY,40220,28,1988/06/06 00:00:00,231
695,SWIMMING AREA,191,SWIMMING POOL,101423,LOUISVILLE MARRIOTT EAST,1903 EMBASSY SQUARE BLVD,LOUISVILLE,KY,40299,29,2016/12/09 00:00:00,232
695,SWIMMING AREA,191,SWIMMING POOL,58518,PINEHURST GREEN PATIO HOMES,10630 EAGLE PINES LN,LOUISVILLE,KY,40223,29,1998/07/30 00:00:00,233
695,SWIMMING AREA,191,SWIMMING POOL,29469,YMCA SOUTHEAST,5930 SIX MILE LANE,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,234
695,SWIMMING AREA,198,SPLASH PAD,85192,METRO PARKS PETERSBURG PARK,5008 E INDIAN TRAIL RD,LOUISVILLE,KY,40218,27,2010/02/01 00:00:00,235
695,SWIMMING AREA,191,SWIMMING POOL,29256,CASA GRANDE CONDOS OF ZORN,740 ZORN AVE,LOUISVILLE,KY,40206,26,1988/06/06 00:00:00,236
695,SWIMMING AREA,191,SWIMMING POOL,101516,HOMEWOOD SUITES,635 W MARKET ST,LOUISVILLE,KY,40202,24,2018/03/26 00:00:00,237
